d,n,k,log_cost,pf_inv,eta,metric,gates,depth
64,255,85,45.785823670234315,1952,0.370059853025591,classical,1493.0,16.0
72,255,85,49.30899768876964,3022,0.379578039014047,classical,1493.0,16.0
80,255,85,52.809339399640535,4492,0.387484752736002,classical,1493.0,16.0
88,127,42,55.42223578022978,713,0.427865334318884,classical,729.0,14.0
96,127,42,58.883382803151044,834,0.432137889083812,classical,729.0,14.0
104,127,42,62.33243615017645,960,0.435803051950994,classical,729.0,14.0
112,127,42,65.77126556194202,1089,0.438981118426032,classical,729.0,14.0
120,127,42,69.20134448439434,1220,0.441762712267589,classical,729.0,14.0
128,127,42,72.62385352206465,1353,0.444217371992791,classical,729.0,14.0
136,255,85,76.93523603407473,33179,0.419129875674728,classical,1493.0,16.0
144,255,85,80.34842308507275,40891,0.421801318325766,classical,1493.0,16.0
152,255,85,83.75618929313781,49720,0.424211361286918,classical,1493.0,16.0
160,255,85,87.15911798048805,59719,0.426396320747922,classical,1493.0,16.0
168,255,85,90.55770469230319,70936,0.428386122704902,classical,1493.0,16.0
176,255,85,93.95237374612918,83410,0.43020564217028,classical,1493.0,16.0
184,255,85,97.3434910941206,97176,0.431875720614838,classical,1493.0,16.0
192,255,85,100.73137443447172,112257,0.433413948018303,classical,1493.0,16.0
200,255,85,104.11630124386521,128672,0.434835270473238,classical,1493.0,16.0
208,255,85,107.49851521994157,146434,0.436152466955149,classical,1493.0,16.0
216,255,85,110.87823149443643,165549,0.437376526878683,classical,1493.0,16.0
224,255,85,114.25564088621167,186017,0.438516951643476,classical,1493.0,16.0
232,255,85,117.63091339742176,207833,0.439581997389289,classical,1493.0,16.0
240,255,85,121.00420110784772,230987,0.440578871873608,classical,1493.0,16.0
248,255,85,124.37564058680111,255467,0.441513895250376,classical,1493.0,16.0
256,255,85,127.7453549153926,281255,0.442392632222768,classical,1493.0,16.0
264,511,170,132.18287483716034,173534861,0.452917597092186,classical,3025.0,18.0
