d,n,k,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,1023,341,45.58839368626567,23718,0.306992257255228,dw,18,18,1552,672,65630,546918,3064,21576,716
72,1023,341,48.24827614607092,57659,0.321127869413277,dw,20,20,1554,712,65674,549142,3064,21592,732
80,511,170,49.837461202017714,34221,0.376856057909062,dw,22,22,788,696,32960,240078,1528,10856,634
88,511,170,52.47049568647055,62753,0.38564527067818,dw,24,24,790,736,33004,242510,1528,10872,650
96,511,170,55.0923385750125,111166,0.393225120484262,dw,26,26,792,776,33048,245102,1528,10888,666
104,511,170,57.69673679940601,190816,0.399823382500406,dw,27,27,793,796,33070,246458,1528,10896,674
112,511,170,60.301102032945096,318215,0.405615048066263,dw,29,29,795,836,33114,249290,1528,10912,690
120,511,170,62.898844472657466,516780,0.410736556638736,dw,31,31,797,876,33158,252282,1528,10928,706
128,511,170,65.4818687990146,818981,0.415295711770948,dw,32,32,798,896,33180,253838,1528,10936,714
136,511,170,68.06869821832534,1268903,0.419378720566519,dw,34,34,800,936,33224,257070,1528,10952,730
144,511,170,70.65127120515271,1925278,0.423055276342031,dw,36,36,802,976,33268,260462,1528,10968,746
152,511,170,73.23011367948251,2864962,0.426382285314945,dw,38,38,804,1016,33312,264014,1528,10984,762
160,511,170,75.79552058233651,4186899,0.429406637721,dw,39,39,805,1036,33334,265850,1528,10992,770
168,511,170,78.36786890547468,6016548,0.432167295094176,dw,41,41,807,1076,33378,269642,1528,11008,786
176,511,170,80.93762458068925,8510754,0.434696881209347,dw,43,43,809,1116,33422,273594,1528,11024,802
184,511,170,83.49422941292923,11863045,0.437022908056401,dw,44,44,810,1136,33444,275630,1528,11032,810
192,511,170,86.0593153228567,16309309,0.439168730193222,dw,46,46,812,1176,33488,279822,1528,11048,826
200,511,170,88.62251528188126,22133801,0.441154294678993,dw,48,48,814,1216,33532,284174,1528,11064,842
208,511,170,91.17257992174719,29675427,0.442996735556571,dw,49,49,815,1236,33554,286410,1528,11072,850
216,511,170,93.73228115145993,39334243,0.444710848971708,dw,51,51,817,1276,33598,291002,1528,11088,866
224,511,170,96.29055495807853,51578091,0.446309475805971,dw,53,53,819,1316,33642,295754,1528,11104,882
232,511,170,98.84751300062622,66949312,0.447803812038563,dw,55,55,821,1356,33686,300666,1528,11120,898
240,511,170,101.391141256286,86071447,0.449203662182923,dw,56,56,822,1376,33708,303182,1528,11128,906
248,511,170,103.9455794431005,109655871,0.450517647549234,dw,58,58,824,1416,33752,308334,1528,11144,922
256,511,170,106.49897292094786,138508263,0.451753378405035,dw,60,60,826,1456,33796,313646,1528,11160,938
264,511,170,109.0388743751379,173534861,0.452917597092186,dw,61,61,827,1476,33818,316362,1528,11168,946
272,511,170,111.59022928343104,215748430,0.454016297631564,dw,63,63,829,1516,33862,321914,1528,11184,962
280,511,170,114.14072754522599,266273868,0.455054826180303,dw,65,65,831,1556,33906,327626,1528,11200,978
288,511,170,116.67757051756371,326353414,0.456037965808296,dw,66,66,832,1576,33928,330542,1528,11208,986
296,511,170,119.22637429177493,397351395,0.456970008364464,dw,68,68,834,1616,33972,336494,1528,11224,1002
304,511,170,121.77445458956265,480758466,0.457854815659914,dw,70,70,836,1656,34016,342606,1528,11240,1018
312,511,170,124.30873340558608,578195320,0.458695871768298,dw,71,71,837,1676,34038,345722,1528,11248,1026
320,511,170,126.85537062471937,691415822,0.459496327906443,dw,73,73,839,1716,34082,352074,1528,11264,1042
328,511,170,129.40138040669555,822309555,0.460259041090221,dw,75,75,841,1756,34126,358586,1528,11280,1058
336,511,170,131.93346891051576,972903761,0.460986607546427,dw,76,76,842,1776,34148,361902,1528,11288,1066
344,511,170,134.47822299568526,1145364666,0.461681391689315,dw,78,78,844,1816,34192,368654,1528,11304,1082
352,511,170,137.02242013194154,1341998185,0.462345551331465,dw,80,80,846,1856,34236,375566,1528,11320,1098
360,511,170,139.55260672559294,1565250016,0.462981059685912,dw,81,81,847,1876,34258,379082,1528,11328,1106
368,511,170,142.09569049137608,1817705125,0.463589724624567,dw,83,83,849,1916,34302,386234,1528,11344,1122
376,511,170,144.63826998150316,2102086642,0.464173205582739,dw,85,85,851,1956,34346,393546,1528,11360,1138
384,511,170,147.18035742669937,2421254182,0.4647330284377,dw,87,87,853,1996,34390,401018,1528,11376,1154
392,511,170,149.708357485502,2778201611,0.465270598638205,dw,88,88,854,2016,34412,404814,1528,11384,1162
400,511,170,152.24946958980894,3176054293,0.46578721281954,dw,90,90,856,2056,34456,412526,1528,11400,1178
408,511,170,154.79012674303215,3618065834,0.466284069103531,dw,92,92,858,2096,34500,420398,1528,11416,1194
416,511,170,157.31668221568975,4107614360,0.466762276253517,dw,93,93,859,2116,34522,424394,1528,11424,1202
424,511,170,159.85644498508944,4648198361,0.467222861829718,dw,95,95,861,2156,34566,432506,1528,11440,1218
432,511,170,162.39578191901748,5243432133,0.467666779469748,dw,97,97,863,2196,34610,440778,1528,11456,1234
440,511,170,164.92103066067287,5897040859,0.468094915401565,dw,98,98,864,2216,34632,444974,1528,11464,1242
448,511,170,167.45953769771816,6612855354,0.46850784327527,dw,100,100,866,2256,34676,453486,1528,11480,1258
456,511,170,169.9976434547874,7394806519,0.468906866883716,dw,102,102,868,2296,34720,462158,1528,11496,1274
464,511,170,172.52169981458346,8246919536,0.469292430457194,dw,103,103,869,2316,34742,466554,1528,11504,1282
472,511,170,175.05903081706805,9173307836,0.46966520207318,dw,105,105,871,2356,34786,475466,1528,11520,1298
480,511,170,177.58393964826078,10178166889,0.467069225642042,dw,107,107,873,2396,34830,484538,1528,11536,1314
488,511,170,180.10727745259697,11265767821,0.467513221575098,dw,108,108,874,2416,34852,489134,1528,11544,1322
496,511,170,182.643958796062,12440450928,0.467966836837485,dw,110,110,876,2456,34896,498446,1528,11560,1338
504,511,170,185.1803537375711,13706619079,0.46842946904982,dw,112,112,878,2496,34940,507918,1528,11576,1354
512,511,170,187.70291752690997,15068731077,0.468900424453382,dw,113,113,879,2516,34962,512714,1528,11584,1362
520,1023,341,190.86271539117104,49163168629931890761007104,0.454552282048385,dw,115,115,1649,2612,67764,839082,3064,22352,1492
528,1023,341,193.38873664618546,48788229896858216477753344,0.455151625471316,dw,117,117,1651,2652,67808,849066,3064,22368,1508
536,1023,341,195.90602655972344,48421740675721770838261760,0.455754929250386,dw,118,118,1652,2672,67830,854118,3064,22376,1516
544,1023,341,198.43170344466623,48063388301588979966279680,0.45636137290265,dw,120,120,1654,2712,67874,864342,3064,22392,1532
552,1023,341,200.9572246462495,47712876071156516237869056,0.456970100856061,dw,122,122,1656,2752,67918,874726,3064,22408,1548
560,1023,341,203.47393856360526,47369922210145597300670464,0.457580233527992,dw,123,123,1657,2772,67940,879978,3064,22416,1556
568,1023,341,205.9991176680957,47034258921187124726202368,0.458190877161391,dw,125,125,1659,2812,67984,890602,3064,22432,1572
576,1023,341,208.52413806432162,46705631504886176258457600,0.458801132511609,dw,127,127,1661,2852,68028,901386,3064,22448,1588
584,1023,341,211.04028674083722,46383797547510417305108480,0.459410102473964,dw,128,128,1662,2872,68050,906838,3064,22456,1596
592,1023,341,213.56496265280694,46068526169414787422748672,0.460016898738507,dw,130,130,1664,2912,68094,917862,3064,22472,1612
600,1023,341,216.08947532262178,45759597328908081380196352,0.46062064755443,dw,132,132,1666,2952,68138,929046,3064,22488,1628
608,1023,341,218.60506353534169,45456801176791365401444352,0.461220494682263,dw,133,133,1667,2972,68160,934698,3064,22496,1636
616,1023,341,221.1292269424851,45159937457266363574779904,0.461815609607502,dw,135,135,1669,3012,68204,946122,3064,22512,1652
624,1023,341,223.65322201362582,44868814951327762378391552,0.462405189084818,dw,137,137,1671,3052,68248,957706,3064,22528,1668
632,1023,341,226.16825146389132,44583250959124019770556416,0.462988460077421,dw,138,138,1672,3072,68270,963558,3064,22536,1676
640,1023,341,228.69189170445895,44303070818103068695986176,0.463564682151705,dw,140,140,1674,3112,68314,975382,3064,22552,1692
648,1023,341,231.2153586112633,44028107454055563114053632,0.464133149382954,dw,142,142,1676,3152,68358,987366,3064,22568,1708
656,1023,341,233.72982995386644,43758200962433803763056640,0.464693191823684,dw,143,143,1677,3172,68380,993418,3064,22576,1716
664,1023,341,236.25293676470815,43493198217562611041435648,0.465244176582151,dw,145,145,1679,3212,68424,1005642,3064,22592,1732
672,1023,341,238.77586577408732,43232952507572602405912576,0.465785508554731,dw,147,147,1681,3252,68468,1018026,3064,22608,1748
680,1023,341,241.2897799839323,42977323193078479933407232,0.466316630852248,dw,148,148,1682,3272,68490,1024278,3064,22616,1756
688,1023,341,243.81234464290114,42726175387798424602542080,0.466837024956869,dw,150,150,1684,3312,68534,1036902,3064,22632,1772
696,1023,341,246.3347278309808,42479379659466987710447616,0.467346210642995,dw,152,152,1686,3352,68578,1049686,3064,22648,1788
704,1023,341,248.84808707471365,42236811749534959516254208,0.467843745692544,dw,153,153,1687,3372,68600,1056138,3064,22656,1796
712,1023,341,251.37010309308263,41998352310277341630693376,0.468329225432237,dw,155,155,1689,3412,68644,1069162,3064,22672,1812
720,1023,341,253.89193491587008,41763886658045886722998272,0.468802282117869,dw,157,157,1691,3452,68688,1082346,3064,22688,1828
728,1023,341,256.4047430593056,41533304541507500678053888,0.469262584188148,dw,158,158,1692,3472,68710,1088998,3064,22696,1836
736,1023,341,258.9262065453502,41306499923804678164316160,0.469709835408453,dw,160,160,1694,3512,68754,1102422,3064,22712,1852
744,1023,341,261.4474841145596,41083370777659990379331584,0.470143773922794,dw,162,162,1696,3552,68798,1116006,3064,22728,1868
752,1023,341,263.95974696688523,40863818892525860116496384,0.470564171230387,dw,163,163,1697,3572,68820,1122858,3064,22736,1876
760,1023,341,266.4806567538782,40647749692951047652245504,0.470970831101492,dw,165,165,1699,3612,68864,1136682,3064,22752,1892
768,1023,341,269.00137990316193,40435072067401361909612544,0.471363588445625,dw,167,167,1701,3652,68908,1150666,3064,22768,1908
776,1023,341,271.5131052750852,40225698206830548679131136,0.471742308143739,dw,168,168,1702,3672,68930,1157718,3064,22776,1916
784,1023,341,274.0334628847895,40019543452351939662053376,0.472106883854706,dw,170,170,1704,3712,68974,1171942,3064,22792,1932
792,1023,341,276.55363409116677,39816526151410494627381248,0.472457236805197,dw,172,172,1706,3752,69018,1186326,3064,22808,1948
800,1023,341,279.0648317254468,39616567521900395627544576,0.472793314570966,dw,173,173,1707,3772,69040,1193578,3064,22816,1956
808,1023,341,281.5846412208145,39419591523714592493535232,0.473115089856565,dw,175,175,1709,3812,69084,1208202,3064,22832,1972
816,1023,341,284.1042654300962,39225524737250537492185088,0.47342255927961,dw,177,177,1711,3852,69128,1222986,3064,22848,1988
824,1023,341,286.6149468483161,39034296248431385371475968,0.473715742164909,dw,178,178,1712,3872,69150,1230438,3064,22856,1996
832,1023,341,289.1342146155866,38845837539833571748872192,0.473994679353037,dw,180,180,1714,3912,69194,1245462,3064,22872,2012
840,1023,341,291.6532990081914,38660082387541283712270336,0.474259432027278,dw,182,182,1716,3952,69238,1260646,3064,22888,2028
