d,n,k,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,1023,341,55.67718192498257,23718,0.306992257255228,ge19,18,18,1552,672,65630,546918,3064,21576,716
72,1023,341,58.50684217996085,57659,0.321127869413277,ge19,20,20,1554,712,65674,549142,3064,21592,732
80,511,170,60.09602723590765,34221,0.376856057909062,ge19,22,22,788,696,32960,240078,1528,10856,634
88,511,170,62.889402417728455,62753,0.38564527067818,ge19,24,24,790,736,33004,242510,1528,10872,650
96,511,170,65.663143012737,111166,0.393225120484262,ge19,26,26,792,776,33048,245102,1528,10888,666
104,511,170,68.2675412371305,190816,0.399823382500406,ge19,27,27,793,796,33070,246458,1528,10896,674
112,511,170,71.01620604218125,318215,0.405615048066263,ge19,29,29,795,836,33114,249290,1528,10912,690
120,511,170,73.75137398206165,516780,0.410736556638736,ge19,31,31,797,876,33158,252282,1528,10928,706
128,511,170,76.46557499167396,818981,0.415295711770948,ge19,32,32,798,896,33180,253838,1528,10936,714
136,511,170,79.17787592168061,1268903,0.419378720566519,ge19,34,34,800,936,33224,257070,1528,10952,730
144,511,170,81.76044890850798,1925278,0.423055276342031,ge19,36,36,802,976,33268,260462,1528,10968,746
152,511,170,84.45953336771294,2864962,0.426382285314945,ge19,38,38,804,1016,33312,264014,1528,10984,762
160,511,170,87.1403712662795,4186899,0.429406637721,ge19,39,39,805,1036,33334,265850,1528,10992,770
168,511,170,89.82370981460107,6016548,0.432167295094176,ge19,41,41,807,1076,33378,269642,1528,11008,786
176,511,170,92.50034400773858,8510754,0.434696881209347,ge19,43,43,809,1116,33422,273594,1528,11024,802
184,511,170,95.05694883997855,11863045,0.437022908056401,ge19,44,44,810,1136,33444,275630,1528,11032,810
192,511,170,97.7250953511862,16309309,0.439168730193222,ge19,46,46,812,1176,33488,279822,1528,11048,826
200,511,170,100.38780138060496,22133801,0.441154294678993,ge19,48,48,814,1216,33532,284174,1528,11064,842
208,511,170,103.03405459687296,29675427,0.442996735556571,ge19,49,49,815,1236,33554,286410,1528,11072,850
216,511,170,105.5937558265857,39334243,0.444710848971708,ge19,51,51,817,1276,33598,291002,1528,11088,866
224,511,170,108.24511480507834,51578091,0.446309475805971,ge19,53,53,819,1316,33642,295754,1528,11104,882
232,511,170,110.89224862668311,66949312,0.447803812038563,ge19,55,55,821,1356,33686,300666,1528,11120,898
240,511,170,113.52331963720157,86071447,0.449203662182923,ge19,56,56,822,1376,33708,303182,1528,11128,906
248,511,170,116.16262835665685,109655871,0.450517647549234,ge19,58,58,824,1416,33752,308334,1528,11144,922
256,511,170,118.71602183450422,138508263,0.451753378405035,ge19,60,60,826,1456,33796,313646,1528,11160,938
264,511,170,121.33836861414727,173534861,0.452917597092186,ge19,61,61,827,1476,33818,316362,1528,11168,946
272,511,170,123.96987840119108,215748430,0.454016297631564,ge19,63,63,829,1516,33862,321914,1528,11184,962
280,511,170,126.59836492621776,266273868,0.455054826180303,ge19,65,65,831,1556,33906,327626,1528,11200,978
288,511,170,129.13520789855548,326353414,0.456037965808296,ge19,66,66,832,1576,33928,330542,1528,11208,986
296,511,170,131.75994737316472,397351395,0.456970008364464,ge19,68,68,834,1616,33972,336494,1528,11224,1002
304,511,170,134.38201608591686,480758466,0.457854815659914,ge19,70,70,836,1656,34016,342606,1528,11240,1018
312,511,170,136.98843341135532,578195320,0.458695871768298,ge19,71,71,837,1676,34038,345722,1528,11248,1026
320,511,170,139.5350706304886,691415822,0.459496327906443,ge19,73,73,839,1716,34082,352074,1528,11264,1042
328,511,170,142.15145926938942,822309555,0.460259041090221,ge19,75,75,841,1756,34126,358586,1528,11280,1058
336,511,170,144.75225078279118,972903761,0.460986607546427,ge19,76,76,842,1776,34148,361902,1528,11288,1066
344,511,170,147.36410998738273,1145364666,0.461681391689315,ge19,78,78,844,1816,34192,368654,1528,11304,1082
352,511,170,149.97388699387434,1341998185,0.462345551331465,ge19,80,80,846,1856,34236,375566,1528,11320,1098
360,511,170,152.50407358752574,1565250016,0.462981059685912,ge19,81,81,847,1876,34258,379082,1528,11328,1106
368,511,170,155.11127977177347,1817705125,0.463589724624567,ge19,83,83,849,1916,34302,386234,1528,11344,1122
376,511,170,157.71658760371923,2102086642,0.464173205582739,ge19,85,85,851,1956,34346,393546,1528,11360,1138
384,511,170,160.32006864336125,2421254182,0.4647330284377,ge19,87,87,853,1996,34390,401018,1528,11376,1154
392,511,170,162.8480687021639,2778201611,0.465270598638205,ge19,88,88,854,2016,34412,404814,1528,11384,1162
400,511,170,165.44929527418319,3176054293,0.46578721281954,ge19,90,90,856,2056,34456,412526,1528,11400,1178
408,511,170,168.04883998319139,3618065834,0.466284069103531,ge19,92,92,858,2096,34500,420398,1528,11416,1194
416,511,170,170.63310518119332,4107614360,0.466762276253517,ge19,93,93,859,2116,34522,424394,1528,11424,1202
424,511,170,173.17286795059303,4648198361,0.467222861829718,ge19,95,95,861,2156,34566,432506,1528,11440,1218
432,511,170,175.76878297338394,5243432133,0.467666779469748,ge19,97,97,863,2196,34610,440778,1528,11456,1234
440,511,170,178.34952169600513,5897040859,0.468094915401565,ge19,98,98,864,2216,34632,444974,1528,11464,1242
448,511,170,180.94247167052043,6612855354,0.46850784327527,ge19,100,100,866,2256,34676,453486,1528,11480,1258
456,511,170,183.4805774275897,7394806519,0.468906866883716,ge19,102,102,868,2296,34720,462158,1528,11496,1274
464,511,170,186.0580684641373,8246919536,0.469292430457194,ge19,103,103,869,2316,34742,466554,1528,11504,1282
472,511,170,188.64786254976826,9173307836,0.46966520207318,ge19,105,105,871,2356,34786,475466,1528,11520,1298
480,511,170,191.22429757309118,10178166889,0.467069225642042,ge19,107,107,873,2396,34830,484538,1528,11536,1314
488,511,170,193.7982575544857,11265767821,0.467513221575098,ge19,108,108,874,2416,34852,489134,1528,11544,1322
496,511,170,196.33493889795076,12440450928,0.467966836837485,ge19,110,110,876,2456,34896,498446,1528,11560,1338
504,511,170,198.9210831767379,13706619079,0.46842946904982,ge19,112,112,878,2496,34940,507918,1528,11576,1354
512,511,170,201.49255305352582,15068731077,0.468900424453382,ge19,113,113,879,2516,34962,512714,1528,11584,1362
520,1023,341,204.70044186572022,49163168629931890761007104,0.454552282048385,ge19,115,115,1649,2612,67764,839082,3064,22352,1492
528,1023,341,207.27376565686393,48788229896858216477753344,0.455151625471316,ge19,117,117,1651,2652,67808,849066,3064,22368,1508
536,1023,341,209.83759512904766,48421740675721770838261760,0.455754929250386,ge19,118,118,1652,2672,67830,854118,3064,22376,1516
544,1023,341,212.36327201399044,48063388301588979966279680,0.45636137290265,ge19,120,120,1654,2712,67874,864342,3064,22392,1532
552,1023,341,214.93459401979382,47712876071156516237869056,0.456970100856061,ge19,122,122,1656,2752,67918,874726,3064,22408,1548
560,1023,341,217.49639307445176,47369922210145597300670464,0.457580233527992,ge19,123,123,1657,2772,67940,879978,3064,22416,1556
568,1023,341,220.06596367117058,47034258921187124726202368,0.458190877161391,ge19,125,125,1659,2812,67984,890602,3064,22432,1572
576,1023,341,222.5909840673965,46705631504886176258457600,0.458801132511609,ge19,127,127,1661,2852,68028,901386,3064,22448,1588
584,1023,341,225.15085161183956,46383797547510417305108480,0.459410102473964,ge19,128,128,1662,2872,68050,906838,3064,22456,1596
592,1023,341,227.7185938469086,46068526169414787422748672,0.460016898738507,ge19,130,130,1664,2912,68094,917862,3064,22472,1612
600,1023,341,230.28553948854287,45759597328908081380196352,0.46062064755443,ge19,132,132,1666,2952,68138,929046,3064,22488,1628
608,1023,341,232.80112770126274,45456801176791365401444352,0.461220494682263,ge19,133,133,1667,2972,68160,934698,3064,22496,1636
616,1023,341,235.36710908793216,45159937457266363574779904,0.461815609607502,ge19,135,135,1669,3012,68204,946122,3064,22512,1652
624,1023,341,237.93232471842342,44868814951327762378391552,0.462405189084818,ge19,137,137,1671,3052,68248,957706,3064,22528,1668
632,1023,341,240.48799413744808,44583250959124019770556416,0.462988460077421,ge19,138,138,1672,3072,68270,963558,3064,22536,1676
640,1023,341,243.05170988448882,44303070818103068695986176,0.463564682151705,ge19,140,140,1674,3112,68314,975382,3064,22552,1692
648,1023,341,245.5751767912932,44028107454055563114053632,0.464133149382954,ge19,142,142,1676,3152,68358,987366,3064,22568,1708
656,1023,341,248.1291746435392,43758200962433803763056640,0.464693191823684,ge19,143,143,1677,3172,68380,993418,3064,22576,1716
664,1023,341,250.69127380563245,43493198217562611041435648,0.465244176582151,ge19,145,145,1679,3212,68424,1005642,3064,22592,1732
672,1023,341,253.25267525273748,43232952507572602405912576,0.465785508554731,ge19,147,147,1681,3252,68468,1018026,3064,22608,1748
680,1023,341,255.7665894625825,42977323193078479933407232,0.466316630852248,ge19,148,148,1682,3272,68490,1024278,3064,22616,1756
688,1023,341,258.32712032828647,42726175387798424602542080,0.466837024956869,ge19,150,150,1684,3312,68534,1036902,3064,22632,1772
696,1023,341,260.8869766415293,42479379659466987710447616,0.467346210642995,ge19,152,152,1686,3352,68578,1049686,3064,22648,1788
704,1023,341,263.4373285724969,42236811749534959516254208,0.467843745692544,ge19,153,153,1687,3372,68600,1056138,3064,22656,1796
712,1023,341,265.9593445908659,41998352310277341630693376,0.468329225432237,ge19,155,155,1689,3412,68644,1069162,3064,22672,1812
720,1023,341,268.51770082643884,41763886658045886722998272,0.468802282117869,ge19,157,157,1691,3452,68688,1082346,3064,22688,1828
728,1023,341,271.0665768155348,41533304541507500678053888,0.469262584188148,ge19,158,158,1692,3472,68710,1088998,3064,22696,1836
736,1023,341,273.6236628538124,41306499923804678164316160,0.469709835408453,ge19,160,160,1694,3512,68754,1102422,3064,22712,1852
744,1023,341,276.14494042302175,41083370777659990379331584,0.470143773922794,ge19,162,162,1696,3552,68798,1116006,3064,22728,1868
752,1023,341,278.69239139537683,40863818892525860116496384,0.470564171230387,ge19,163,163,1697,3572,68820,1122858,3064,22736,1876
760,1023,341,281.2480653388263,40647749692951047652245504,0.470970831101492,ge19,165,165,1699,3612,68864,1136682,3064,22752,1892
768,1023,341,283.80313877572627,40435072067401361909612544,0.471363588445625,ge19,167,167,1701,3652,68908,1150666,3064,22768,1908
776,1023,341,286.31486414764953,40225698206830548679131136,0.471742308143739,ge19,168,168,1702,3672,68930,1157718,3064,22776,1916
784,1023,341,288.86916791456133,40019543452351939662053376,0.472106883854706,ge19,170,170,1704,3712,68974,1171942,3064,22792,1932
792,1023,341,291.4228905464402,39816526151410494627381248,0.472457236805197,ge19,172,172,1706,3752,69018,1186326,3064,22808,1948
800,1023,341,293.96725394911147,39616567521900395627544576,0.472793314570966,ge19,173,173,1707,3772,69040,1193578,3064,22816,1956
808,1023,341,296.48706344447913,39419591523714592493535232,0.473115089856565,ge19,175,175,1709,3812,69084,1208202,3064,22832,1972
816,1023,341,299.03947653026216,39225524737250537492185088,0.47342255927961,ge19,177,177,1711,3852,69128,1222986,3064,22848,1988
824,1023,341,301.5825784028446,39034296248431385371475968,0.473715742164909,ge19,178,178,1712,3872,69150,1230438,3064,22856,1996
832,1023,341,304.133906389753,38845837539833571748872192,0.473994679353037,ge19,180,180,1714,3912,69194,1245462,3064,22872,2012
840,1023,341,306.65299078235785,38660082387541283712270336,0.474259432027278,ge19,182,182,1716,3952,69238,1260646,3064,22888,2028
848,1023,341,309.19487698291954,38476966763375132804120576,0.474510080562273,ge19,183,183,1717,3972,69260,1268298,3064,22896,2036
856,1023,341,311.7449747173366,38296428742167126815539200,0.474746723397168,ge19,185,185,1719,4012,69304,1283722,3064,22912,2052
864,1023,341,314.2945544400674,38118408413777169511088128,0.474969475935607,ge19,187,187,1721,4052,69348,1299306,3064,22928,2068
872,1023,341,316.8349399855689,37942847799567001967394816,0.475178469474459,ge19,188,188,1722,4072,69370,1307158,3064,22936,2076
880,1023,341,319.35315143565435,37769690773067268943249408,0.475373850162823,ge19,190,190,1724,4112,69414,1322982,3064,22952,2092
888,1023,341,321.9015581340896,37598882984591063194271744,0.475555777992502,ge19,192,192,1726,4152,69458,1338966,3064,22968,2108
896,1023,341,324.44083102783344,37430371789564214226452480,0.475724425820849,ge19,193,193,1727,4172,69480,1347018,3064,22976,2116
904,1023,341,326.9882777337302,37264106180357366965338112,0.475879978426612,ge19,195,195,1729,4212,69524,1363242,3064,22992,2132
912,1023,341,329.5058040344616,37100036721419812239048704,0.476022631599197,ge19,197,197,1731,4252,69568,1379626,3064,23008,2148
920,1023,341,332.0440067808827,36938115487527280220045312,0.476152591261553,ge19,198,198,1732,4272,69590,1387878,3064,23016,2156
928,1023,341,334.5903542127685,36778296004969033390620672,0.476270072626691,ge19,200,200,1734,4312,69634,1404502,3064,23032,2172
936,1023,341,337.13624044593604,36620533195509942173302784,0.476375299387739,ge19,202,202,1736,4352,69678,1421286,3064,23048,2188
944,1023,341,339.64456047447567,36464783322974238663507968,0.476468502941244,ge19,203,203,1737,4372,69700,1429738,3064,23056,2196
952,1023,341,342.1898463787731,36311003942307419247345664,0.476549921643367,ge19,205,205,1739,4412,69744,1446762,3064,23072,2212
960,1023,341,344.73468689283044,36159153850981185023377408,0.47661980009849,ge19,207,207,1741,4452,69788,1463946,3064,23088,2228
968,1023,341,347.27059838419785,36009193042615500177145856,0.476678388479685,ge19,208,208,1742,4472,69810,1472598,3064,23096,2236
976,1023,341,349.7868461367468,35861082662698827779145728,0.47672594188041,ge19,210,210,1744,4512,69854,1490022,3064,23112,2252
984,1023,341,352.33067761175494,35714784966295642655686656,0.476762719696759,ge19,212,212,1746,4552,69898,1507606,3064,23128,2268
992,1023,341,354.86565092628507,35570263277636308166508544,0.476788985039528,ge19,213,213,1747,4572,69920,1516458,3064,23136,2276
1000,1023,341,357.4086650337987,35427481951491499008983040,0.476805004175332,ge19,215,215,1749,4612,69964,1534282,3064,23152,2292
1008,1023,341,359.9243024975635,35286406336238325740863488,0.476811045995967,ge19,217,217,1751,4652,70008,1552266,3064,23168,2308
1016,1023,341,362.45837531545914,35147002738531686150045696,0.4768073815152,ge19,218,218,1752,4672,70030,1561318,3064,23176,2316
1024,1023,341,365.0004463285437,35009238389498753761411072,0.476794283392151,ge19,220,220,1754,4712,70074,1579542,3064,23192,2332
