d,n,k,log_cost,pf_inv,eta,metric,gates,depth
64,255,85,35.24182522009978,1952,0.370059853025591,naive_classical,1,1
72,255,85,38.7649992386351,3022,0.379578039014047,naive_classical,1,1
80,255,85,42.265340949506,4492,0.387484752736002,naive_classical,1,1
88,127,42,45.91246077590284,713,0.427865334318884,naive_classical,1,1
96,127,42,49.373607798824104,834,0.432137889083812,naive_classical,1,1
104,127,42,52.82266114584951,960,0.435803051950994,naive_classical,1,1
112,127,42,56.261490557615076,1089,0.438981118426032,naive_classical,1,1
120,127,42,59.69156948006741,1220,0.441762712267589,naive_classical,1,1
128,127,42,63.11407851773772,1353,0.444217371992791,naive_classical,1,1
136,255,85,66.39123758394018,33179,0.419129875674728,naive_classical,1,1
144,255,85,69.80442463493821,40891,0.421801318325766,naive_classical,1,1
152,255,85,73.21219084300327,49720,0.424211361286918,naive_classical,1,1
160,255,85,76.61511953035351,59719,0.426396320747922,naive_classical,1,1
168,255,85,80.01370624216865,70936,0.428386122704902,naive_classical,1,1
176,255,85,83.40837529599465,83410,0.43020564217028,naive_classical,1,1
184,255,85,86.79949264398604,97176,0.431875720614838,naive_classical,1,1
192,255,85,90.18737598433717,112257,0.433413948018303,naive_classical,1,1
200,255,85,93.57230279373067,128672,0.434835270473238,naive_classical,1,1
208,255,85,96.95451676980703,146434,0.436152466955149,naive_classical,1,1
216,255,85,100.3342330443019,165549,0.437376526878683,naive_classical,1,1
224,255,85,103.71164243607713,186017,0.438516951643476,naive_classical,1,1
232,255,85,107.08691494728723,207833,0.439581997389289,naive_classical,1,1
240,255,85,110.46020265771317,230987,0.440578871873608,naive_classical,1,1
248,255,85,113.83164213666657,255467,0.441513895250376,naive_classical,1,1
256,255,85,117.20135646525806,281255,0.442392632222768,naive_classical,1,1
264,511,170,120.62015541011102,173534861,0.452917597092186,naive_classical,1,1
272,511,170,123.98849662020906,215748430,0.454016297631564,naive_classical,1,1
280,511,170,127.35532826095793,266273868,0.455054826180303,naive_classical,1,1
288,511,170,130.72074056275434,326353414,0.456037965808296,naive_classical,1,1
296,511,170,134.08481601844608,397351395,0.456970008364464,naive_classical,1,1
304,511,170,137.44763023304478,480758466,0.457854815659914,naive_classical,1,1
312,511,170,140.8092526610418,578195320,0.458695871768298,naive_classical,1,1
320,511,170,144.1697472485643,691415822,0.459496327906443,naive_classical,1,1
328,511,170,147.52917299462334,822309555,0.460259041090221,naive_classical,1,1
336,511,170,150.8875844432913,972903761,0.460986607546427,naive_classical,1,1
344,511,170,154.2450321166886,1145364666,0.461681391689315,naive_classical,1,1
352,511,170,157.60156289705762,1341998185,0.462345551331465,naive_classical,1,1
360,511,170,160.95722036489207,1565250016,0.462981059685912,naive_classical,1,1
368,511,170,164.31204509900795,1817705125,0.463589724624567,naive_classical,1,1
376,511,170,167.66607494354838,2102086642,0.464173205582739,naive_classical,1,1
384,511,170,171.01934524617144,2421254182,0.4647330284377,naive_classical,1,1
392,511,170,174.37188907105002,2778201611,0.465270598638205,naive_classical,1,1
400,511,170,177.72373738979326,3176054293,0.46578721281954,naive_classical,1,1
408,511,170,181.0749192529634,3618065834,0.466284069103531,naive_classical,1,1
416,511,170,184.425461944493,4107614360,0.466762276253517,naive_classical,1,1
424,511,170,187.77539112099578,4648198361,0.467222861829718,naive_classical,1,1
432,511,170,191.12473093770095,5243432133,0.467666779469748,naive_classical,1,1
440,511,170,194.47350416251376,5897040859,0.468094915401565,naive_classical,1,1
448,511,170,197.82173091683947,6612855354,0.46850784327527,naive_classical,1,1
456,511,170,201.16943440108744,7394806519,0.468906866883716,naive_classical,1,1
464,511,170,204.5166323275155,8246919536,0.469292430457194,naive_classical,1,1
472,511,170,207.8633428536132,9173307836,0.46966520207318,naive_classical,1,1
480,511,170,211.193531116053,10178166889,0.467069225642042,naive_classical,1,1
488,511,170,214.5398216058211,11265767821,0.467513221575098,naive_classical,1,1
496,511,170,217.88578677645626,12440450928,0.467966836837485,naive_classical,1,1
504,511,170,221.23143551716845,13706619079,0.46842946904982,naive_classical,1,1
512,511,170,224.57677564988612,15068731077,0.468900424453382,naive_classical,1,1
520,1023,341,227.84229611673933,49163168629931890761007104,0.454552282048385,naive_classical,1,1
528,1023,341,231.18757126177235,48788229896858216477753344,0.455151625471316,naive_classical,1,1
536,1023,341,234.53254621899328,48421740675721770838261760,0.455754929250386,naive_classical,1,1
544,1023,341,237.87722624135827,48063388301588979966279680,0.45636137290265,naive_classical,1,1
552,1023,341,241.22161596298002,47712876071156516237869056,0.456970100856061,naive_classical,1,1
560,1023,341,244.5657194802888,47369922210145597300670464,0.457580233527992,naive_classical,1,1
568,1023,341,247.90954042536765,47034258921187124726202368,0.458190877161391,naive_classical,1,1
576,1023,341,251.25308203205887,46705631504886176258457600,0.458801132511609,naive_classical,1,1
584,1023,341,254.59634719540702,46383797547510417305108480,0.459410102473964,naive_classical,1,1
592,1023,341,257.9393385249735,46068526169414787422748672,0.460016898738507,naive_classical,1,1
600,1023,341,261.2820583925259,45759597328908081380196352,0.46062064755443,naive_classical,1,1
608,1023,341,264.6245089745737,45456801176791365401444352,0.461220494682263,naive_classical,1,1
616,1023,341,267.9666922901899,45159937457266363574779904,0.461815609607502,naive_classical,1,1
624,1023,341,271.3086102345298,44868814951327762378391552,0.462405189084818,naive_classical,1,1
632,1023,341,274.6502646084266,44583250959124019770556416,0.462988460077421,naive_classical,1,1
640,1023,341,277.99165714441705,44303070818103068695986176,0.463564682151705,naive_classical,1,1
648,1023,341,281.3327895295237,44028107454055563114053632,0.464133149382954,naive_classical,1,1
656,1023,341,284.67366342509456,43758200962433803763056640,0.464693191823684,naive_classical,1,1
664,1023,341,288.01428048397725,43493198217562611041435648,0.465244176582151,naive_classical,1,1
672,1023,341,291.3546423652842,43232952507572602405912576,0.465785508554731,naive_classical,1,1
680,1023,341,294.6947507469818,42977323193078479933407232,0.466316630852248,naive_classical,1,1
688,1023,341,298.0346073365205,42726175387798424602542080,0.466837024956869,naive_classical,1,1
696,1023,341,301.3742138797014,42479379659466987710447616,0.467346210642995,naive_classical,1,1
704,1023,341,304.7135721679616,42236811749534959516254208,0.467843745692544,naive_classical,1,1
712,1023,341,308.05268404424237,41998352310277341630693376,0.468329225432237,naive_classical,1,1
720,1023,341,311.39155140759135,41763886658045886722998272,0.468802282117869,naive_classical,1,1
728,1023,341,314.73017621663723,41533304541507500678053888,0.469262584188148,naive_classical,1,1
736,1023,341,318.06856049206107,41306499923804678164316160,0.469709835408453,naive_classical,1,1
744,1023,341,321.4067063181806,41083370777659990379331584,0.470143773922794,naive_classical,1,1
752,1023,341,324.74461584374995,40863818892525860116496384,0.470564171230387,naive_classical,1,1
760,1023,341,328.0822912820705,40647749692951047652245504,0.470970831101492,naive_classical,1,1
768,1023,341,331.4197349104985,40435072067401361909612544,0.471363588445625,naive_classical,1,1
776,1023,341,334.75694906942795,40225698206830548679131136,0.471742308143739,naive_classical,1,1
784,1023,341,338.0939361608187,40019543452351939662053376,0.472106883854706,naive_classical,1,1
792,1023,341,341.4306986463347,39816526151410494627381248,0.472457236805197,naive_classical,1,1
800,1023,341,344.76723904514944,39616567521900395627544576,0.472793314570966,naive_classical,1,1
808,1023,341,348.10355993147175,39419591523714592493535232,0.473115089856565,naive_classical,1,1
816,1023,341,351.4396639318385,39225524737250537492185088,0.47342255927961,naive_classical,1,1
824,1023,341,354.77555372221656,39034296248431385371475968,0.473715742164909,naive_classical,1,1
832,1023,341,358.1112320249528,38845837539833571748872192,0.473994679353037,naive_classical,1,1
840,1023,341,361.4467016056056,38660082387541283712270336,0.474259432027278,naive_classical,1,1
848,1023,341,364.7819652696889,38476966763375132804120576,0.474510080562273,naive_classical,1,1
856,1023,341,368.1170258593559,38296428742167126815539200,0.474746723397168,naive_classical,1,1
864,1023,341,371.4518862500472,38118408413777169511088128,0.474969475935607,naive_classical,1,1
872,1023,341,374.7865493471241,37942847799567001967394816,0.475178469474459,naive_classical,1,1
880,1023,341,378.12101808250685,37769690773067268943249408,0.475373850162823,naive_classical,1,1
888,1023,341,381.4552954113349,37598882984591063194271744,0.475555777992502,naive_classical,1,1
896,1023,341,384.7893843086631,37430371789564214226452480,0.475724425820849,naive_classical,1,1
904,1023,341,388.1232877662071,37264106180357366965338112,0.475879978426612,naive_classical,1,1
912,1023,341,391.45700878914994,37100036721419812239048704,0.476022631599197,naive_classical,1,1
920,1023,341,394.79055039301767,36938115487527280220045312,0.476152591261553,naive_classical,1,1
928,1023,341,398.1239156006345,36778296004969033390620672,0.476270072626691,naive_classical,1,1
936,1023,341,401.45710743916214,36620533195509942173302784,0.476375299387739,naive_classical,1,1
944,1023,341,404.7901289372309,36464783322974238663507968,0.476468502941244,naive_classical,1,1
952,1023,341,408.12298312216654,36311003942307419247345664,0.476549921643367,naive_classical,1,1
960,1023,341,411.45567301731654,36159153850981185023377408,0.47661980009849,naive_classical,1,1
968,1023,341,414.78820163947904,36009193042615500177145856,0.476678388479685,naive_classical,1,1
976,1023,341,418.12057199643675,35861082662698827779145728,0.47672594188041,naive_classical,1,1
984,1023,341,421.4527870845971,35714784966295642655686656,0.476762719696759,naive_classical,1,1
992,1023,341,424.7848498867396,35570263277636308166508544,0.476788985039528,naive_classical,1,1
1000,1023,341,428.11676336987074,35427481951491499008983040,0.476805004175332,naive_classical,1,1
1008,1023,341,431.44853048318606,35286406336238325740863488,0.476811045995967,naive_classical,1,1
1016,1023,341,434.7801541561402,35147002738531686150045696,0.4768073815152,naive_classical,1,1
1024,1023,341,438.1116372966209,35009238389498753761411072,0.476794283392151,naive_classical,1,1
