d,n,k,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,1023,341,26.527428667405914,23718,0.306992257255228,naive_quantum,1,1,1,1,1,1,1,1,1
72,1023,341,29.181456414559747,57659,0.321127869413277,naive_quantum,1,1,1,1,1,1,1,1,1
80,511,170,31.96431752203464,34221,0.376856057909062,naive_quantum,1,1,1,1,1,1,1,1,1
88,511,170,34.58281097338159,62753,0.38564527067818,naive_quantum,1,1,1,1,1,1,1,1,1
96,511,170,37.18931584412161,111166,0.393225120484262,naive_quantum,1,1,1,1,1,1,1,1,1
104,511,170,39.78575451347514,190816,0.399823382500406,naive_quantum,1,1,1,1,1,1,1,1,1
112,511,170,42.37363654667673,318215,0.405615048066263,naive_quantum,1,1,1,1,1,1,1,1,1
120,511,170,44.95416672269171,516780,0.410736556638736,naive_quantum,1,1,1,1,1,1,1,1,1
128,511,170,47.528320265218156,818981,0.415295711770948,naive_quantum,1,1,1,1,1,1,1,1,1
136,511,170,50.096896486017854,1268903,0.419378720566519,naive_quantum,1,1,1,1,1,1,1,1,1
144,511,170,52.66055782427931,1925278,0.423055276342031,naive_quantum,1,1,1,1,1,1,1,1,1
152,511,170,55.21985877093528,2864962,0.426382285314945,naive_quantum,1,1,1,1,1,1,1,1,1
160,511,170,57.77526764147894,4186899,0.429406637721,naive_quantum,1,1,1,1,1,1,1,1,1
168,511,170,60.327183199828134,6016548,0.432167295094176,naive_quantum,1,1,1,1,1,1,1,1,1
176,511,170,62.87594751442469,8510754,0.434696881209347,naive_quantum,1,1,1,1,1,1,1,1,1
184,511,170,65.42185601672102,11863045,0.437022908056401,naive_quantum,1,1,1,1,1,1,1,1,1
192,511,170,67.96516545474077,16309309,0.439168730193222,naive_quantum,1,1,1,1,1,1,1,1,1
200,511,170,70.50610024366942,22133801,0.441154294678993,naive_quantum,1,1,1,1,1,1,1,1,1
208,511,170,73.0448575821574,29675427,0.442996735556571,naive_quantum,1,1,1,1,1,1,1,1,1
216,511,170,75.5816116084938,39334243,0.444710848971708,naive_quantum,1,1,1,1,1,1,1,1,1
224,511,170,78.11651680284963,51578091,0.446309475805971,naive_quantum,1,1,1,1,1,1,1,1,1
232,511,170,80.6497107923138,66949312,0.447803812038563,naive_quantum,1,1,1,1,1,1,1,1,1
240,511,170,83.1813166790051,86071447,0.449203662182923,naive_quantum,1,1,1,1,1,1,1,1,1
248,511,170,85.71144498441865,109655871,0.450517647549234,naive_quantum,1,1,1,1,1,1,1,1,1
256,511,170,88.24019528276871,138508263,0.451753378405035,naive_quantum,1,1,1,1,1,1,1,1,1
264,511,170,90.76765758061205,173534861,0.452917597092186,naive_quantum,1,1,1,1,1,1,1,1,1
272,511,170,93.29391348818557,215748430,0.454016297631564,naive_quantum,1,1,1,1,1,1,1,1,1
280,511,170,95.81903721874723,266273868,0.455054826180303,naive_quantum,1,1,1,1,1,1,1,1,1
288,511,170,98.34309644509455,326353414,0.456037965808296,naive_quantum,1,1,1,1,1,1,1,1,1
296,511,170,100.86615303686334,397351395,0.456970008364464,naive_quantum,1,1,1,1,1,1,1,1,1
304,511,170,103.38826369781236,480758466,0.457854815659914,naive_quantum,1,1,1,1,1,1,1,1,1
312,511,170,105.90948051881013,578195320,0.458695871768298,naive_quantum,1,1,1,1,1,1,1,1,1
320,511,170,108.42985145945202,691415822,0.459496327906443,naive_quantum,1,1,1,1,1,1,1,1,1
328,511,170,110.94942076899628,822309555,0.460259041090221,naive_quantum,1,1,1,1,1,1,1,1,1
336,511,170,113.46822935549724,972903761,0.460986607546427,naive_quantum,1,1,1,1,1,1,1,1,1
344,511,170,115.98631511054522,1145364666,0.461681391689315,naive_quantum,1,1,1,1,1,1,1,1,1
352,511,170,118.50371319582199,1341998185,0.462345551331465,naive_quantum,1,1,1,1,1,1,1,1,1
360,511,170,121.02045629669783,1565250016,0.462981059685912,naive_quantum,1,1,1,1,1,1,1,1,1
368,511,170,123.53657484728475,1817705125,0.463589724624567,naive_quantum,1,1,1,1,1,1,1,1,1
376,511,170,126.05209723069007,2102086642,0.464173205582739,naive_quantum,1,1,1,1,1,1,1,1,1
384,511,170,128.56704995765736,2421254182,0.4647330284377,naive_quantum,1,1,1,1,1,1,1,1,1
392,511,170,131.0814578263163,2778201611,0.465270598638205,naive_quantum,1,1,1,1,1,1,1,1,1
400,511,170,133.59534406537372,3176054293,0.46578721281954,naive_quantum,1,1,1,1,1,1,1,1,1
408,511,170,136.10873046275137,3618065834,0.466284069103531,naive_quantum,1,1,1,1,1,1,1,1,1
416,511,170,138.62163748139852,4107614360,0.466762276253517,naive_quantum,1,1,1,1,1,1,1,1,1
424,511,170,141.13408436377563,4648198361,0.467222861829718,naive_quantum,1,1,1,1,1,1,1,1,1
432,511,170,143.64608922630447,5243432133,0.467666779469748,naive_quantum,1,1,1,1,1,1,1,1,1
440,511,170,146.1576691449141,5897040859,0.468094915401565,naive_quantum,1,1,1,1,1,1,1,1,1
448,511,170,148.6688392106584,6612855354,0.46850784327527,naive_quantum,1,1,1,1,1,1,1,1,1
456,511,170,151.17961682384436,7394806519,0.468906866883716,naive_quantum,1,1,1,1,1,1,1,1,1
464,511,170,153.6900152686654,8246919536,0.469292430457194,naive_quantum,1,1,1,1,1,1,1,1,1
472,511,170,156.20004816323868,9173307836,0.46966520207318,naive_quantum,1,1,1,1,1,1,1,1,1
480,511,170,158.69768936006852,10178166889,0.467069225642042,naive_quantum,1,1,1,1,1,1,1,1,1
488,511,170,161.2074072273946,11265767821,0.467513221575098,naive_quantum,1,1,1,1,1,1,1,1,1
496,511,170,163.716881105371,12440450928,0.467966836837485,naive_quantum,1,1,1,1,1,1,1,1,1
504,511,170,166.22611766090512,13706619079,0.46842946904982,naive_quantum,1,1,1,1,1,1,1,1,1
512,511,170,168.73512276044337,15068731077,0.468900424453382,naive_quantum,1,1,1,1,1,1,1,1,1
520,1023,341,171.18426311058326,49163168629931890761007104,0.454552282048385,naive_quantum,1,1,1,1,1,1,1,1,1
528,1023,341,173.693219469358,48788229896858216477753344,0.455151625471316,naive_quantum,1,1,1,1,1,1,1,1,1
536,1023,341,176.20195068727375,48421740675721770838261760,0.455754929250386,naive_quantum,1,1,1,1,1,1,1,1,1
544,1023,341,178.71046070404748,48063388301588979966279680,0.45636137290265,naive_quantum,1,1,1,1,1,1,1,1,1
552,1023,341,181.2187529952638,47712876071156516237869056,0.456970100856061,naive_quantum,1,1,1,1,1,1,1,1,1
560,1023,341,183.72683063324538,47369922210145597300670464,0.457580233527992,naive_quantum,1,1,1,1,1,1,1,1,1
568,1023,341,186.23469634205452,47034258921187124726202368,0.458190877161391,naive_quantum,1,1,1,1,1,1,1,1,1
576,1023,341,188.74235254707295,46705631504886176258457600,0.458801132511609,naive_quantum,1,1,1,1,1,1,1,1,1
584,1023,341,191.24980141958403,46383797547510417305108480,0.459410102473964,naive_quantum,1,1,1,1,1,1,1,1,1
592,1023,341,193.7570449167589,46068526169414787422748672,0.460016898738507,naive_quantum,1,1,1,1,1,1,1,1,1
600,1023,341,196.26408481742322,45759597328908081380196352,0.46062064755443,naive_quantum,1,1,1,1,1,1,1,1,1
608,1023,341,198.77092275395904,45456801176791365401444352,0.461220494682263,naive_quantum,1,1,1,1,1,1,1,1,1
616,1023,341,201.2775602406712,45159937457266363574779904,0.461815609607502,naive_quantum,1,1,1,1,1,1,1,1,1
624,1023,341,203.78399869892615,44868814951327762378391552,0.462405189084818,naive_quantum,1,1,1,1,1,1,1,1,1
632,1023,341,206.29023947934874,44583250959124019770556416,0.462988460077421,naive_quantum,1,1,1,1,1,1,1,1,1
640,1023,341,208.79628388134154,44303070818103068695986176,0.463564682151705,naive_quantum,1,1,1,1,1,1,1,1,1
648,1023,341,211.30213317017157,44028107454055563114053632,0.464133149382954,naive_quantum,1,1,1,1,1,1,1,1,1
656,1023,341,213.8077885918497,43758200962433803763056640,0.464693191823684,naive_quantum,1,1,1,1,1,1,1,1,1
664,1023,341,216.31325138601173,43493198217562611041435648,0.465244176582151,naive_quantum,1,1,1,1,1,1,1,1,1
672,1023,341,218.8185227969919,43232952507572602405912576,0.465785508554731,naive_quantum,1,1,1,1,1,1,1,1,1
680,1023,341,221.32360408326517,42977323193078479933407232,0.466316630852248,naive_quantum,1,1,1,1,1,1,1,1,1
688,1023,341,223.82849652541913,42726175387798424602542080,0.466837024956869,naive_quantum,1,1,1,1,1,1,1,1,1
696,1023,341,226.33320143280483,42479379659466987710447616,0.467346210642995,naive_quantum,1,1,1,1,1,1,1,1,1
704,1023,341,228.83772014899998,42236811749534959516254208,0.467843745692544,naive_quantum,1,1,1,1,1,1,1,1,1
712,1023,341,231.34205405621054,41998352310277341630693376,0.468329225432237,naive_quantum,1,1,1,1,1,1,1,1,1
720,1023,341,233.84620457872234,41763886658045886722998272,0.468802282117869,naive_quantum,1,1,1,1,1,1,1,1,1
728,1023,341,236.3501731855067,41533304541507500678053888,0.469262584188148,naive_quantum,1,1,1,1,1,1,1,1,1
736,1023,341,238.85396139207458,41306499923804678164316160,0.469709835408453,naive_quantum,1,1,1,1,1,1,1,1,1
744,1023,341,241.35757076166425,41083370777659990379331584,0.470143773922794,naive_quantum,1,1,1,1,1,1,1,1,1
752,1023,341,243.86100290584127,40863818892525860116496384,0.470564171230387,naive_quantum,1,1,1,1,1,1,1,1,1
760,1023,341,246.36425948458165,40647749692951047652245504,0.470970831101492,naive_quantum,1,1,1,1,1,1,1,1,1
768,1023,341,248.86734220590264,40435072067401361909612544,0.471363588445625,naive_quantum,1,1,1,1,1,1,1,1,1
776,1023,341,251.37025282509973,40225698206830548679131136,0.471742308143739,naive_quantum,1,1,1,1,1,1,1,1,1
784,1023,341,253.87299314364282,40019543452351939662053376,0.472106883854706,naive_quantum,1,1,1,1,1,1,1,1,1
792,1023,341,256.3755650077798,39816526151410494627381248,0.472457236805197,naive_quantum,1,1,1,1,1,1,1,1,1
800,1023,341,258.87797030689086,39616567521900395627544576,0.472793314570966,naive_quantum,1,1,1,1,1,1,1,1,1
808,1023,341,261.3802109716326,39419591523714592493535232,0.473115089856565,naive_quantum,1,1,1,1,1,1,1,1,1
816,1023,341,263.88228897190766,39225524737250537492185088,0.47342255927961,naive_quantum,1,1,1,1,1,1,1,1,1
824,1023,341,266.3842063146912,39034296248431385371475968,0.473715742164909,naive_quantum,1,1,1,1,1,1,1,1,1
832,1023,341,268.88596504174336,38845837539833571748872192,0.473994679353037,naive_quantum,1,1,1,1,1,1,1,1,1
840,1023,341,271.387567227233,38660082387541283712270336,0.474259432027278,naive_quantum,1,1,1,1,1,1,1,1,1
848,1023,341,273.8890149752954,38476966763375132804120576,0.474510080562273,naive_quantum,1,1,1,1,1,1,1,1,1
856,1023,341,276.3903104175457,38296428742167126815539200,0.474746723397168,naive_quantum,1,1,1,1,1,1,1,1,1
864,1023,341,278.8914557105642,38118408413777169511088128,0.474969475935607,naive_quantum,1,1,1,1,1,1,1,1,1
872,1023,341,281.39245303337185,37942847799567001967394816,0.475178469474459,naive_quantum,1,1,1,1,1,1,1,1,1
880,1023,341,283.8933045849089,37769690773067268943249408,0.475373850162823,naive_quantum,1,1,1,1,1,1,1,1,1
888,1023,341,286.39401258153,37598882984591063194271744,0.475555777992502,naive_quantum,1,1,1,1,1,1,1,1,1
896,1023,341,288.89457925452604,37430371789564214226452480,0.475724425820849,naive_quantum,1,1,1,1,1,1,1,1,1
904,1023,341,291.3950068476841,37264106180357366965338112,0.475879978426612,naive_quantum,1,1,1,1,1,1,1,1,1
912,1023,341,293.8952976148912,37100036721419812239048704,0.476022631599197,naive_quantum,1,1,1,1,1,1,1,1,1
920,1023,341,296.39545381779203,36938115487527280220045312,0.476152591261553,naive_quantum,1,1,1,1,1,1,1,1,1
928,1023,341,298.89547772350465,36778296004969033390620672,0.476270072626691,naive_quantum,1,1,1,1,1,1,1,1,1
936,1023,341,301.39537160240036,36620533195509942173302784,0.476375299387739,naive_quantum,1,1,1,1,1,1,1,1,1
944,1023,341,303.895137725952,36464783322974238663507968,0.476468502941244,naive_quantum,1,1,1,1,1,1,1,1,1
952,1023,341,306.39477836465375,36311003942307419247345664,0.476549921643367,naive_quantum,1,1,1,1,1,1,1,1,1
960,1023,341,308.8942957860162,36159153850981185023377408,0.47661980009849,naive_quantum,1,1,1,1,1,1,1,1,1
968,1023,341,311.39369225263806,36009193042615500177145856,0.476678388479685,naive_quantum,1,1,1,1,1,1,1,1,1
976,1023,341,313.8929700203563,35861082662698827779145728,0.47672594188041,naive_quantum,1,1,1,1,1,1,1,1,1
984,1023,341,316.3921313364766,35714784966295642655686656,0.476762719696759,naive_quantum,1,1,1,1,1,1,1,1,1
992,1023,341,318.8911784380835,35570263277636308166508544,0.476788985039528,naive_quantum,1,1,1,1,1,1,1,1,1
1000,1023,341,321.3901135504318,35427481951491499008983040,0.476805004175332,naive_quantum,1,1,1,1,1,1,1,1,1
1008,1023,341,323.8889388854184,35286406336238325740863488,0.476811045995967,naive_quantum,1,1,1,1,1,1,1,1,1
1016,1023,341,326.3876566401339,35147002738531686150045696,0.4768073815152,naive_quantum,1,1,1,1,1,1,1,1,1
1024,1023,341,328.8862689954945,35009238389498753761411072,0.476794283392151,naive_quantum,1,1,1,1,1,1,1,1,1
