d,n,k,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,1023,341,40.92456847364152,23718,0.306992257255228,t_count,18,18,1552,672,65630,546918,3064,21576,716
72,1023,341,43.5796656760266,57659,0.321127869413277,t_count,20,20,1554,712,65674,549142,3064,21592,732
80,511,170,45.370522527453495,34221,0.376856057909062,t_count,22,22,788,696,32960,240078,1528,10856,634
88,511,170,47.99114071414898,62753,0.38564527067818,t_count,24,24,790,736,33004,242510,1528,10872,650
96,511,170,50.599767195625596,111166,0.393225120484262,t_count,26,26,792,776,33048,245102,1528,10888,666
104,511,170,53.197265501487216,190816,0.399823382500406,t_count,27,27,793,796,33070,246458,1528,10896,674
112,511,170,55.787264475700894,318215,0.405615048066263,t_count,29,29,795,836,33114,249290,1528,10912,690
120,511,170,58.36990849098179,516780,0.410736556638736,t_count,31,31,797,876,33158,252282,1528,10928,706
128,511,170,60.94511779282421,818981,0.415295711770948,t_count,32,32,798,896,33180,253838,1528,10936,714
136,511,170,63.51580321727575,1268903,0.419378720566519,t_count,34,34,800,936,33224,257070,1528,10952,730
144,511,170,66.08157068005853,1925278,0.423055276342031,t_count,36,36,802,976,33268,260462,1528,10968,746
152,511,170,68.64297468108238,2864962,0.426382285314945,t_count,38,38,804,1016,33312,264014,1528,10984,762
160,511,170,71.19943393029705,4186899,0.429406637721,t_count,39,39,805,1036,33334,265850,1528,10992,770
168,511,170,73.75344795453023,6016548,0.432167295094176,t_count,41,41,807,1076,33378,269642,1528,11008,786
176,511,170,76.30430768712898,8510754,0.434696881209347,t_count,43,43,809,1116,33422,273594,1528,11024,802
184,511,170,78.85126275823501,11863045,0.437022908056401,t_count,44,44,810,1136,33444,275630,1528,11032,810
192,511,170,81.39666305899883,16309309,0.439168730193222,t_count,46,46,812,1176,33488,279822,1528,11048,826
200,511,170,83.93968568481992,22133801,0.441154294678993,t_count,48,48,814,1216,33532,284174,1528,11064,842
208,511,170,86.47948580979413,29675427,0.442996735556571,t_count,49,49,815,1236,33554,286410,1528,11072,850
216,511,170,89.01832315063102,39334243,0.444710848971708,t_count,51,51,817,1276,33598,291002,1528,11088,866
224,511,170,91.55530865542791,51578091,0.446309475805971,t_count,53,53,819,1316,33642,295754,1528,11104,882
232,511,170,94.09057995992467,66949312,0.447803812038563,t_count,55,55,821,1356,33686,300666,1528,11120,898
240,511,170,96.62322338354734,86071447,0.449203662182923,t_count,56,56,822,1376,33708,303182,1528,11128,906
248,511,170,99.1554245270199,109655871,0.450517647549234,t_count,58,58,824,1416,33752,308334,1528,11144,922
256,511,170,101.68624468948528,138508263,0.451753378405035,t_count,60,60,826,1456,33796,313646,1528,11160,938
264,511,170,104.2147408068217,173534861,0.452917597092186,t_count,61,61,827,1476,33818,316362,1528,11168,946
272,511,170,106.74306213356101,215748430,0.454016297631564,t_count,63,63,829,1516,33862,321914,1528,11184,962
280,511,170,109.27024833057956,266273868,0.455054826180303,t_count,65,65,831,1556,33906,327626,1528,11200,978
288,511,170,111.79533768552535,326353414,0.456037965808296,t_count,66,66,832,1576,33928,330542,1528,11208,986
296,511,170,114.32045233048325,397351395,0.456970008364464,t_count,68,68,834,1616,33972,336494,1528,11224,1002
304,511,170,116.84461811292066,480758466,0.457854815659914,t_count,70,70,836,1656,34016,342606,1528,11240,1018
312,511,170,119.36686139788266,578195320,0.458695871768298,t_count,71,71,837,1676,34038,345722,1528,11248,1026
320,511,170,121.88928307808932,691415822,0.459496327906443,t_count,73,73,839,1716,34082,352074,1528,11264,1042
328,511,170,124.41090021628243,822309555,0.460259041090221,t_count,75,75,841,1756,34126,358586,1528,11280,1058
336,511,170,126.9307316280945,972903761,0.460986607546427,t_count,76,76,842,1776,34148,361902,1528,11288,1066
344,511,170,129.45086086087917,1145364666,0.461681391689315,t_count,78,78,844,1816,34192,368654,1528,11304,1082
352,511,170,131.97029953354124,1341998185,0.462345551331465,t_count,80,80,846,1856,34236,375566,1528,11320,1098
360,511,170,134.48806184678082,1565250016,0.462981059685912,t_count,81,81,847,1876,34258,379082,1528,11328,1106
368,511,170,137.00621666452426,1817705125,0.463589724624567,t_count,83,83,849,1916,34302,386234,1528,11344,1122
376,511,170,139.52377244508213,2102086642,0.464173205582739,t_count,85,85,851,1956,34346,393546,1528,11360,1138
384,511,170,142.0407557072768,2421254182,0.4647330284377,t_count,87,87,853,1996,34390,401018,1528,11376,1154
392,511,170,144.55617777284277,2778201611,0.465270598638205,t_count,88,88,854,2016,34412,404814,1528,11384,1162
400,511,170,147.07209026931318,3176054293,0.46578721281954,t_count,90,90,856,2056,34456,412526,1528,11400,1178
408,511,170,149.5875000822271,3618065834,0.466284069103531,t_count,92,92,858,2096,34500,420398,1528,11416,1194
416,511,170,152.10141774542765,4107614360,0.466762276253517,t_count,93,93,859,2116,34522,424394,1528,11424,1202
424,511,170,154.61588379544136,4648198361,0.467222861829718,t_count,95,95,861,2156,34566,432506,1528,11440,1218
432,511,170,157.12990500356875,5243432133,0.467666779469748,t_count,97,97,863,2196,34610,440778,1528,11456,1234
440,511,170,159.64249203917626,5897040859,0.468094915401565,t_count,98,98,864,2216,34632,444974,1528,11464,1242
448,511,170,162.15567423222146,6612855354,0.46850784327527,t_count,100,100,866,2256,34676,453486,1528,11480,1258
456,511,170,164.66846117030167,7394806519,0.468906866883716,t_count,102,102,868,2296,34720,462158,1528,11496,1274
464,511,170,167.17986322910474,8246919536,0.469292430457194,t_count,103,103,869,2316,34742,466554,1528,11504,1282
472,511,170,169.69190125956837,9173307836,0.46966520207318,t_count,105,105,871,2356,34786,475466,1528,11520,1298
480,511,170,172.19154480930936,10178166889,0.467069225642042,t_count,107,107,873,2396,34830,484538,1528,11536,1314
488,511,170,174.70226281188582,11265767821,0.467513221575098,t_count,108,108,874,2416,34852,489134,1528,11544,1322
496,511,170,177.213734882759,12440450928,0.467966836837485,t_count,110,110,876,2456,34896,498446,1528,11560,1338
504,511,170,179.72496686743685,13706619079,0.46842946904982,t_count,112,112,878,2496,34940,507918,1528,11576,1354
512,511,170,182.23496864752659,15068731077,0.468900424453382,t_count,113,113,879,2516,34962,512714,1528,11584,1362
520,1023,341,185.63237941599274,49163168629931890761007104,0.454552282048385,t_count,115,115,1649,2612,67764,839082,3064,22352,1492
528,1023,341,188.14236811473344,48788229896858216477753344,0.455151625471316,t_count,117,117,1651,2652,67808,849066,3064,22368,1508
536,1023,341,190.65161522574994,48421740675721770838261760,0.455754929250386,t_count,118,118,1652,2672,67830,854118,3064,22376,1516
544,1023,341,193.1611564756204,48063388301588979966279680,0.45636137290265,t_count,120,120,1654,2712,67874,864342,3064,22392,1532
552,1023,341,195.6704792633383,47712876071156516237869056,0.456970100856061,t_count,122,122,1656,2752,67918,874726,3064,22408,1548
560,1023,341,198.17907187367618,47369922210145597300670464,0.457580233527992,t_count,123,123,1657,2772,67940,879978,3064,22416,1556
568,1023,341,200.68796697606516,47034258921187124726202368,0.458190877161391,t_count,125,125,1659,2812,67984,890602,3064,22432,1572
576,1023,341,203.19665184069282,46705631504886176258457600,0.458801132511609,t_count,127,127,1661,2852,68028,901386,3064,22448,1588
584,1023,341,205.70461476809658,46383797547510417305108480,0.459410102473964,t_count,128,128,1662,2872,68050,906838,3064,22456,1596
592,1023,341,208.21288582588528,46068526169414787422748672,0.460016898738507,t_count,130,130,1664,2912,68094,917862,3064,22472,1612
600,1023,341,210.72095255580356,45759597328908081380196352,0.46062064755443,t_count,132,132,1666,2952,68138,929046,3064,22488,1628
608,1023,341,213.2283036330316,45456801176791365401444352,0.461220494682263,t_count,133,133,1667,2972,68160,934698,3064,22496,1636
616,1023,341,215.73596685390774,45159937457266363574779904,0.461815609607502,t_count,135,135,1669,3012,68204,946122,3064,22512,1652
624,1023,341,218.24343031756345,44868814951327762378391552,0.462405189084818,t_count,137,137,1671,3052,68248,957706,3064,22528,1668
632,1023,341,220.75018332772368,44583250959124019770556416,0.462988460077421,t_count,138,138,1672,3072,68270,963558,3064,22536,1676
640,1023,341,223.25725164391196,44303070818103068695986176,0.463564682151705,t_count,140,140,1674,3112,68314,975382,3064,22552,1692
