d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,gates,depth
64,2047,682,0.9935225053030583,0.9935225053030583,40.48530927802242,42,0.220229603148432,classical,2622721.03005728,4716.73854829234
72,2047,682,0.9925518629646646,0.9925518629646646,42.83245740531529,57,0.235890514655796,classical,3900704.87131944,7015.08274086714
80,2047,682,0.9920782081795684,0.9920782081795684,45.157539095635855,83,0.250087357648065,classical,5803646.26490694,10437.3594235227
88,1023,341,1.0057726560668165,1.0057726560668165,47.18405658252786,93,0.304512279039453,classical,6408007.68600842,21033.9986410911
96,1023,341,1.0047402579439764,1.0047402579439764,49.478295088333205,151,0.315033162791726,classical,9560875.96187607,31383.1477494701
104,1023,341,1.0042424429495846,1.0042424429495846,51.76695318297511,126,0.324540482251511,classical,14363144.2810579,47146.3787331624
112,1023,341,1.0042098612047856,1.0042098612047856,54.055200564252544,194,0.333140883977948,classical,21769513.8921015,71457.4557429886
120,511,170,1.0140523526499994,1.0140523526499994,56.06736041990806,279,0.384745204366493,classical,24454565.7498644,145514.771404152
128,511,170,1.013901717870841,1.013901717870841,58.35141677552292,425,0.39041310165332,classical,37467121.3203968,222944.854137899
136,511,170,1.0140990669602603,1.0140990669602603,60.64474305724813,644,0.39551220464349,classical,57995112.6416129,345094.885140176
144,255,85,1.0229919918120096,1.0229919918120096,62.52239424692527,756,0.405852436273748,classical,63778974.3677671,683498.720619072
152,255,85,1.0230401132465847,1.0230401132465847,64.8207084035636,1084,0.408854799751392,classical,99675498.3211171,1068190.20303943
160,255,85,1.0233011558593912,1.0233011558593912,67.13248760816707,1522,0.411579076221671,classical,157083955.295177,1683418.14114054
168,255,85,1.0237073397797418,1.0237073397797418,69.45742692687347,2088,0.414063368848418,classical,249240415.97355,2671029.240172
176,255,85,1.0242128495336429,1.0242128495336429,71.79451128579122,2790,0.416341595278381,classical,397697826.62248,4261999.4815537
184,255,85,1.0247825001402437,1.0247825001402437,74.1422772550627,3624,0.418442785812172,classical,637511736.196833,6832007.88958428
192,255,85,1.0253802941093253,1.0253802941093253,76.49908870260838,4566,0.420400017858751,classical,1025207190.88653,10986815.1735998
200,255,85,1.025995368780544,1.025995368780544,78.86315450266217,5578,0.422207079981282,classical,1653319604.56794,17718093.5519672
208,255,85,1.0266086926652187,1.0266086926652187,81.23299328657974,6615,0.423906817458086,classical,2671377188.15322,28628288.6875094
216,255,85,1.0272118142492477,1.0272118142492477,83.60717690465073,7630,0.425505111004629,classical,4322500976.29647,46322850.3822796
224,255,85,1.0277988872696475,1.0277988872696475,85.98451611942446,8585,0.427012887225326,classical,7001398522.52582,75031732.3244562
232,255,85,1.0283650255133647,1.0283650255133647,88.36403344757741,9459,0.428439226958459,classical,11347852945.6456,121611284.079256
240,255,85,1.0289121132655883,1.0289121132655883,90.74494490371576,10244,0.429791849584283,classical,18404811079.096,197238430.854345
248,255,85,1.0294319614474479,1.0294319614474479,93.12663510336976,10938,0.431076333657809,classical,29849801943.1816,319890710.710586
256,255,85,1.0299287692523966,1.0299287692523966,95.50863025560501,11552,0.432297970375238,classical,48418190871.4038,518882152.67412
264,511,170,1.0260241447927907,1.0260241447927907,98.4465730168153,300809,0.438813088192453,classical,115303033578.486,686100695.673636
272,511,170,1.026592731161119,1.026592731161119,100.82996600020834,434510,0.440384922060437,classical,186984452199.55,1112634756.88989
280,511,170,1.0271344686653763,1.0271344686653763,103.21264075954389,626132,0.441883749270482,classical,303208032579.257,1804213086.42202
288,511,170,1.0276507443224692,1.0276507443224692,105.59450211297549,899541,0.44331307038793,classical,491614941528.038,2925312048.76188
296,511,170,1.0281399156649493,1.0281399156649493,107.97548892655088,1287517,0.44467576714206,classical,796765239482.881,4741082416.75764
304,511,170,1.0286102815795717,1.0286102815795717,110.35556589200438,1833197,0.445975317640745,classical,1291514645312.17,7685045823.34513
312,511,170,1.02905569375259,1.02905569375259,112.73471711947607,2593352,0.447213775569839,classical,2092397018992.48,12450626889.8726
320,511,170,1.029480943313133,1.029480943313133,115.11294123572551,3637110,0.448393992952864,classical,3389141220979.46,20166790736.4067
