d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,16383,5461,0.8818358095017016,0.8818358095017016,44.24879139954757,52,0.0752248641306121,dw,5,5,24579,3703.95284742899,5761179.91639367,82670622.8747464,270069.820080193,1890615.1365784,6501.15165950815
72,16383,5461,0.8968287156404213,0.8968287156404213,46.338430293265866,79,0.0871036394774222,dw,6,6,24580,4706.10610318012,7048200.65055849,101142758.378414,330395.54047812,2312983.91962584,8040.71842771918
80,16383,5461,0.9101992787795009,0.9101992787795009,48.4381493655808,119,0.098790871155816,dw,7,7,24581,6021.99646746575,8793037.43248805,126186255.928351,412179.657934731,2885593.0928115,10098.166778313
88,8191,2730,0.9374009801855034,0.9374009801855034,49.80300123090896,138,0.151962795789674,dw,8,8,12294,8581.66671517992,6773985.14873597,85823568.6729226,317521.668461657,2223272.04068089,13570.4067032213
96,8191,2730,0.9471379911113554,0.9471379911113554,51.929610165572605,199,0.164648516908744,dw,9,9,12295,11457.2956325648,8779806.045309,111246621.996253,411524.618568496,2881610.35418331,17721.9572796104
104,8191,2730,0.9559023988021002,0.9559023988021002,54.05813475968528,283,0.176677894959317,dw,9,9,12295,14975.8484806614,11476097.7844044,145410628.164821,537904.452445745,3766557.25997828,23164.3972113155
112,8191,2730,0.9638360935463339,0.9638360935463339,56.18859273276748,398,0.18805572058113,dw,10,10,12296,20286.7402302947,15104861.2882883,191408333.344853,707961.127809489,4957572.14377827,30718.2742691678
120,8191,2730,0.9710662183343556,0.9710662183343556,58.32113303584079,555,0.19880513683865,dw,11,11,12297,27627.4163889217,20003088.9727071,253504669.973787,937500.505308049,6565251.01502927,40983.2116045606
128,8191,2730,0.9776789074595439,0.9776789074595439,60.455869580579545,767,0.208956130680084,dw,12,12,12298,37789.3949708951,26626285.7952186,337479106.047135,1247862.7092002,8739102.34020475,54957.1577399308
136,8191,2730,0.9837609512775568,0.9837609512775568,62.59287791154989,1052,0.218553140703081,dw,13,13,12299,51890.6677609854,35606371.0056996,451350597.602272,1668651.73501556,11686539.0806626,74032.4971982645
144,8191,2730,0.9893748257636017,0.9893748257636017,64.73218003848008,1432,0.22764161621835,dw,14,14,12300,71491.7626560685,47806833.4912259,606078530.617697,2240318.39915088,15690982.8874426,100124.943107606
152,8191,2730,0.9945718519820046,0.9945718519820046,66.87357536819373,1936,0.236267231529941,dw,14,14,12300,96319.657591681,64409348.1730166,816559480.056552,3018343.55575564,21140199.1340762,134896.663310798
160,4095,1365,1.0094617958633085,1.0094617958633085,68.34456223953948,1957,0.292184146638109,dw,16,16,6158,163093.404145698,56559325.5800188,628244853.513903,2649189.15728726,18568486.0868102,207965.663487371
168,4095,1365,1.0135335149131817,1.0135335149131817,70.48766238679467,2660,0.29919969309734,dw,17,17,6159,227204.246332654,76768098.6745316,852979199.482548,3595448.6404188,25203275.1601995,284590.885870283
176,4095,1365,1.0173467708405144,1.0173467708405144,72.63272844084155,3616,0.305831656251942,dw,18,18,6160,317038.7038941,104438762.384049,1160802164.80329,4890999.10027582,34287974.8000443,390324.032432435
184,4095,1365,1.0209225013704715,1.0209225013704715,74.77963042725573,4918,0.312121194985109,dw,19,19,6161,442997.615685539,142367272.96247,1582892370.21721,6666679.80467944,46740591.5687037,536374.564089844
192,4095,1365,1.0242840397418886,1.0242840397418886,76.92827305668212,6695,0.318131601828863,dw,20,20,6162,619781.002953711,194431824.637136,2162515262.19353,9103960.18692771,63834477.8448879,738399.376724756
200,4095,1365,1.027451701707172,1.027451701707172,79.07778616181119,9121,0.323805820540441,dw,20,20,6162,847774.495268124,265955783.107666,2958021101.28996,12452955.5046562,87316716.6753188,1010027.98718547
208,2047,682,1.038781868242824,1.038781868242824,80.56499488777625,10845,0.373636250888191,dw,22,22,3092,1495157.44635422,241663108.23807,2341493896.72069,11298381.885258,79383285.5015061,1609319.7144256
216,2047,682,1.0413211117160237,1.0413211117160237,82.71413877913527,14760,0.377790421389222,dw,23,23,3093,2101672.39522634,331584289.22089,3215523400.01657,15499833.9147942,108923213.560288,2227974.82282407
