d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,16383,5461,0.9566312053713325,0.9566312053713325,41.60969676336253,26,0.0947559965492231,g,7,7,24581,7089.82213764695,10352226.5054146,148561712.976909,485267.71466925,3397268.97884841,11888.7825260821
72,16383,5461,0.9661451441910723,0.9661451441910723,43.75772405281555,44,0.104151121608813,g,8,8,24582,9359.10271322681,13331762.059204,191327907.875397,624923.564862525,4375075.33030158,15412.0006636289
80,8191,2730,0.9945124902131767,0.9945124902131767,45.40456664891715,204,0.157014510473023,g,9,9,12295,14436.8831263522,11063084.8511842,140177449.50183,518545.825509096,3631002.74560325,22330.7344264337
88,16383,5461,0.9814484062610894,0.9814484062610894,48.03551052712213,99,0.125634439031396,g,9,9,24583,16229.0231656857,22506649.7561457,323013074.560513,1054972.37361701,7386008.76518316,26189.6934684345
96,16383,5461,0.9878367837460388,0.9878367837460388,50.1654218250742,94,0.135852752177998,g,10,10,24584,21808.1510184449,29465004.0823358,422897762.85933,1381107.95573512,9669554.30053913,34510.8369209411
104,16383,5461,0.9936202616652858,0.9936202616652858,52.29170476262816,131,0.145712762749923,g,11,11,24585,29425.4270607018,38758610.6317793,556311283.284155,1816687.42144614,12719473.5465405,45690.7385012907
112,16383,5461,0.9989218297870347,0.9989218297870347,54.41589156107063,183,0.155213412319066,g,12,12,24586,39865.0003664495,51223496.5125264,735259807.3837,2400889.18873627,16810132.6545231,60774.5838919892
120,16383,5461,1.003824326447886,1.003824326447886,56.53931463195282,253,0.164358717629927,g,13,13,24587,54219.9472457409,68003228.571895,976167239.455224,3187302.73617786,22316826.516113,81200.2080761574
128,8191,2730,1.020739734716153,1.020739734716153,58.18343166142805,262,0.220436035582826,g,14,14,12300,87352.7744214703,58413156.7975736,740541835.867714,2737350.71681975,19172151.2758306,122338.45193211
136,8191,2730,1.0241716350742398,1.0241716350742398,60.30486567643521,367,0.229206709078414,g,15,15,12301,119743.606883129,78084448.6048858,990053545.84481,3659031.0123193,25628706.309016,164721.926881518
144,8191,2730,1.027449212894071,1.027449212894071,62.42757682294964,514,0.237567271023583,g,16,16,12302,164691.305616649,104792438.185988,1328868162.16912,4910359.21891969,34394899.758444,222653.051525421
152,8191,2730,1.0305835635915666,1.0305835635915666,64.5522893696394,723,0.245553289940238,g,17,17,12303,227207.00878383,141151008.193869,1790178559.14912,6613769.89549897,46328693.5825379,302045.336321632
160,8191,2730,1.0333666963661488,1.0333666963661488,66.67958261248535,1025,0.253146929819854,g,17,17,12303,305557.499444801,189825786.355323,2407507088.01299,8894474.69947852,62304767.0905835,406203.216086572
168,8191,2730,1.0364551558978596,1.0364551558978596,68.80980232020846,1450,0.260525794920575,g,18,18,12304,426207.050171385,258660323.115122,3280992188.32941,12119276.3988548,84898076.5771944,557423.572562112
176,4095,1365,1.048242043801742,1.048242043801742,70.45656548502524,2044,0.312335574797767,g,20,20,6162,725071.015406688,227462409.859556,2529888992.27076,10650564.6760695,74678845.3475807,863840.587733326
184,4095,1365,1.050416358740831,1.050416358740831,72.5852237361053,2902,0.318229980189513,g,21,21,6163,1010082.70444558,309495948.659819,3443525339.86572,14490438.7974203,101612432.062171,1184723.17203664
192,4095,1365,1.0525217654675822,1.0525217654675822,74.71733997486302,4110,0.323860102689839,g,22,22,6164,1409917.66494357,422180208.927727,4699033466.93985,19764599.2300309,138609713.818425,1628808.99192111
200,4095,1365,1.054560183924029,1.054560183924029,76.85281318372185,5809,0.329245541090778,g,23,23,6165,1971679.83549819,577262084.694832,6427645456.22668,27022576.3168725,189527724.187264,2244546.24130374
208,4095,1365,1.0565249448702314,1.0565249448702314,78.99143597656162,8192,0.334400186823552,g,24,24,6166,2761345.32460532,790872211.692365,8809662276.75138,37018908.9368487,259662926.725114,3098977.06735183
216,4095,1365,1.0584152621865857,1.0584152621865857,81.13292730283305,11524,0.339335805300018,g,25,25,6167,3872088.96016593,1085392868.22292,12095388247.1522,50800483.3662795,356364563.445015,4285773.67813238
224,4095,1365,1.060233602365955,1.060233602365955,83.27688121778387,16178,0.344060875220756,g,25,25,6167,5321910.78405299,1491795273.75379,16624250582.0601,69821650.030097,489797737.800706,5890490.99602447
232,2047,682,1.0688794335144345,1.0688794335144345,84.91554240551969,16241,0.388777357239492,g,27,27,3097,9223884.60019259,1328502344.05011,12931582792.2134,62058942.8802431,436435381.872271,9244112.41729828
240,2047,682,1.0703149450717697,1.0703149450717697,87.05792128515337,21889,0.392187025917788,g,28,28,3098,12974010.4602782,1828834332.86428,17819859049.6404,85416875.7341919,600813617.452367,12834804.3394597
248,2047,682,1.07170039767662,1.07170039767662,89.20243753383859,29407,0.395437938786949,g,29,29,3099,18260509.9785538,2520372363.61556,24583748632.451,117695892.046645,828014385.246021,17838523.4034192
256,2047,682,1.0730350898938954,1.0730350898938954,91.34873090240673,39386,0.398536979331839,g,30,30,3100,25713398.6151229,3476599635.8019,33947241535.8605,162322442.286413,1142182817.49645,24813958.7458696
264,2047,682,1.0743190535424456,1.0743190535424456,93.49645899997104,52599,0.401489072253534,g,31,31,3101,36220364.6874859,4799271346.02069,46914208286.6797,224040481.575014,1576754262.76652,34540791.3249614
272,2047,682,1.0755530485206024,1.0755530485206024,95.64531175152604,70049,0.404299877676102,g,32,32,3102,51032125.7504328,6629335355.39021,64877060783.3224,309420082.613296,2178043058.70819,48107359.6501115
280,2047,682,1.0767379523651683,1.0767379523651683,97.79501055118254,93045,0.406974485137834,g,33,33,3103,71909397.2076672,9161898257.02261,89765921999.1595,427554322.932409,3010160813.34421,67031821.8156743
288,2047,682,1.077875654338446,1.077875654338446,99.94531049163041,123280,0.409517979892475,g,34,34,3104,101333126.012039,12667411345.619,124260034745.056,591045685.560715,4161978810.57812,93434536.3418992
296,2047,682,1.0789641215441912,1.0789641215441912,102.09599975648233,162966,0.411934962184977,g,35,35,3105,142773193.945361,17517684887.7176,172048357901.638,817216714.597699,5755677564.87193,130253902.685226
304,1023,341,1.0855716319434139,1.0855716319434139,103.65114592436554,107571,0.427028135203154,g,36,36,1570,243013080.659118,15547656650.7741,134856718231.582,721503952.65459,5114577627.82562,202510900.549265
312,1023,341,1.086446298707955,1.086446298707955,105.79968897328891,138403,0.428618089563471,g,37,37,1571,342687021.267923,21515011768.7298,187144248897.861,998092236.848779,7077855131.28273,282749367.357944
320,1023,341,1.0872837842969336,1.0872837842969336,107.94846205226824,177818,0.430125508914515,g,38,38,1572,483088590.198519,29773939509.7166,259731318721.677,1380768134.67189,9795161937.0849,394762691.244312
