d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,8191,2730,0.8005138767920938,0.8005138767920938,51.51323392356648,108,0.0673061232089414,ge19,4,4,12290,2245.57907137058,2043048.11172179,25876205.2940304,95780.1851135978,670515.875842058,3929.76337489851
72,8191,2730,0.8134161874785335,0.8134161874785335,53.39595909874669,202,0.0802379838475218,ge19,5,5,12291,2489.0257463336,2166820.95001129,27445883.2540582,101578.711853694,711146.078643909,4221.42074253589
80,8191,2730,0.8276065528356814,0.8276065528356814,55.31961568012803,345,0.0946342948245372,ge19,5,5,12291,2723.22037007963,2370699.04081063,30028290.572074,111136.342279263,778058.439258017,4618.61793663007
88,4095,1365,0.8505795430438746,0.8505795430438746,56.31425911730617,502,0.152672353278724,ge19,5,5,6147,2972.01916661126,1457831.05701246,16152890.7770584,68345.3096741315,478545.176035086,4847.61927737529
96,4095,1365,0.8638017129120056,0.8638017129120056,58.33902544250061,792,0.169947455158452,ge19,6,6,6148,3687.7320661518,1725055.20818749,19117110.8376293,80866.696022043,566277.599700938,5821.34847585391
104,4095,1365,0.8759858492043753,0.8759858492043753,60.38493127676188,1224,0.186183747452995,ge19,6,6,6148,4458.76506262968,2085730.67549348,23114126.6155457,97774.3481590938,684675.223688664,7038.47913457971
112,4095,1365,0.8871742015419349,0.8871742015419349,62.44804282221679,1860,0.201292946648178,ge19,7,7,6149,5663.99368861083,2567200.23971434,28454689.1787479,120335.367640382,842739.54536424,8740.97295889422
120,4095,1365,0.8974530203070789,0.8974530203070789,64.52453629465816,2782,0.215268936581986,ge19,8,8,6150,7294.69272685787,3206702.86082434,35549461.0626091,150300.044774857,1052687.80545569,11015.4755942485
128,4095,1365,0.9069093665546474,0.9069093665546474,66.61128565180373,4105,0.228111974251321,ge19,8,8,6150,9223.27674780083,4054496.74726564,44948091.7007517,190036.641716433,1330999.30624976,13927.7669010415
136,2047,682,0.9241785201669365,0.9241785201669365,67.90233938608357,4867,0.296109483647682,ge19,10,10,3080,13619.8889382083,3118764.07889251,29978280.370793,146104.263155325,1024253.7457447,18524.953835535
144,2047,682,0.9320104754188164,0.9320104754188164,70.0154339417421,6952,0.306348291343324,ge19,10,10,3080,17696.7909341692,4052317.61635924,38951812.5070427,189838.302748361,1330848.17976263,24070.1107461253
152,2047,682,0.9392469048117528,0.9392469048117528,72.13327402429314,9847,0.315546788677668,ge19,11,11,3081,23947.3773156993,5299247.16741764,50962688.7367657,248211.329745154,1740391.8270788,31794.9975846954
160,2047,682,0.9459575417806357,0.9459575417806357,74.25449429559357,13838,0.32385351360257,ge19,12,12,3082,32546.9650493266,6968028.67422055,67046428.9137203,326320.551540308,2288498.36601736,42225.9644594205
168,2047,682,0.9521961557167739,0.9521961557167739,76.378591264135,19310,0.331400302582422,ge19,13,13,3083,44397.7085711693,9205921.07186305,88628644.7370411,431051.170558061,3023540.15332773,56340.1301805028
176,2047,682,0.9580109086721574,0.9580109086721574,78.50516607395387,26776,0.338302997669539,ge19,14,14,3084,60754.867330819,12213219.2504843,117649936.939894,571766.665555069,4011312.16082377,75477.6726042383
184,2047,682,0.9634502925483667,0.9634502925483667,80.63304915085855,36916,0.344661884666271,ge19,14,14,3084,80897.5846352982,16262399.7284958,156655691.125254,761330.643132193,5341225.80273055,100501.600543852
192,1023,341,0.976061269910178,0.976061269910178,81.95737125502465,40157,0.379828450352502,ge19,16,16,1550,131316.896399441,13627452.4798319,113209709.289274,636637.61165805,4479734.63033537,145445.929556343
200,1023,341,0.9806419903210929,0.9806419903210929,84.09255073523636,55031,0.384057502626025,ge19,17,17,1551,182040.428353463,18317957.7046227,152407485.373606,855478.332016887,6021852.6974348,197675.802567871
208,1023,341,0.9849450108123223,0.9849450108123223,86.22888093308744,75180,0.387986242539559,ge19,18,18,1552,252678.903828549,24677554.2533745,205646786.791819,1152095.47817065,8112797.66220949,269223.355864942
216,1023,341,0.9890103802400191,0.9890103802400191,88.3641381508622,102347,0.391659144817687,ge19,18,18,1552,341126.608304138,33315683.486608,277631372.560242,1555374.89262482,10952600.7451936,363462.279085957
224,1023,341,0.9928285208114395,0.9928285208114395,90.50226613626063,139042,0.395103507159607,ge19,19,19,1553,474856.606734535,45050991.2504851,376049377.249411,2102544.28184193,14811134.3927142,496815.293751161
232,1023,341,0.9964341793211927,0.9964341793211927,92.64112622011284,188426,0.398348053542048,ge19,20,20,1554,661497.670774513,61015727.5708502,510191227.421991,2846669.75175998,20060474.3080945,680079.066020988
240,1023,341,0.9998433751725904,0.9998433751725904,94.78060069028434,254766,0.401412944383121,ge19,21,21,1555,922027.457340104,82750704.6959228,693175707.867025,3859415.47717224,27207367.5936424,932104.260152564
248,511,170,1.0094328438008056,1.0094328438008056,96.17521382771903,266476,0.433864367377897,ge19,23,23,789,1574965.51277325,72549598.5227479,530723783.699517,3361099.58591834,23897242.0820791,1412189.74748663
256,511,170,1.0123382037162676,1.0123382037162676,98.31934285987352,357757,0.435862322534722,ge19,24,24,790,2202644.28569128,98771836.9632541,725765306.688848,4572881.07138081,32536886.7853744,1945270.0892654
264,511,170,1.0151392192520448,1.0151392192520448,100.45849343727495,477997,0.437758676091539,ge19,24,24,790,3004270.29539542,134718664.17015,989898898.554814,6237126.37413614,44378297.0808954,2653227.84240085
272,511,170,1.0177620021079576,1.0177620021079576,102.60305529681231,637660,0.439551901231256,ge19,25,25,791,4205787.19886608,183730592.631946,1356232854.58038,8500585.76702034,60527731.1159564,3660592.56197604
280,511,170,1.020261268817699,1.020261268817699,104.7478013007001,848068,0.441252643050745,ge19,26,26,792,5888582.33981495,250780759.234799,1859926944.14088,11595043.5763367,82622273.8607025,5053860.61638757
288,511,170,1.0226381472953812,1.0226381472953812,106.89267901850528,1124947,0.442865302962096,ge19,27,27,793,8242881.97587776,342452395.656128,2552166087.95337,15823019.672288,112832213.579352,6979525.69314273
296,511,170,1.0249074958115736,1.0249074958115736,109.03764336543237,1488037,0.444395042635603,ge19,28,28,794,11538732.2793372,467940843.857631,3504805086.22898,21606841.8171903,154189138.2033,9643891.43934801
304,511,170,1.027073992647631,1.027073992647631,111.18265600564578,1963146,0.445845696326256,ge19,29,29,795,16150621.4490359,639726888.35332,4816014857.69158,29519317.6724006,210808111.545311,13330058.3730081
312,511,170,1.029146057125851,1.029146057125851,113.3276846856252,2583080,0.447221177372209,ge19,30,30,796,22604551.112397,875028511.285497,6622024374.12539,40350180.0230637,288366469.798335,18432215.74352
320,511,170,1.031127271786204,1.031127271786204,115.47270259998686,3390245,0.448524819799169,ge19,31,31,797,31631592.4222491,1197306325.95541,9109681962.86512,55174741.1200875,394600504.555181,25493041.3814017
328,511,170,1.0330226881693023,1.0330226881693023,117.61768777180767,4438638,0.449759977449009,ge19,32,32,798,44253199.8232321,1638751305.95406,12536990777.6,75467510.4128333,540126108.55677,35264268.6091381
