d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,gates,depth
64,255,85,1.5707917312724824,1.5707917312724824,38.52859181456535,1598,0.369089238952613,naive_classical,213464.336193243,213464.336193243
72,255,85,1.5707925148052033,1.5707925148052033,40.87477913585403,2496,0.378770137764633,naive_classical,723968.307275943,723968.307275943
80,255,85,1.5000009455297465,1.5000009455297465,43.503439413147156,2986,0.386151277209964,naive_classical,1743780.94414343,1743780.94414343
88,255,85,1.4195354264595894,1.4195354264595894,46.09855291454656,2779,0.391905251909699,naive_classical,2954539.50958542,2954539.50958542
96,255,85,1.3708738922333117,1.3708738922333117,48.64619049574343,2618,0.396957429379813,naive_classical,5088876.82011732,5088876.82011732
104,255,85,1.3357979306928838,1.3357979306928838,51.16609487191553,2472,0.401392827295334,naive_classical,8757186.99781359,8757186.99781359
112,255,85,1.3086492062263968,1.3086492062263968,53.666648607730174,2338,0.40531158651875,naive_classical,15015695.3147111,15015695.3147111
120,255,85,1.2867527091155557,1.2867527091155557,56.152536146641886,2214,0.408797758219156,naive_classical,25644260.3210441,25644260.3210441
128,255,85,1.2685960736057458,1.2685960736057458,58.626745557083225,2100,0.411919300500956,naive_classical,43628774.9861834,43628774.9861834
136,255,85,1.2532358062459483,1.2532358062459483,61.091435771607344,1996,0.414757900769555,naive_classical,73978055.9757992,73978055.9757992
144,255,85,1.2400299831904078,1.2400299831904078,63.54756324595747,1900,0.41720029421832,naive_classical,125008779.59972,125008779.59972
152,255,85,1.2285350711477043,1.2285350711477043,65.99675294190082,1813,0.41942098410989,naive_classical,210654823.793724,210654823.793724
160,255,85,1.2184206665593367,1.2184206665593367,68.43992268945334,1733,0.4214556304404,naive_classical,354053667.759438,354053667.759438
168,255,85,1.2094433042305817,1.2094433042305817,70.87780543614626,1661,0.423332893620462,naive_classical,593700416.877484,593700416.877484
176,255,85,1.2014150448388858,1.2014150448388858,73.31099669883544,3482,0.425075592131967,naive_classical,993511785.354916,993511785.354916
184,255,85,1.1941851769083711,1.1941851769083711,75.73998742445352,2939,0.426701774621233,naive_classical,1659271678.12671,1659271678.12671
192,1023,341,1.1881426978819551,1.1881426978819551,78.07501842114003,1898,0.402685473861448,naive_classical,2709093663.30127,2709093663.30127
200,1023,341,1.1821338698025474,1.1821338698025474,80.50077703138689,1727,0.40536798836833,naive_classical,4513444728.15478,4513444728.15478
208,1023,341,1.1766418046532041,1.1766418046532041,82.92323673068012,1693,0.40791080761531,naive_classical,7508743226.98286,7508743226.98286
216,1023,341,1.1715989408436065,1.1715989408436065,85.34265719036586,1759,0.410324480094951,naive_classical,12473898069.1084,12473898069.1084
224,1023,341,1.1669547640480575,1.1669547640480575,87.75926374206873,1917,0.412618068018713,naive_classical,20698919781.9292,20698919781.9292
232,1023,341,1.1626573664540545,1.1626573664540545,90.17325365703337,2168,0.414798666557724,naive_classical,34300519369.7234,34300519369.7234
240,511,170,1.1582711759342537,1.1582711759342537,92.6778009062458,512,0.442406376684483,naive_classical,57973839415.1581,57973839415.1581
248,511,170,1.1545911320451643,1.1545911320451643,95.08575424774635,671,0.443858192151636,naive_classical,95880010524.9223,95880010524.9223
256,511,170,1.151153055966494,1.151153055966494,97.49179758673314,889,0.445237703953617,naive_classical,158388569164.917,158388569164.917
264,511,170,1.1479390700782348,1.1479390700782348,99.89587916777084,1187,0.44654893084631,naive_classical,261438059454.02,261438059454.02
272,511,170,1.1449243506471207,1.1449243506471207,102.2980965563618,1598,0.447795140587893,naive_classical,431102604577.585,431102604577.585
280,511,170,1.1420942890548504,1.1420942890548504,104.69853899310411,2163,0.44897967348368,naive_classical,710389084358.995,710389084358.995
288,511,170,1.1394279756506418,1.1394279756506418,107.09728892336524,2942,0.45010532364389,naive_classical,1169477932159.28,1169477932159.28
296,511,170,1.1369150974057227,1.1369150974057227,109.49442327715528,4021,0.45117509820584,naive_classical,1924035596030.79,1924035596030.79
304,511,170,1.1345391838365522,1.1345391838365522,111.89001434170206,5526,0.452191561916428,naive_classical,3162665139758.91,3162665139758.91
312,511,170,1.1322944162050654,1.1322944162050654,114.28413048198495,7605,0.453157551929993,naive_classical,5196569251036.83,5196569251036.83
320,511,170,1.13016424180025,1.13016424180025,116.67683691235281,10498,0.454075398274128,naive_classical,8530911496996.1,8530911496996.1
328,511,170,1.1281440876669346,1.1281440876669346,119.06819511330086,14528,0.45494758821547,naive_classical,13997890115771.9,13997890115771.9
336,511,170,1.1262231978446027,1.1262231978446027,121.45826447167548,20153,0.455776421919371,naive_classical,22952841693331.0,22952841693331.0
344,511,170,1.1243918682869576,1.1243918682869576,123.84710183625324,28020,0.456564125727112,naive_classical,37603986614729.5,37603986614729.5
352,511,170,1.1226508942883724,1.1226508942883724,126.23476160198408,39022,0.457313183477542,naive_classical,61596769587871.0,61596769587871.0
