d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,1023,341,1.570791427315443,1.570791427315443,35.25400332983067,18171,0.305567179560397,naive_quantum,1,1,1,440.383768722618,440.383768722618,440.383768722618,440.383768722618,440.383768722618,440.383768722618
72,1023,341,1.5707899429304442,1.5707899429304442,37.18836545793319,44390,0.319894249234198,naive_quantum,1,1,1,813.197144509689,813.197144509689,813.197144509689,813.197144509689,813.197144509689,813.197144509689
80,511,170,1.5707921671241556,1.5707921671241556,39.194244372591456,27273,0.375959330236732,naive_quantum,1,1,1,1547.10869441831,1547.10869441831,1547.10869441831,1547.10869441831,1547.10869441831,1547.10869441831
88,511,170,1.5707911832372512,1.5707911832372512,41.0795254749523,50320,0.384870601787838,naive_quantum,1,1,1,2833.39323365379,2833.39323365379,2833.39323365379,2833.39323365379,2833.39323365379,2833.39323365379
96,511,170,1.570790529255055,1.570790529255055,42.95068319807319,89654,0.392549859973061,naive_quantum,1,1,1,5174.6813820366,5174.6813820366,5174.6813820366,5174.6813820366,5174.6813820366,5174.6813820366
104,511,170,1.570790033342476,1.570790033342476,44.81425792765104,154728,0.399230024088926,naive_quantum,1,1,1,9428.55701533272,9428.55701533272,9428.55701533272,9428.55701533272,9428.55701533272,9428.55701533272
112,511,170,1.5707929262231017,1.5707929262231017,46.6783035493215,259359,0.405089903918728,naive_quantum,1,1,1,17145.3820986509,17145.3820986509,17145.3820986509,17145.3820986509,17145.3820986509,17145.3820986509
120,511,170,1.5707924720905673,1.5707924720905673,48.55367950119802,423246,0.410268731041705,naive_quantum,1,1,1,31124.6921154187,31124.6921154187,31124.6921154187,31124.6921154187,31124.6921154187,31124.6921154187
128,511,170,1.5707898032501562,1.5707898032501562,50.4552576492837,673840,0.414876473425626,naive_quantum,1,1,1,56418.0632811943,56418.0632811943,56418.0632811943,56418.0632811943,56418.0632811943,56418.0632811943
136,511,170,1.5707910611127478,1.5707910611127478,52.402435363911735,1048617,0.419001026442312,naive_quantum,1,1,1,102134.66486195,102134.66486195,102134.66486195,102134.66486195,102134.66486195,102134.66486195
144,511,170,1.5707919958226204,1.5707919958226204,54.41749040565657,1597707,0.422713343414435,naive_quantum,1,1,1,184685.522308635,184685.522308635,184685.522308635,184685.522308635,184685.522308635,184685.522308635
152,511,170,1.533585464534931,1.533585464534931,56.51611077880768,2050345,0.425868661059044,naive_quantum,1,1,1,298005.605833119,298005.605833119,298005.605833119,298005.605833119,298005.605833119,298005.605833119
160,511,170,1.4601436549636118,1.4601436549636118,58.61024408326068,1788152,0.42833208925396,naive_quantum,1,1,1,364851.396601091,364851.396601091,364851.396601091,364851.396601091,364851.396601091,364851.396601091
168,511,170,1.418342953405957,1.418342953405957,60.684646140122666,1625223,0.430676073527801,naive_quantum,1,1,1,461139.510992112,461139.510992112,461139.510992112,461139.510992112,461139.510992112,461139.510992112
176,511,170,1.3873266814039606,1.3873266814039606,62.74595029335121,1486619,0.432478503983392,naive_quantum,1,1,1,585003.2696191,585003.2696191,585003.2696191,585003.2696191,585003.2696191,585003.2696191
184,511,170,1.3624917495175937,1.3624917495175937,64.79881804363266,1364199,0.43431776965236,naive_quantum,1,1,1,743001.189622433,743001.189622433,743001.189622433,743001.189622433,743001.189622433,743001.189622433
192,511,170,1.3416782522376465,1.3416782522376465,66.8450314862405,1252330,0.436242048069027,naive_quantum,1,1,1,942408.954753198,942408.954753198,942408.954753198,942408.954753198,942408.954753198,942408.954753198
200,511,170,1.3238199569592617,1.3238199569592617,68.88508341193304,1150727,0.438056602754953,naive_quantum,1,1,1,1193766.81016365,1193766.81016365,1193766.81016365,1193766.81016365,1193766.81016365,1193766.81016365
208,511,170,1.3082258611671413,1.3082258611671413,70.91980700744567,1058574,0.439770179617702,naive_quantum,1,1,1,1510156.70868193,1510156.70868193,1510156.70868193,1510156.70868193,1510156.70868193,1510156.70868193
216,511,170,1.2944323973543952,1.2944323973543952,72.949873913205,975075,0.441390362667454,naive_quantum,1,1,1,1908099.56211173,1908099.56211173,1908099.56211173,1908099.56211173,1908099.56211173,1908099.56211173
224,511,170,1.282107035820633,1.282107035820633,74.97586044849567,899539,0.44292364646464,naive_quantum,1,1,1,2408278.71296509,2408278.71296509,2408278.71296509,2408278.71296509,2408278.71296509,2408278.71296509
232,1023,341,1.2715622574784289,1.2715622574784289,76.92330873051424,62970686,0.419550514987587,naive_quantum,1,1,1,3008154.74595569,3008154.74595569,3008154.74595569,3008154.74595569,3008154.74595569,3008154.74595569
240,1023,341,1.26147446407708,1.26147446407708,78.943954274126,39329805,0.421424523932334,naive_quantum,1,1,1,3792905.11148575,3792905.11148575,3792905.11148575,3792905.11148575,3792905.11148575,3792905.11148575
248,1023,341,1.2523026448500623,1.2523026448500623,80.96197825778266,27684045,0.423203572193316,naive_quantum,1,1,1,4782421.70162872,4782421.70162872,4782421.70162872,4782421.70162872,4782421.70162872,4782421.70162872
256,2047,682,1.2441350452377844,1.2441350452377844,82.93967077455412,428371374,0.411944958939467,naive_quantum,1,1,1,5997627.50347868,5997627.50347868,5997627.50347868,5997627.50347868,5997627.50347868,5997627.50347868
264,2047,682,1.2364656539934116,1.2364656539934116,84.95558190336732,118013506,0.41411125761575,naive_quantum,1,1,1,7574574.85630518,7574574.85630518,7574574.85630518,7574574.85630518,7574574.85630518,7574574.85630518
272,2047,682,1.2294512602523788,1.2294512602523788,86.9705339574342,38692693,0.41617259744511,naive_quantum,1,1,1,9582567.81312478,9582567.81312478,9582567.81312478,9582567.81312478,9582567.81312478,9582567.81312478
280,2047,682,1.2230368218984138,1.2230368218984138,88.98524060344593,14931527,0.41813504328197,naive_quantum,1,1,1,12152314.1235868,12152314.1235868,12152314.1235868,12152314.1235868,12152314.1235868,12152314.1235868
288,2047,682,1.2171796659415326,1.2171796659415326,91.00050478938465,6736000,0.420004499771218,naive_quantum,1,1,1,15461326.5036552,15461326.5036552,15461326.5036552,15461326.5036552,15461326.5036552,15461326.5036552
296,2047,682,1.2118424095179579,1.2118424095179579,93.01722074620227,3527542,0.421786475100968,naive_quantum,1,1,1,19750761.8044196,19750761.8044196,19750761.8044196,19750761.8044196,19750761.8044196,19750761.8044196
304,2047,682,1.2069933822459156,1.2069933822459156,95.03636381953795,2122863,0.423486179987363,naive_quantum,1,1,1,25351929.2741973,25351929.2741973,25351929.2741973,25351929.2741973,25351929.2741973,25351929.2741973
312,2047,682,1.2026064051472456,1.2026064051472456,97.05896544116635,1446662,0.425108580254102,naive_quantum,1,1,1,32725256.7669347,32725256.7669347,32725256.7669347,32725256.7669347,32725256.7669347,32725256.7669347
320,2047,682,1.1986474818670685,1.1986474818670685,99.08697832700622,1095216,0.426657809018784,naive_quantum,1,1,1,42534455.2601546,42534455.2601546,42534455.2601546,42534455.2601546,42534455.2601546,42534455.2601546
328,2047,682,1.1950860334602413,1.1950860334602413,101.11976238024037,903348,0.428137768413673,naive_quantum,1,1,1,55595086.4476276,55595086.4476276,55595086.4476276,55595086.4476276,55595086.4476276,55595086.4476276
336,2047,682,1.1918894049941797,1.1918894049941797,103.15896917852885,797385,0.42955191814951,naive_quantum,1,1,1,73136650.4109987,73136650.4109987,73136650.4109987,73136650.4109987,73136650.4109987,73136650.4109987
344,2047,682,1.189022939946122,1.189022939946122,105.20535713464129,742064,0.430903333954268,naive_quantum,1,1,1,96822582.4210344,96822582.4210344,96822582.4210344,96822582.4210344,96822582.4210344,96822582.4210344
352,2047,682,1.1864517609936884,1.1864517609936884,107.25948753793521,719540,0.432194836309052,naive_quantum,1,1,1,128950415.986153,128950415.986153,128950415.986153,128950415.986153,128950415.986153,128950415.986153
360,2047,682,1.1841447455344685,1.1841447455344685,109.32169726087453,720486,0.433429215227942,naive_quantum,1,1,1,172715517.924901,172715517.924901,172715517.924901,172715517.924901,172715517.924901,172715517.924901
368,2047,682,1.1820647531144326,1.1820647531144326,111.39209182078953,739813,0.434608811049374,naive_quantum,1,1,1,232477467.290004,232477467.290004,232477467.290004,232477467.290004,232477467.290004,232477467.290004
376,2047,682,1.1801857689664745,1.1801857689664745,113.47055796724673,776711,0.435736307492972,naive_quantum,1,1,1,314334727.114645,314334727.114645,314334727.114645,314334727.114645,314334727.114645,314334727.114645
384,2047,682,1.1784803198584493,1.1784803198584493,115.55679193997139,826992,0.436814172419236,naive_quantum,1,1,1,426682900.92739,426682900.92739,426682900.92739,426682900.92739,426682900.92739,426682900.92739
392,2047,682,1.1769248937349068,1.1769248937349068,117.65033790549307,892231,0.437844902906165,naive_quantum,1,1,1,581146844.229439,581146844.229439,581146844.229439,581146844.229439,581146844.229439,581146844.229439
400,2047,682,1.1755302489816153,1.1755302489816153,119.75059253847343,973415,0.438819906347438,naive_quantum,1,1,1,795007736.056254,795007736.056254,795007736.056254,795007736.056254,795007736.056254,795007736.056254
408,2047,682,1.1741851493703395,1.1741851493703395,121.85703776132061,1071330,0.439774761691416,naive_quantum,1,1,1,1086952608.7585,1086952608.7585,1086952608.7585,1086952608.7585,1086952608.7585,1086952608.7585
416,2047,682,1.1729681729549661,1.1729681729549661,123.96889765864097,1188616,0.440678851660472,naive_quantum,1,1,1,1491383264.21124,1491383264.21124,1491383264.21124,1491383264.21124,1491383264.21124,1491383264.21124
424,2047,682,1.1718346206059378,1.1718346206059378,126.08554961680427,1327686,0.441545497340648,naive_quantum,1,1,1,2049696474.02822,2049696474.02822,2049696474.02822,2049696474.02822,2049696474.02822,2049696474.02822
432,2047,682,1.1707765779602084,1.1707765779602084,128.2063580479574,1491799,0.44237709694199,naive_quantum,1,1,1,2821294250.97439,2821294250.97439,2821294250.97439,2821294250.97439,2821294250.97439,2821294250.97439
440,2047,682,1.1697823155058427,1.1697823155058427,130.330728698192,1684971,0.44317575149349,naive_quantum,1,1,1,3887748815.49967,3887748815.49967,3887748815.49967,3887748815.49967,3887748815.49967,3887748815.49967
448,2047,682,1.168845025196242,1.168845025196242,132.45811864361988,1912045,0.443943603960151,naive_quantum,1,1,1,5362494573.72557,5362494573.72557,5362494573.72557,5362494573.72557,5362494573.72557,5362494573.72557
456,2047,682,1.1679549541999417,1.1679549541999417,134.58804117936918,2178963,0.444682545628043,naive_quantum,1,1,1,7401123050.92667,7401123050.92667,7401123050.92667,7401123050.92667,7401123050.92667,7401123050.92667
464,2047,682,1.1671132114350513,1.1671132114350513,136.72006680538502,2492553,0.44539472177449,naive_quantum,1,1,1,10223159800.5078,10223159800.5078,10223159800.5078,10223159800.5078,10223159800.5078,10223159800.5078
472,2047,682,1.1663108406185803,1.1663108406185803,138.85382148383198,2861333,0.446081775138074,naive_quantum,1,1,1,14127698572.7604,14127698572.7604,14127698572.7604,14127698572.7604,14127698572.7604,14127698572.7604
480,2047,682,1.165544552754396,1.165544552754396,140.98898305633102,3295346,0.446745423026606,naive_quantum,1,1,1,19531143560.4869,19531143560.4869,19531143560.4869,19531143560.4869,19531143560.4869,19531143560.4869
488,2047,682,1.1648112435647364,1.1648112435647364,143.12527669792058,3806608,0.447387262753131,naive_quantum,1,1,1,27009950719.4601,27009950719.4601,27009950719.4601,27009950719.4601,27009950719.4601,27009950719.4601
496,2047,682,1.1641089214463631,1.1641089214463631,145.26246988894658,4409409,0.448008809601993,naive_quantum,1,1,1,37364014894.8445,37364014894.8445,37364014894.8445,37364014894.8445,37364014894.8445,37364014894.8445
504,2047,682,1.1634325935150904,1.1634325935150904,147.40036730619337,5121303,0.448611363923635,naive_quantum,1,1,1,51692238230.7175,51692238230.7175,51692238230.7175,51692238230.7175,51692238230.7175,51692238230.7175
512,2047,682,1.1627826916908681,1.1627826916908681,149.53880596301286,5962615,0.449196302196348,naive_quantum,1,1,1,71529997460.7172,71529997460.7172,71529997460.7172,71529997460.7172,71529997460.7172,71529997460.7172
520,2047,682,1.1621564964307305,1.1621564964307305,151.6776506290816,6958203,0.449764792998659,naive_quantum,1,1,1,98992740593.8386,98992740593.8386,98992740593.8386,98992740593.8386,98992740593.8386,98992740593.8386
528,1023,341,1.1615374830221925,1.1615374830221925,153.82602273332665,298231,0.453018341301386,naive_quantum,1,1,1,137215118926.115,137215118926.115,137215118926.115,137215118926.115,137215118926.115,137215118926.115
536,1023,341,1.1609547097552653,1.1609547097552653,155.9648556505391,360233,0.453405374854233,naive_quantum,1,1,1,189906602606.514,189906602606.514,189906602606.514,189906602606.514,189906602606.514,189906602606.514
544,1023,341,1.1603908823318467,1.1603908823318467,158.10382685751046,435494,0.453782495658709,naive_quantum,1,1,1,262838329869.751,262838329869.751,262838329869.751,262838329869.751,262838329869.751,262838329869.751
552,1023,341,1.1598445800868236,1.1598445800868236,160.24287510237963,526927,0.454150352410449,naive_quantum,1,1,1,363774455912.559,363774455912.559,363774455912.559,363774455912.559,363774455912.559,363774455912.559
560,1023,341,1.1593177706371582,1.1593177706371582,162.38195084866857,637894,0.454509616916585,naive_quantum,1,1,1,503564745781.933,503564745781.933,503564745781.933,503564745781.933,503564745781.933,503564745781.933
568,1023,341,1.158802425953342,1.158802425953342,164.52101427776574,773165,0.45486068273327,naive_quantum,1,1,1,696847283665.202,696847283665.202,696847283665.202,696847283665.202,696847283665.202,696847283665.202
576,1023,341,1.1583061006091522,1.1583061006091522,166.6600335934838,937437,0.455204251009824,naive_quantum,1,1,1,964566851577.293,964566851577.293,964566851577.293,964566851577.293,964566851577.293,964566851577.293
584,1023,341,1.1578230281407078,1.1578230281407078,168.79898361541822,1137545,0.455540676860538,naive_quantum,1,1,1,1335004756686.41,1335004756686.41,1335004756686.41,1335004756686.41,1335004756686.41,1335004756686.41
592,1023,341,1.157353729805447,1.157353729805447,170.93784455243605,1381292,0.455870417607303,naive_quantum,1,1,1,1847671032153.44,1847671032153.44,1847671032153.44,1847671032153.44,1847671032153.44,1847671032153.44
600,1023,341,1.1568974832181642,1.1568974832181642,173.07660103888992,1678364,0.456193865052909,naive_quantum,1,1,1,2557134917776.32,2557134917776.32,2557134917776.32,2557134917776.32,2557134917776.32,2557134917776.32
608,1023,341,1.1564535732384866,1.1564535732384866,175.21524130534706,2040637,0.456511376620601,naive_quantum,1,1,1,3538868750057.82,3538868750057.82,3538868750057.82,3538868750057.82,3538868750057.82,3538868750057.82
616,1023,341,1.1560212834939978,1.1560212834939978,177.35375650067573,2482695,0.456823277791646,naive_quantum,1,1,1,4897228333223.59,4897228333223.59,4897228333223.59,4897228333223.59,4897228333223.59,4897228333223.59
624,1023,341,1.1555998940371868,1.1555998940371868,179.49214013853035,3022459,0.457129864507951,naive_quantum,1,1,1,6776463721591.3,6776463721591.3,6776463721591.3,6776463721591.3,6776463721591.3,6776463721591.3
632,1023,341,1.1551920362572334,1.1551920362572334,181.63038759209928,3680501,0.457431479818218,naive_quantum,1,1,1,9378408641404.44,9378408641404.44,9378408641404.44,9378408641404.44,9378408641404.44,9378408641404.44
640,1023,341,1.1547932720840388,1.1547932720840388,183.76849579167805,4484957,0.457728284928086,naive_quantum,1,1,1,12977521942129.6,12977521942129.6,12977521942129.6,12977521942129.6,12977521942129.6,12977521942129.6
648,1023,341,1.1544048901765736,1.1544048901765736,185.90646284743855,5467862,0.458020545054703,naive_quantum,1,1,1,17957651542541.4,17957651542541.4,17957651542541.4,17957651542541.4,17957651542541.4,17957651542541.4
656,1023,341,1.154026282281958,1.154026282281958,188.04428782449241,6669407,0.458308462169375,naive_quantum,1,1,1,24848209422359.4,24848209422359.4,24848209422359.4,24848209422359.4,24848209422359.4,24848209422359.4
664,1023,341,1.1536570309556826,1.1536570309556826,190.18197053307216,8138821,0.458592223027679,naive_quantum,1,1,1,34381664434411.0,34381664434411.0,34381664434411.0,34381664434411.0,34381664434411.0,34381664434411.0
672,1023,341,1.1532967060192991,1.1532967060192991,192.31951135967404,9936586,0.458871996264236,naive_quantum,1,1,1,47570982516019.3,47570982516019.3,47570982516019.3,47570982516019.3,47570982516019.3,47570982516019.3
680,1023,341,1.1529448577808805,1.1529448577808805,194.45691113153129,12137069,0.459147933731961,naive_quantum,1,1,1,65816746524052.4,65816746524052.4,65816746524052.4,65816746524052.4,65816746524052.4,65816746524052.4
688,1023,341,1.1526010145514944,1.1526010145514944,196.5941710098542,14831808,0.45942017182742,naive_quantum,1,1,1,91054983591718.0,91054983591718.0,91054983591718.0,91054983591718.0,91054983591718.0,91054983591718.0
696,1023,341,1.1522646855105099,1.1522646855105099,198.73129241032234,18133586,0.459688832832996,naive_quantum,1,1,1,125961082629896.0,125961082629896.0,125961082629896.0,125961082629896.0,125961082629896.0,125961082629896.0
704,1023,341,1.151935369319414,1.151935369319414,200.86827695076033,22181499,0.459954026292122,naive_quantum,1,1,1,174230989872183.0,174230989872183.0,174230989872183.0,174230989872183.0,174230989872183.0,174230989872183.0
712,1023,341,1.1516170698998502,1.1516170698998502,203.0051262625516,27129873,0.460215950097804,naive_quantum,1,1,1,241066941115309.0,241066941115309.0,241066941115309.0,241066941115309.0,241066941115309.0,241066941115309.0
720,1023,341,1.1513043279621509,1.1513043279621509,205.14184219797986,33202019,0.460474582283137,naive_quantum,1,1,1,333481420996380.0,333481420996380.0,333481420996380.0,333481420996380.0,333481420996380.0,333481420996380.0
728,1023,341,1.15099862122146,1.15099862122146,207.2784265610515,40647195,0.460730044980688,naive_quantum,1,1,1,461311646415019.0,461311646415019.0,461311646415019.0,461311646415019.0,461311646415019.0,461311646415019.0
736,1023,341,1.1506996854588405,1.1506996854588405,209.41488119401308,49778578,0.460982413184518,naive_quantum,1,1,1,638123859253563.0,638123859253563.0,638123859253563.0,638123859253563.0,638123859253563.0,638123859253563.0
744,1023,341,1.1504072394701186,1.1504072394701186,211.55120793343906,60981603,0.461231753728994,naive_quantum,1,1,1,882675634208876.0,882675634208876.0,882675634208876.0,882675634208876.0,882675634208876.0,882675634208876.0
752,1023,341,1.1501209785827706,1.1501209785827706,213.68740859416974,74731021,0.461478125881398,naive_quantum,1,1,1,1.22089744230531e+15,1.22089744230531e+15,1.22089744230531e+15,1.22089744230531e+15,1.22089744230531e+15,1.22089744230531e+15
760,1023,341,1.1498405713089268,1.1498405713089268,215.823484958896,91612138,0.461721581946935,naive_quantum,1,1,1,1.68862696956153e+15,1.68862696956153e+15,1.68862696956153e+15,1.68862696956153e+15,1.68862696956153e+15,1.68862696956153e+15
768,1023,341,1.1495656603896443,1.1495656603896443,217.95943877539804,112347262,0.461962167918587,naive_quantum,1,1,1,2.33538043053324e+15,2.33538043053324e+15,2.33538043053324e+15,2.33538043053324e+15,2.33538043053324e+15,2.33538043053324e+15
776,1023,341,1.149295868991963,1.149295868991963,220.09527176458892,137828627,0.462199924192883,naive_quantum,1,1,1,3.22955220440925e+15,3.22955220440925e+15,3.22955220440925e+15,3.22955220440925e+15,3.22955220440925e+15,3.22955220440925e+15
784,1023,341,1.1490341626423382,1.1490341626423382,222.23098556069684,169067646,0.462434960654415,naive_quantum,1,1,1,4.46707805567148e+15,4.46707805567148e+15,4.46707805567148e+15,4.46707805567148e+15,4.46707805567148e+15,4.46707805567148e+15
792,1023,341,1.14877623163589,1.14877623163589,224.366581772664,207495809,0.462667221680964,naive_quantum,1,1,1,6.17765096650155e+15,6.17765096650155e+15,6.17765096650155e+15,6.17765096650155e+15,6.17765096650155e+15,6.17765096650155e+15
800,1023,341,1.1485239500020241,1.1485239500020241,226.50206195724257,254706254,0.462896785081114,naive_quantum,1,1,1,8.54338661938415e+15,8.54338661938415e+15,8.54338661938415e+15,8.54338661938415e+15,8.54338661938415e+15,8.54338661938415e+15
808,1023,341,1.148276732768866,1.148276732768866,228.63742761199882,312735918,0.463123670831732,naive_quantum,1,1,1,1.1814767407529e+16,1.1814767407529e+16,1.1814767407529e+16,1.1814767407529e+16,1.1814767407529e+16,1.1814767407529e+16
816,1023,341,1.1480343843440695,1.1480343843440695,230.77268018705388,384081692,0.463347904619209,naive_quantum,1,1,1,1.633829807456e+16,1.633829807456e+16,1.633829807456e+16,1.633829807456e+16,1.633829807456e+16,1.633829807456e+16
824,1023,341,1.147796688029709,1.147796688029709,232.90782108251332,471823209,0.463569509082072,naive_quantum,1,1,1,2.25928879052665e+16,2.25928879052665e+16,2.25928879052665e+16,2.25928879052665e+16,2.25928879052665e+16,2.25928879052665e+16
832,1023,341,1.1475634024913706,1.1475634024913706,235.0428516509564,579761954,0.463788504050039,naive_quantum,1,1,1,3.12403006613941e+16,3.12403006613941e+16,3.12403006613941e+16,3.12403006613941e+16,3.12403006613941e+16,3.12403006613941e+16
840,1023,341,1.1473342614567819,1.1473342614567819,237.17777320359065,712594648,0.464004906829147,naive_quantum,1,1,1,4.31947343435886e+16,4.31947343435886e+16,4.31947343435886e+16,4.31947343435886e+16,4.31947343435886e+16,4.31947343435886e+16
848,1023,341,1.1471089774238077,1.1471089774238077,239.31258702320272,876129323,0.464218732551744,naive_quantum,1,1,1,5.97187462529467e+16,5.97187462529467e+16,5.97187462529467e+16,5.97187462529467e+16,5.97187462529467e+16,5.97187462529467e+16
856,1023,341,1.1468906001076067,1.1468906001076067,241.44729432970496,1076900171,0.464430068277902,naive_quantum,1,1,1,8.25857750757517e+16,8.25857750757517e+16,8.25857750757517e+16,8.25857750757517e+16,8.25857750757517e+16,8.25857750757517e+16
864,1023,341,1.1466740858252564,1.1466740858252564,243.58189629012156,1324482837,0.464638821643647,naive_quantum,1,1,1,1.14177794727216e+17,1.14177794727216e+17,1.14177794727216e+17,1.14177794727216e+17,1.14177794727216e+17,1.14177794727216e+17
872,1023,341,1.1464620477333038,1.1464620477333038,245.7163940889088,1629163801,0.464845067739349,naive_quantum,1,1,1,1.5785894059193e+17,1.5785894059193e+17,1.5785894059193e+17,1.5785894059193e+17,1.5785894059193e+17,1.5785894059193e+17
880,1023,341,1.146252314839884,1.146252314839884,247.85078885254453,2004909922,0.465048775701762,naive_quantum,1,1,1,2.18206483458492e+17,2.18206483458492e+17,2.18206483458492e+17,2.18206483458492e+17,2.18206483458492e+17,2.18206483458492e+17
888,1023,341,1.1460480736605185,1.1460480736605185,249.98508163810496,2466988705,0.465250031183556,naive_quantum,1,1,1,3.01673902422415e+17,3.01673902422415e+17,3.01673902422415e+17,3.01673902422415e+17,3.01673902422415e+17,3.01673902422415e+17
896,1023,341,1.1458475158221064,1.1458475158221064,252.1192735258344,3036105153,0.4654488098815,naive_quantum,1,1,1,4.17058292605582e+17,4.17058292605582e+17,4.17058292605582e+17,4.17058292605582e+17,4.17058292605582e+17,4.17058292605582e+17
904,1023,341,1.1456505309399652,1.1456505309399652,254.25336555193974,3737167402,0.465645124223133,naive_quantum,1,1,1,5.76559586775785e+17,5.76559586775785e+17,5.76559586775785e+17,5.76559586775785e+17,5.76559586775785e+17,5.76559586775785e+17
912,1023,341,1.1454570121907166,1.1454570121907166,256.3873587280647,4600904897,0.465838986360042,naive_quantum,1,1,1,7.97038902970232e+17,7.97038902970232e+17,7.97038902970232e+17,7.97038902970232e+17,7.97038902970232e+17,7.97038902970232e+17
920,1023,341,1.1452666236048132,1.1452666236048132,258.5212540477585,5665496186,0.466030403252983,naive_quantum,1,1,1,1.10176822506682e+18,1.10176822506682e+18,1.10176822506682e+18,1.10176822506682e+18,1.10176822506682e+18,1.10176822506682e+18
928,1023,341,1.1450797842195375,1.1450797842195375,260.65505246834203,6977199629,0.466219398002541,naive_quantum,1,1,1,1.52300857614315e+18,1.52300857614315e+18,1.52300857614315e+18,1.52300857614315e+18,1.52300857614315e+18,1.52300857614315e+18
936,1023,341,1.144896108665855,1.144896108665855,262.78875494555007,8594025692,0.466405976254437,naive_quantum,1,1,1,2.10523501029773e+18,2.10523501029773e+18,2.10523501029773e+18,2.10523501029773e+18,2.10523501029773e+18,2.10523501029773e+18
944,1023,341,1.1447155172367809,1.1447155172367809,264.9223624105908,10587233516,0.466590150261575,naive_quantum,1,1,1,2.90994707143929e+18,2.90994707143929e+18,2.90994707143929e+18,2.90994707143929e+18,2.90994707143929e+18,2.90994707143929e+18
952,1023,341,1.144539590415387,1.144539590415387,267.05587580153394,13040305013,0.466771967632683,naive_quantum,1,1,1,4.02294517360521e+18,4.02294517360521e+18,4.02294517360521e+18,4.02294517360521e+18,4.02294517360521e+18,4.02294517360521e+18
960,1023,341,1.1443650368301543,1.1443650368301543,269.18929597811456,16069347050,0.466951372360529,naive_quantum,1,1,1,5.56042015513091e+18,5.56042015513091e+18,5.56042015513091e+18,5.56042015513091e+18,5.56042015513091e+18,5.56042015513091e+18
968,1023,341,1.1441933649358635,1.1441933649358635,271.32262384581486,19804845848,0.467128410922661,naive_quantum,1,1,1,7.68526803722777e+18,7.68526803722777e+18,7.68526803722777e+18,7.68526803722777e+18,7.68526803722777e+18,7.68526803722777e+18
976,1023,341,1.1440245074793387,1.1440245074793387,273.45586028010155,24412118714,0.467303096368376,naive_quantum,1,1,1,1.06218126855265e+19,1.06218126855265e+19,1.06218126855265e+19,1.06218126855265e+19,1.06218126855265e+19,1.06218126855265e+19
