d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,8191,2730,1.0266667768763134,1.0266667768763134,40.189993995036595,99,0.140907547060949,t_count,9,9,12295,12789.646324634,9800795.73047109,124183314.786635,459380.162139779,3216708.2405255,19782.8155138345
72,8191,2730,1.0299418829138267,1.0299418829138267,42.37410008838425,167,0.154189784588901,t_count,10,10,12296,17363.3463534845,12928195.2246933,163825688.55724,605941.325585805,4243167.76513277,26291.6579727478
80,4095,1365,1.0576385552908225,1.0576385552908225,44.12183100300599,426,0.213020277953612,t_count,11,11,6153,28945.5139103621,11563379.8131176,128272486.13636,541845.900639095,3796098.25112236,40770.8153249612
88,4095,1365,1.0577620218438906,1.0577620218438906,46.2790721144411,685,0.225171730915097,t_count,12,12,6154,39350.931964053,15256402.8916136,169279443.285186,714836.456388418,5008512.10974426,54253.0600451145
96,4095,1365,1.0578451385800876,1.0578451385800876,48.42388645493475,1074,0.237167958493781,t_count,13,13,6155,53354.5285558844,20092886.1648359,222999391.67481,941370.130267616,6596336.8867482,72059.2770726025
104,8191,2730,1.0386386124717486,1.0386386124717486,50.95335622836717,179,0.197600713861999,t_count,13,13,12299,56309.982133839,38638818.9185969,489790268.34167,1810763.92809445,12681833.4631896,80337.5399553462
112,16383,5461,1.0238558719504087,1.0238558719504087,53.507908820676406,104,0.160667728609964,t_count,13,13,24587,60766.7073369434,76214243.9915453,1094034058.77617,3572151.99206549,25011460.4399676,91004.6861074799
120,16383,5461,1.0268612023294195,1.0268612023294195,55.62513209839025,147,0.169468180975798,t_count,14,14,24588,82330.6332099805,100849447.204742,1447746289.82287,4726701.6804571,33096145.105242,121187.61430441
128,16383,5461,1.0297446676577415,1.0297446676577415,57.740689377128305,207,0.177945942010862,t_count,14,14,24588,109344.48713765,133939587.888184,1922772477.19415,6277599.85501478,43955461.9182404,160950.997422241
136,8191,2730,1.0455447368853097,1.0455447368853097,59.41622641433976,331,0.233906184097154,t_count,16,16,12302,185729.19243398,118178763.867324,1498619551.81409,5537615.04820148,38788550.082013,251095.048994483
144,8191,2730,1.0473212604322315,1.0473212604322315,61.52717643771339,488,0.241937578460358,t_count,17,17,12303,253635.38789162,157569482.148357,1998409449.05465,7383073.70820063,51717577.8608961,337178.797647391
152,8191,2730,1.0491299323620107,1.0491299323620107,63.63930804546562,723,0.249628870256033,t_count,18,18,12304,347590.156492671,210948603.862552,2675790059.62961,9883790.46841659,69238028.1169151,454602.866709164
160,8191,2730,1.0509607743093747,1.0509607743093747,65.75349971469039,1073,0.257009378948515,t_count,19,19,12305,477958.955191873,283517250.192062,3596834700.38215,13283366.075966,93057094.6787145,615291.053176868
168,8191,2730,1.0528014364676008,1.0528014364676008,67.87054311628803,1595,0.264103209404637,t_count,20,20,12306,659358.577201091,382483407.577371,4853128575.80335,17919382.2175624,125540706.092756,835868.284814657
176,4095,1365,1.064563170277367,1.064563170277367,69.54035412327755,2235,0.315316386241683,t_count,21,21,6163,1114615.75507353,341525559.233301,3799894384.80286,15990048.448952,112128261.566462,1307329.69403484
184,4095,1365,1.0658199528711112,1.0658199528711112,71.65464827036244,3170,0.321017261201917,t_count,22,22,6164,1543141.63143097,462072270.290104,5143047959.90515,21632168.0753108,151707028.879948,1782716.13128783
192,4095,1365,1.0671177708255548,1.0671177708255548,73.77297440793718,4488,0.326475491194136,t_count,23,23,6165,2142601.33404803,627303931.649723,6984846870.85073,29365116.4978904,205957553.235367,2439122.05438503
200,4095,1365,1.0684385169165629,1.0684385169165629,75.8954925234779,6339,0.331706111025448,t_count,24,24,6166,2982597.94796852,854240798.744042,9515535921.8572,39985046.7260409,280468402.670542,3347282.41322232
208,4095,1365,1.069770341126345,1.069770341126345,78.02218182868597,8934,0.336721405162534,t_count,25,25,6167,4161684.4854799,1166569959.21403,13000008556.5885,54599877.6513816,383017252.47562,4606308.89632177
216,4095,1365,1.0710938750672707,1.0710938750672707,80.1528764240877,12558,0.341529412992571,t_count,26,26,6168,5817591.628696,1596758512.36408,17801550457.8527,74728059.8330407,524264805.434538,6353102.15518685
224,4095,1365,1.0724024740788667,1.0724024740788667,82.28730212192816,17603,0.346138086929371,t_count,27,27,6169,8145719.28628455,2190130196.95661,24427559931.4159,102489172.987269,719093415.682661,8780017.09956081
232,2047,682,1.0809841907135909,1.0809841907135909,83.94010917206441,13948,0.39033058732994,t_count,28,28,3098,13955853.5286406,1967236280.23464,19168424717.9549,91881027.0941401,646281800.746918,13806112.6109513
240,2047,682,1.0819619023315252,1.0819619023315252,86.07307279491059,18646,0.393653071066474,t_count,29,29,3099,19578987.4896869,2702352729.17004,26358787760.5642,126193978.189831,887800138.607988,19126531.8964378
248,2047,682,1.0829319725917224,1.0829319725917224,88.20940016457004,24871,0.396823362103952,t_count,30,30,3100,27498180.2238889,3717912391.99946,36303538860.3965,173589335.240516,1221462375.87101,26536309.7222302
256,2047,682,1.0838903191073856,1.0838903191073856,90.348663722652,33057,0.399847402124067,t_count,31,31,3101,38657723.5443906,5122226308.59051,50071182603.9956,239116725.472158,1682857997.52113,36865127.492937
264,2047,682,1.0848303122095646,1.0848303122095646,92.4904328745008,43816,0.402729240227433,t_count,32,32,3102,54384659.5022182,7064846716.20515,69139131641.5186,329747303.068785,2321128669.18953,51267752.1394428
272,2047,682,1.0857480915041078,1.0857480915041078,94.63429755638613,57919,0.405474185877149,t_count,33,33,3103,76550167.4861137,9753173761.7046,95559087273.9009,455147119.859296,3204425615.69778,71357811.1643812
280,2047,682,1.0866442700663754,1.0866442700663754,96.77987213255662,76361,0.408086809510236,t_count,34,34,3104,107803865.69791,13476303013.4988,132194797737.535,628787566.466137,4427746605.58489,99400902.7822936
288,2047,682,1.0875103526486007,1.0875103526486007,98.92680778657406,100435,0.410571320077402,t_count,35,35,3105,151835495.537236,18629592097.0267,182968854001.825,869088246.843732,6121010051.43395,138521562.159904
296,2047,682,1.0883486303100154,1.0883486303100154,101.07479277173917,131793,0.412932837823637,t_count,36,36,3106,213880230.658571,25765908519.7769,253374037865.948,1201803200.8434,8465896602.55136,193118962.847391
304,2047,682,1.0891585776747872,1.0891585776747872,103.2235539408995,172563,0.415176169080528,t_count,37,37,3107,301291289.539819,35649370620.4246,351013564457.634,1662521000.55425,11713511717.0732,269319731.836852
312,2047,682,1.08994011038969,1.08994011038969,105.37285566264674,225474,0.417306180074093,t_count,38,38,3108,424412709.235776,49338352371.5469,486434702908.954,2300526840.87519,16211665677.8754,375672733.793505
320,1023,341,1.096148198687037,1.096148198687037,106.93164282070633,117311,0.430738890361794,t_count,39,39,1573,727200269.154698,44012930575.982,385076516152.659,2040422733.2326,14480075689.1023,588685932.172851
328,1023,341,1.0967477385530533,1.0967477385530533,109.07894833040163,149588,0.432135159008941,t_count,40,40,1574,1024843301.68271,60932095366.4124,534708306166.256,2823848809.6725,20047114656.6567,822086533.364187
336,1023,341,1.0973275869118198,1.0973275869118198,111.22660618252601,190499,0.43345874849933,t_count,41,41,1575,1444116532.53699,84371105120.023,742666268447.47,3908810119.87043,27759695890.4636,1148149186.64601
