d,n,k,theta,log_cost,pf_inv,eta,metric,gates,depth
64,255,85,1.329756929648492,43.51916546841048,488,0.364564631337296,classical,1493.0,16.0
72,255,85,1.316589702236701,46.578114868947715,635,0.374222943517438,classical,1493.0,16.0
80,255,85,1.3059832990147473,49.6089309701181,801,0.382291386591124,classical,1493.0,16.0
88,255,85,1.2972426806347028,52.61691646003751,985,0.389128563684585,classical,1493.0,16.0
96,255,85,1.2898974421697909,55.606021614867565,1186,0.394993412098752,classical,1493.0,16.0
104,255,85,1.2836319372703884,58.579265328430544,1402,0.400077816542812,classical,1493.0,16.0
112,255,85,1.2782203991118108,61.539004800751734,1631,0.404526686452148,classical,1493.0,16.0
120,255,85,1.2734932576093552,64.48711414325876,1871,0.408451262820247,classical,1493.0,16.0
128,255,85,1.269323597040318,67.42510707891033,2120,0.411938428476467,classical,1493.0,16.0
136,255,85,1.2656070213872106,70.3566000114703,2378,0.41562128651355,classical,1493.0,16.0
144,255,85,1.262303301817632,73.2750615152719,2643,0.417761240108117,classical,1493.0,16.0
152,255,85,1.2593149949222482,76.18889782406389,2912,0.420194527335311,classical,1493.0,16.0
160,255,85,1.2566045156429553,79.0965477616669,3186,0.422414167032445,classical,1493.0,16.0
168,255,85,1.2541370438125554,81.99865016096923,3463,0.424454518816457,classical,1493.0,16.0
176,255,85,1.2518796388623505,84.8957460501632,3741,0.426342292911016,classical,1493.0,16.0
184,255,85,1.2498040079609534,87.78829654334993,4021,0.428098248972879,classical,1493.0,16.0
192,255,85,1.2478924118630321,90.67669730315328,4301,0.42973867315451,classical,1493.0,16.0
200,255,85,1.246120523948385,93.56129032912838,4580,0.431276101894527,classical,1493.0,16.0
208,255,85,1.244475925042784,96.44237338173002,4858,0.432720593627128,classical,1493.0,16.0
216,255,85,1.2429465634889532,99.32020764840684,11467,0.434080162036316,classical,1493.0,16.0
224,255,85,1.2415149963489742,102.19502390822908,7818,0.43536118995458,classical,1493.0,16.0
232,255,85,1.2401782598037456,105.06702749006071,9915,0.436569238608924,classical,1493.0,16.0
240,255,85,1.2389238220184524,107.93640232881967,12614,0.437708857597571,classical,1493.0,16.0
248,1023,341,1.2300453820043837,112.1631696500604,16863,0.422399489701642,classical,6093.0,20.0
256,1023,341,1.229182067751423,115.03147610390265,15767,0.42436084262771,classical,6093.0,20.0
264,1023,341,1.2283656715405002,117.8974282238807,14807,0.426213824734066,classical,6093.0,20.0
272,1023,341,1.2275928820563902,120.76115677194886,13962,0.427963935461166,classical,6093.0,20.0
280,1023,341,1.226859547597552,123.62278270120255,13215,0.429616435748812,classical,6093.0,20.0
288,1023,341,1.226163375724793,126.48241830959523,12550,0.431176483708038,classical,6093.0,20.0
296,1023,341,1.2254997929300273,129.34016819352448,11957,0.432649010089726,classical,6093.0,20.0
304,1023,341,1.2248715609301464,132.1961299724369,11430,0.434039047378586,classical,6093.0,20.0
312,1023,341,1.224269383338857,135.05039500250172,10954,0.435351088588251,classical,6093.0,20.0
320,1023,341,1.2236944988369247,137.9030488936656,10525,0.436589825656241,classical,6093.0,20.0
328,1023,341,1.2231449927109872,140.75417195185707,10139,0.437759690361757,classical,6093.0,20.0
336,1023,341,1.2226191314683774,143.6038395922477,9790,0.43886495667497,classical,6093.0,20.0
344,1023,341,1.2221153775708238,146.4521226879336,9473,0.439909733308264,classical,6093.0,20.0
352,1023,341,1.2216339765080089,149.30208360245257,9187,0.440897999940544,classical,6093.0,20.0
360,1023,341,1.221170292282619,152.14794477566366,8926,0.441833420409088,classical,6093.0,20.0
368,1023,341,1.2207219502075417,154.99256616409738,8688,0.442719541326209,classical,6093.0,20.0
376,1023,341,1.2202934278591244,157.8360022256072,8472,0.443559895970656,classical,6093.0,20.0
384,1023,341,1.2198813376445108,160.67830481014107,8277,0.444357625280986,classical,6093.0,20.0
392,1023,341,1.2194841064325725,163.5195233763648,8099,0.445115734963144,classical,6093.0,20.0
400,1023,341,1.219101023894197,166.3597050610115,7938,0.445837070667805,classical,6093.0,20.0
408,1023,341,1.2187315309752582,169.19889480287907,7792,0.446524304076881,classical,6093.0,20.0
416,1023,341,1.2183752353764628,172.03713543281899,7660,0.44717993712601,classical,6093.0,20.0
424,1023,341,1.2180300929296228,174.87446779365112,7541,0.447806271328389,classical,6093.0,20.0
432,1023,341,1.2176962137017613,177.71093078892517,7434,0.448405495477769,classical,6093.0,20.0
440,1023,341,1.2173756195103065,180.54656137136433,7343,0.448979683787438,classical,6093.0,20.0
448,1023,341,1.2170638011810395,183.38139492026158,7258,0.449530630526645,classical,6093.0,20.0
456,1023,341,1.2167618153490556,186.21546496648523,7184,0.45006010795727,classical,6093.0,20.0
464,1023,341,1.2164691803288932,189.04880344948592,7119,0.450569726100037,classical,6093.0,20.0
472,1023,341,1.2161854411170876,191.88144074630628,7063,0.451060972801739,classical,6093.0,20.0
480,1023,341,1.2159101724495984,194.71340573753912,7017,0.451535221126311,classical,6093.0,20.0
488,1023,341,1.2156429745719879,197.54472587139333,6978,0.451993736435979,classical,6093.0,20.0
496,1023,341,1.2153835099444983,200.37542827223592,6948,0.452437917394991,classical,6093.0,20.0
504,1023,341,1.2151314368707866,203.20553417675038,6927,0.452868048334093,classical,6093.0,20.0
512,1023,341,1.2148864799961907,206.03507100480078,6912,0.453285983598831,classical,6093.0,20.0
520,1023,341,1.2146483654652882,208.86405964929384,6906,0.453692308016558,classical,6093.0,20.0
528,1023,341,1.2144168409960268,211.69252128463222,6907,0.454087847655579,classical,6093.0,20.0
536,1023,341,1.2141916597533733,214.52047599942316,6916,0.45447335813349,classical,6093.0,20.0
544,1023,341,1.2139725767175036,217.34794284967282,6931,0.454849529795606,classical,6093.0,20.0
552,1023,341,1.213759344862549,220.17493990936038,6955,0.455216992588143,classical,6093.0,20.0
560,1023,341,1.213551715999486,223.0014843174778,6985,0.455576320711401,classical,6093.0,20.0
568,1023,341,1.2133494429089888,225.82759232188332,7023,0.455928037001186,classical,6093.0,20.0
576,1023,341,1.2131522826978054,228.65327932078304,7068,0.456272617047446,classical,6093.0,20.0
584,1023,341,1.212956645329435,231.47855985988855,7120,0.456610437045319,classical,6093.0,20.0
592,1023,341,1.2127690206058102,234.30344771919098,7180,0.456942001635136,classical,6093.0,20.0
600,1023,341,1.2125848097234972,237.1279561298233,7248,0.457267593360169,classical,6093.0,20.0
608,1023,341,1.2124060448053815,239.95209735684026,7323,0.457587571697175,classical,6093.0,20.0
616,1023,341,1.212230757220797,242.77588327683983,7406,0.457902198919011,classical,6093.0,20.0
624,1023,341,1.2120602501952833,245.59932496420302,7497,0.458211763271116,classical,6093.0,20.0
632,1023,341,1.2118939621216265,248.4224330480369,7596,0.458516496411807,classical,6093.0,20.0
640,1023,341,1.2117284127952686,251.2452175129166,7704,0.458816558644189,classical,6093.0,20.0
648,1023,341,1.2115704706711428,254.06768775320563,7819,0.459112258851077,classical,6093.0,20.0
656,1023,341,1.2114134539645975,256.88985286999815,7945,0.459403663913065,classical,6093.0,20.0
664,1023,341,1.2112604501357747,259.7117213810214,8079,0.459690983351457,classical,6093.0,20.0
672,1023,341,1.211109868464958,262.5333013967968,8223,0.459974333906117,classical,6093.0,20.0
680,1023,341,1.2109643160795516,265.354600484103,8376,0.460253886428379,classical,6093.0,20.0
688,1023,341,1.2108198993092036,268.1756260723395,8540,0.460529692299206,classical,6093.0,20.0
696,1023,341,1.2106794312994966,270.9963849619403,8714,0.460801900614252,classical,6093.0,20.0
704,1023,341,1.2105422143798548,273.81688373154554,8898,0.461070592344336,classical,6093.0,20.0
712,1023,341,1.2104077085006844,276.6371286553314,9094,0.461335841390632,classical,6093.0,20.0
720,1023,341,1.2102756697661687,279.45712565575553,9302,0.461597717815961,classical,6093.0,20.0
728,1023,341,1.2101447848299671,282.27688046801234,9522,0.461856266515788,classical,6093.0,20.0
736,1023,341,1.2100195073290279,285.0963981255977,9754,0.462111619226907,classical,6093.0,20.0
744,1023,341,1.2098937971923625,287.915684106527,10000,0.462363730837459,classical,6093.0,20.0
752,1023,341,1.2097714267514383,290.7347430869208,10260,0.462612710248248,classical,6093.0,20.0
760,1023,341,1.2096534388538283,293.5535796202393,10532,0.462858616985453,classical,6093.0,20.0
768,1023,341,1.2095353287489208,296.3721982707036,10821,0.463101416454033,classical,6093.0,20.0
776,1023,341,1.209419950831399,299.19060320933863,11125,0.463341189498317,classical,6093.0,20.0
784,1023,341,1.2093066927274656,302.00879844177155,11445,0.463577957489605,classical,6093.0,20.0
792,1023,341,1.2091954887842506,304.8267878085968,11782,0.463811747771322,classical,6093.0,20.0
800,1023,341,1.2090851196206047,307.64457506854967,12139,0.464042566683853,classical,6093.0,20.0
808,1023,341,1.2089777173611134,310.462163590008,12513,0.464270472262897,classical,6093.0,20.0
816,1023,341,1.2088722610087979,313.2795567921591,12906,0.464495470043168,classical,6093.0,20.0
824,1023,341,1.2087687490903656,316.0967578881372,13320,0.464717580419456,classical,6093.0,20.0
832,1023,341,1.208668238528291,318.9137698423648,13753,0.464936839318926,classical,6093.0,20.0
840,1023,341,1.2085682340337403,321.7305959122681,14210,0.465153225176839,classical,6093.0,20.0
848,1023,341,1.2084699432247634,324.5472388110856,14690,0.465366774525891,classical,6093.0,20.0
856,1023,341,1.2083733282076758,327.363701284031,15194,0.465577503422834,classical,6093.0,20.0
864,1023,341,1.208277879348086,330.17998602400786,15725,0.465785420061924,classical,6093.0,20.0
872,1023,341,1.208184198803012,332.99609552728407,16283,0.465990549781024,classical,6093.0,20.0
880,1023,341,1.2080920974496434,335.81203225898366,16869,0.466192905272029,classical,6093.0,20.0
888,1023,341,1.208004006342591,338.6277983986905,17477,0.466392539738927,classical,6093.0,20.0
896,1023,341,1.2079151746672754,341.4433965762992,18121,0.466589395073003,classical,6093.0,20.0
904,1023,341,1.2078268781890527,344.2588288198429,18801,0.466783507016282,classical,6093.0,20.0
912,1023,341,1.2077407885300337,347.0740973647208,19512,0.466974917182977,classical,6093.0,20.0
920,1023,341,1.2076556023174259,349.8892042769908,20260,0.467163621760689,classical,6093.0,20.0
928,1023,341,1.2075722224736463,352.70415153587373,21044,0.467349650959426,classical,6093.0,20.0
936,1023,341,1.2074901905917577,355.5189411252522,21866,0.46753301459757,classical,6093.0,20.0
944,1023,341,1.207409434096021,358.3335749599625,22729,0.467713728787963,classical,6093.0,20.0
952,1023,341,1.2073299017696073,361.1480549012545,23636,0.467891810399712,classical,6093.0,20.0
960,1023,341,1.2072515560434949,363.962382760978,24587,0.468067276960284,classical,6093.0,20.0
968,1023,341,1.2071743672816388,366.7765603054844,25586,0.468240146584355,classical,6093.0,20.0
976,1023,341,1.2070982188134276,369.59058925999705,26635,0.468410436600012,classical,6093.0,20.0
984,1023,341,1.2070212168434613,372.40447169795686,27747,0.468578139145374,classical,6093.0,20.0
992,1023,341,1.206950492925394,375.21820818333816,28884,0.468743377284339,classical,6093.0,20.0
