d,n,k,theta,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,1023,341,1.3349806403455478,44.72723322150574,4225,0.299204713786006,dw,13,13,1547,572,65520,542058,3064,21536,676
72,1023,341,1.3334757329436178,47.31235484690271,8957,0.313765957729842,dw,15,15,1549,612,65564,543882,3064,21552,692
80,1023,341,1.3318471302521329,49.87862343068473,18350,0.326339404756243,dw,16,16,1550,632,65586,544854,3064,21560,700
88,1023,341,1.3300700293836505,52.43139815446505,36383,0.337285067615565,dw,17,17,1551,652,65608,545866,3064,21568,708
96,1023,341,1.323780225992138,54.97549284640961,65791,0.346708162312318,dw,18,18,1552,672,65630,546918,3064,21576,716
104,1023,341,1.3264959002198862,57.50825257124752,131213,0.355377003459735,dw,20,20,1554,712,65674,549142,3064,21592,732
112,1023,341,1.3247330574633323,60.032975361901435,239535,0.362923516688567,dw,21,21,1555,732,65696,550314,3064,21600,740
120,511,170,1.3378593237910292,61.58589339015249,62219,0.406816283389218,dw,23,23,789,716,32982,241274,1528,10864,642
128,511,170,1.3352860286914747,64.0965217249852,88853,0.411543287145963,dw,24,24,790,736,33004,242510,1528,10872,650
136,511,170,1.3327619021422406,66.61166712018128,124060,0.416339177895297,dw,26,26,792,776,33048,245102,1528,10888,666
144,511,170,1.3304803558576361,69.11177748715326,170173,0.419592641887421,dw,27,27,793,796,33070,246458,1528,10896,674
152,511,170,1.328327114668028,71.60721896273482,229339,0.422196339504675,dw,28,28,794,816,33092,247854,1528,10904,682
160,511,170,1.3262824285279693,74.10381414532706,304035,0.425687191899718,dw,29,29,795,836,33114,249290,1528,10912,690
168,511,170,1.3240706478006807,76.59602927760533,395088,0.428488625836837,dw,30,30,796,856,33136,250766,1528,10920,698
176,511,170,1.3224176712566424,79.0938820668209,510455,0.431097850057991,dw,32,32,798,896,33180,253838,1528,10936,714
184,511,170,1.3206723379619034,81.58144300632834,648908,0.433526333959673,dw,33,33,799,916,33202,255434,1528,10944,722
192,511,170,1.3190123815539991,84.06687651316979,815089,0.435797853394189,dw,34,34,800,936,33224,257070,1528,10952,730
200,511,170,1.3174388843123792,86.5503249991335,1012635,0.437928033394706,dw,35,35,801,956,33246,258746,1528,10960,738
208,511,170,1.315940334450769,89.03190865478497,1245118,0.439929049758684,dw,36,36,802,976,33268,260462,1528,10968,746
216,511,170,1.3136663702175604,91.51204066859853,1489230,0.441794059401441,dw,37,37,803,996,33290,262218,1528,10976,754
224,511,170,1.3130885107006107,93.9991329830243,1827684,0.443580664142525,dw,39,39,805,1036,33334,265850,1528,10992,770
232,511,170,1.3117959860296347,96.4758328722723,2187711,0.445248036517337,dw,40,40,806,1056,33356,267726,1528,11000,778
240,511,170,1.3105683830718895,98.95101301047023,2598559,0.446818002694364,dw,41,41,807,1076,33378,269642,1528,11008,786
248,511,170,1.30939529399344,101.42474150807917,3063937,0.448296058348453,dw,42,42,808,1096,33400,271598,1528,11016,794
256,511,170,1.3082763031897064,103.8970820042484,3588080,0.449687447246055,dw,43,43,809,1116,33422,273594,1528,11024,802
264,511,170,1.307209514195749,106.3680945189117,3549998,0.450997057870394,dw,44,44,810,1136,33444,275630,1528,11032,810
272,511,170,1.3061266026365883,108.84797700528863,2097730,0.452228396595363,dw,46,46,812,1176,33488,279822,1528,11048,826
280,511,170,1.3051512541275578,111.31661523834094,1204632,0.453388076312058,dw,47,47,813,1196,33510,281978,1528,11056,834
288,511,170,1.3042208784882103,113.78408552814393,1324587,0.454479302419506,dw,48,48,814,1216,33532,284174,1528,11064,842
296,511,170,1.3033293930938659,116.25043781867879,1606146,0.455506119090894,dw,49,49,815,1236,33554,286410,1528,11072,850
304,511,170,1.302473903496657,118.71572001279206,1863577,0.456472475044736,dw,50,50,816,1256,33576,288686,1528,11080,858
312,511,170,1.3016553180363966,121.1799780490135,2168778,0.457382225988145,dw,51,51,817,1276,33598,291002,1528,11088,866
320,511,170,1.3008704778535916,123.64325596448043,2531035,0.458239011218774,dw,52,52,818,1296,33620,293358,1528,11096,874
328,511,170,1.3000593634220412,126.11655210327868,2959020,0.459045525360794,dw,54,54,820,1336,33664,298190,1528,11112,890
336,511,170,1.2993361241940429,128.57808205574523,3471157,0.459806749264704,dw,55,55,821,1356,33686,300666,1528,11120,898
344,511,170,1.2986415968141696,131.03874989893822,4081425,0.460525042039235,dw,56,56,822,1376,33708,303182,1528,11128,906
352,511,170,1.2979714722392037,133.49859239752175,4809367,0.461203389234291,dw,57,57,823,1396,33730,305738,1528,11136,914
360,1023,341,1.2930519405254675,136.81780609168675,6287363,0.443382304977169,dw,57,57,1591,1452,66488,619146,3064,21888,1028
368,1023,341,1.2920862705532499,139.27144027163425,5664132,0.444215424154495,dw,58,58,1592,1472,66510,621798,3064,21896,1036
376,1023,341,1.2907837215338618,141.72616121863814,4923050,0.444999469774172,dw,59,59,1593,1492,66532,624490,3064,21904,1044
384,1023,341,1.2915830796295646,144.18141924521657,5364997,0.445777406763452,dw,61,61,1595,1532,66576,629994,3064,21920,1060
392,1023,341,1.291133970576503,146.6325920763568,5111833,0.446497120075745,dw,62,62,1596,1552,66598,632806,3064,21928,1068
400,1023,341,1.2907014000134873,149.0830881350676,4879657,0.447182360147374,dw,63,63,1597,1572,66620,635658,3064,21936,1076
408,1023,341,1.290283455413654,151.53293725618857,4665677,0.447835750540094,dw,64,64,1598,1592,66642,638550,3064,21944,1084
416,1023,341,1.2898767641286706,153.98216765555546,4466764,0.4484597080536,dw,65,65,1599,1612,66664,641482,3064,21952,1092
424,1023,341,1.289482118699748,156.43080600822216,4282118,0.449056533224246,dw,66,66,1600,1632,66686,644454,3064,21960,1100
432,1023,341,1.2884635724182916,158.879662114449,3841163,0.449619480867818,dw,67,67,1601,1652,66708,647466,3064,21968,1108
440,1023,341,1.2887084503115311,161.33273421235532,3942689,0.450176815410656,dw,69,69,1603,1692,66752,653610,3064,21984,1124
448,1023,341,1.2883491260812208,163.77979292410868,3794629,0.450704306259068,dw,70,70,1604,1712,66774,656742,3064,21992,1132
456,1023,341,1.2879994548390428,166.22635144190153,3656064,0.451212171366876,dw,71,71,1605,1732,66796,659914,3064,22000,1140
464,1023,341,1.2876601963615728,168.67242981893654,3526624,0.45170194889047,dw,72,72,1606,1752,66818,663126,3064,22008,1148
472,1023,341,1.2873341249227082,171.11804696974966,3406681,0.452175076806336,dw,73,73,1607,1772,66840,666378,3064,22016,1156
