d,n,k,theta,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,1023,341,1.4096221758879788,42.009846383418,8016,0.302051830626423,g,15,15,1549,612,65564,543882,3064,21552,692
72,1023,341,1.399538804504355,44.581381740925806,16907,0.316256840586634,g,16,16,1550,632,65586,544854,3064,21560,700
80,1023,341,1.392360470401277,47.13675124217503,34900,0.32857675929128,g,18,18,1552,672,65630,546918,3064,21576,716
88,1023,341,1.3853863616997788,49.678552361914164,69280,0.339288738453394,g,19,19,1553,692,65652,548010,3064,21584,724
96,1023,341,1.379211326892318,52.20967732770478,133470,0.348693960262394,g,20,20,1554,712,65674,549142,3064,21592,732
104,511,170,1.390133961917481,53.97140729694882,48061,0.396699785328229,g,22,22,788,696,32960,240078,1528,10856,634
112,511,170,1.3838899046749698,56.48128517963767,71748,0.402580020431055,g,24,24,790,736,33004,242510,1528,10872,650
120,511,170,1.3783035875982599,58.984416684181085,104470,0.407787186195739,g,25,25,791,756,33026,243786,1528,10880,658
128,511,170,1.373250432129873,61.48258774141048,148658,0.412428323194431,g,26,26,792,776,33048,245102,1528,10888,666
136,511,170,1.3686471977805257,63.97652091975622,207127,0.416589513160613,g,27,27,793,796,33070,246458,1528,10896,674
144,511,170,1.3644189930848973,66.46765467589822,283025,0.420340295248794,g,29,29,795,836,33114,249290,1528,10912,690
152,511,170,1.3605451455740825,68.9516384072597,380027,0.422897800915927,g,30,30,796,856,33136,250766,1528,10920,698
160,511,170,1.3569442229306057,71.43602843367078,501845,0.426052163330283,g,31,31,797,876,33158,252282,1528,10928,706
168,511,170,1.3535994651837726,73.91812194393216,652763,0.429015259825949,g,32,32,798,896,33180,253838,1528,10936,714
176,511,170,1.3504881466451066,76.39842184100816,837315,0.431656288872525,g,34,34,800,936,33224,257070,1528,10952,730
184,511,170,1.347575540015597,78.87555745613946,1060152,0.434055358192986,g,35,35,801,956,33246,258746,1528,10960,738
192,511,170,1.344847102453931,81.35079340297031,1326290,0.436300023324962,g,36,36,802,976,33268,260462,1528,10968,746
200,511,170,1.3422853470390588,83.824240029181,1640872,0.438405190171061,g,37,37,803,996,33290,262218,1528,10976,754
208,511,170,1.3398733427768101,86.29598672575254,2009108,0.440382718106997,g,38,38,804,1016,33312,264014,1528,10984,762
216,511,170,1.3375997363316223,88.7661077769064,2436412,0.442242333309091,g,39,39,805,1036,33334,265850,1528,10992,770
224,511,170,1.3354455924573039,91.23554276178199,2927774,0.443992014440938,g,41,41,807,1076,33378,269642,1528,11008,786
232,511,170,1.333419113780874,93.70259577006064,3489683,0.445639052020548,g,42,42,808,1096,33400,271598,1528,11016,794
240,511,170,1.3315003503392926,96.16819383311778,4127480,0.447189416519701,g,43,43,809,1116,33422,273594,1528,11024,802
248,511,170,1.3296813362390643,98.63238461946361,4845944,0.448648694919852,g,44,44,810,1136,33444,275630,1528,11032,810
256,511,170,1.3279565225978978,101.09521355098518,5650744,0.450022083828096,g,45,45,811,1156,33466,277706,1528,11040,818
264,511,170,1.3263169238552919,103.55672455943596,6546792,0.451314404738667,g,46,46,812,1176,33488,279822,1528,11048,826
272,511,170,1.3247548686291835,106.01783464610101,7538812,0.452530256342551,g,48,48,814,1216,33532,284174,1528,11064,842
280,511,170,1.3232711951776748,108.4768374141198,8632875,0.45367416604656,g,49,49,815,1236,33554,286410,1528,11072,850
288,511,170,1.3218621279155827,110.93464887120257,4190139,0.454750408600423,g,50,50,816,1256,33576,288686,1528,11080,858
296,511,170,1.3205174019043258,113.39130998806877,2344000,0.455763002014451,g,51,51,817,1276,33598,291002,1528,11088,866
304,511,170,1.3192325409894674,115.84686110951503,2635618,0.45671589606215,g,52,52,818,1296,33620,293358,1528,11096,874
312,511,170,1.3180085315635093,118.30134188547434,2977630,0.457612957732224,g,53,53,819,1316,33642,295754,1528,11104,882
320,511,170,1.31683311509565,120.75566179922052,3378336,0.458457714471485,g,55,55,821,1356,33686,300666,1528,11120,898
328,511,170,1.315713329070788,123.20811709757184,3848989,0.459253790338963,g,56,56,822,1376,33708,303182,1528,11128,906
336,511,170,1.314641784551155,125.65961600678207,4401949,0.460004451304417,g,57,57,823,1396,33730,305738,1528,11136,914
