d,n,k,theta,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,4095,1365,1.1484287045533994,55.43141641247316,780,0.196841126302927,ge19,7,7,6149,578,261978,2903748,12280,86000,892
72,2047,682,1.1744238219569256,56.98709052936562,1832,0.264670719691644,ge19,9,9,3079,552,130958,1258218,6136,43008,770
80,2047,682,1.1826877602473802,59.55417799610838,4081,0.279648559595984,ge19,10,10,3080,572,130980,1259010,6136,43016,778
88,2047,682,1.17785207899733,62.13193049416855,7064,0.291865743388232,ge19,10,10,3080,572,130980,1259010,6136,43016,778
96,1023,341,1.2075640067362694,63.81653371990971,9558,0.340359507138042,ge19,13,13,1547,572,65520,542058,3064,21536,676
104,1023,341,1.2105304173385911,66.54745931099549,17071,0.349347094847994,ge19,14,14,1548,592,65542,542950,3064,21544,684
112,1023,341,1.193988699141712,69.02868312958799,19711,0.356038667952453,ge19,14,14,1548,592,65542,542950,3064,21544,684
120,1023,341,1.2127262954365485,71.60340126541087,48263,0.364327585745962,ge19,16,16,1550,632,65586,544854,3064,21560,700
128,1023,341,1.2198501015586336,74.29105848856142,91392,0.371220911668979,ge19,17,17,1551,652,65608,545866,3064,21568,708
136,1023,341,1.220532774375814,76.96937805908664,147560,0.376695394911479,ge19,18,18,1552,672,65630,546918,3064,21576,716
144,1023,341,1.225220312743515,79.47339738509825,260039,0.381872536904792,ge19,20,20,1554,712,65674,549142,3064,21592,732
152,1023,341,1.2202828257818765,81.98845528956167,430602,0.386133868731004,ge19,20,20,1554,712,65674,549142,3064,21592,732
160,1023,341,1.2287486833913983,84.62537882373813,832136,0.390710441721389,ge19,22,22,1556,752,65718,551526,3064,21608,748
168,1023,341,1.223172140548358,87.14177741908638,506781,0.394300101058193,ge19,23,23,1557,772,65740,552778,3064,21616,756
176,1023,341,1.2316231195828709,89.75412202412448,1060400,0.398290675755259,ge19,24,24,1558,792,65762,554070,3064,21624,764
184,1023,341,1.2323747914915504,92.38146523193515,1400615,0.401688473575128,ge19,25,25,1559,812,65784,555402,3064,21632,772
192,1023,341,1.233846960765158,94.86308728336316,1929454,0.40491263202751,ge19,26,26,1560,832,65806,556774,3064,21640,780
200,1023,341,1.2338409610673453,97.47828767028894,2435045,0.40788698863968,ge19,27,27,1561,852,65828,558186,3064,21648,788
208,1023,341,1.2360110486152873,99.95844425147097,3484205,0.410782380426051,ge19,29,29,1563,892,65872,561130,3064,21664,804
216,1023,341,1.2296834016664384,102.47380012873774,3097836,0.413167946996686,ge19,29,29,1563,892,65872,561130,3064,21664,804
224,1023,341,1.2377434549663169,105.0352022566503,6112929,0.415996574914337,ge19,31,31,1565,932,65916,564234,3064,21680,820
232,1023,341,1.238165981857238,107.62928478730922,7889757,0.418372178468782,ge19,32,32,1566,952,65938,565846,3064,21688,828
240,1023,341,1.2392466290362907,110.09842184994957,10552006,0.420640670671524,ge19,33,33,1567,972,65960,567498,3064,21696,836
248,2047,682,1.2336715881291818,113.73967276093974,75718801,0.408758248959607,ge19,33,33,3103,1032,131486,1288266,6136,43200,962
256,2047,682,1.2319974602867314,116.21224735789094,57872610,0.411358588293525,ge19,34,34,3104,1052,131508,1290018,6136,43208,970
264,2047,682,1.235260561012804,118.78366840951583,97032157,0.414053859543484,ge19,36,36,3106,1092,131552,1293642,6136,43224,986
272,2047,682,1.235727241069062,121.35422302356498,104310610,0.416468787233785,ge19,37,37,3107,1112,131574,1295514,6136,43232,994
280,2047,682,1.2366867100000163,123.81503530316746,121595777,0.418770989021028,ge19,38,38,3108,1132,131596,1297426,6136,43240,1002
288,2047,682,1.237098508818384,126.37847978868692,129717081,0.420920004891404,ge19,39,39,3109,1152,131618,1299378,6136,43248,1010
296,2047,682,1.2379624355607999,128.83656858574966,149175991,0.422967005041749,ge19,40,40,3110,1172,131640,1301370,6136,43256,1018
304,2047,682,1.2356991982596186,131.30600661680424,102623299,0.424770632473093,ge19,41,41,3111,1192,131662,1303402,6136,43264,1026
312,2047,682,1.2391177821391233,133.84912472596213,179907175,0.426698371632988,ge19,42,42,3112,1212,131684,1305474,6136,43272,1034
320,2047,682,1.2394448909506441,136.40007388792662,189627402,0.428398670716019,ge19,43,43,3113,1232,131706,1307586,6136,43280,1042
328,2047,682,1.2401571564753955,138.85347557274125,213326670,0.43001815153356,ge19,44,44,3114,1252,131728,1309738,6136,43288,1050
336,2047,682,1.2404490493207123,141.40121937563094,223697682,0.431532916547665,ge19,46,46,3116,1292,131772,1314162,6136,43304,1066
344,2047,682,1.2399115867036556,143.85256242202365,203954598,0.432936230268564,ge19,46,46,3116,1292,131772,1314162,6136,43304,1066
352,2047,682,1.2385675339654032,146.31907604184175,162508402,0.434236773316887,ge19,47,47,3117,1312,131794,1316434,6136,43312,1074
360,2047,682,1.2419774935963033,148.84267981534757,288769957,0.435621747431038,ge19,49,49,3119,1352,131838,1321098,6136,43328,1090
368,2047,682,1.2422216001155537,151.37842611200952,300716929,0.436834423434016,ge19,50,50,3120,1372,131860,1323490,6136,43336,1098
376,2047,682,1.2427780814354144,153.82639527618383,330493127,0.437994123051423,ge19,51,51,3121,1392,131882,1325922,6136,43344,1106
384,2047,682,1.2401448966417525,156.2955561630489,210608251,0.439002255854261,ge19,52,52,3122,1412,131904,1328394,6136,43352,1114
392,2047,682,1.2435174831009388,158.80430183729715,374722846,0.440132064740531,ge19,53,53,3123,1432,131926,1330906,6136,43360,1122
400,2047,682,1.243722623069424,161.3317199390512,387939630,0.441119796266731,ge19,54,54,3124,1452,131948,1333458,6136,43368,1130
408,2047,682,1.2440299717033794,163.78030321413053,408864494,0.442064378052256,ge19,55,55,3125,1472,131970,1336050,6136,43376,1138
416,2047,682,1.241521381820924,166.25026915935274,265089253,0.442892954039564,ge19,56,56,3126,1492,131992,1338682,6136,43384,1146
424,2047,682,1.2448216293376806,168.75044892687976,468661905,0.443833571038058,ge19,58,58,3128,1532,132036,1344066,6136,43400,1162
432,2047,682,1.2449960550335222,171.2706039982201,482883676,0.444656577947491,ge19,59,59,3129,1552,132058,1346818,6136,43408,1170
440,2047,682,1.2454106802228522,173.7132932667932,518957677,0.445451983684217,ge19,60,60,3130,1572,132080,1349610,6136,43416,1178
448,2047,682,1.2427328605884467,176.18161241723863,325511319,0.446142992429848,ge19,60,60,3130,1572,132080,1349610,6136,43416,1178
456,2047,682,1.2459592550190672,178.67176829637683,570912935,0.446945529988224,ge19,62,62,3132,1612,132124,1355314,6136,43432,1194
464,2047,682,1.2432807941822646,181.14345422127113,357484086,0.447584356095081,ge19,63,63,3133,1632,132146,1358226,6136,43440,1202
472,2047,682,1.2464725033928568,183.62618467987826,624476311,0.448332760595913,ge19,64,64,3134,1652,132168,1361178,6136,43448,1210
480,2047,682,1.2466118899328138,186.1370918092219,639830360,0.448989212154869,ge19,65,65,3135,1672,132190,1364170,6136,43456,1218
488,2047,682,1.2467274090024356,188.57697635323478,652835128,0.449624482034442,ge19,66,66,3136,1692,132212,1367202,6136,43464,1226
496,2047,682,1.2470758406570213,191.08808258962648,694157941,0.450245603399059,ge19,68,68,3138,1732,132256,1373386,6136,43480,1242
504,2047,682,1.2473975015756353,193.52702563077221,734708200,0.450848355192113,ge19,69,69,3139,1752,132278,1376538,6136,43488,1250
512,2047,682,1.2475182783627408,196.03273584042802,750469283,0.451430465441348,ge19,70,70,3140,1772,132300,1379730,6136,43496,1258
520,2047,682,1.2478220924827996,198.47092514831746,791939874,0.452001139463406,ge19,71,71,3141,1792,132322,1382962,6136,43504,1266
528,2047,682,1.2479365095759405,200.97425486414713,808086008,0.452553785117536,ge19,72,72,3142,1812,132344,1386234,6136,43512,1274
536,2047,682,1.248223448583607,203.411752083887,850315085,0.453096783744278,ge19,73,73,3143,1832,132366,1389546,6136,43520,1282
544,2047,682,1.2483309931868727,205.91283989084025,866654994,0.453623919759498,ge19,74,74,3144,1852,132388,1392898,6136,43528,1290
552,2047,682,1.2486030275918165,208.34970042028843,909645656,0.454142908847766,ge19,75,75,3145,1872,132410,1396290,6136,43536,1298
560,2047,682,1.248703548165341,210.84867329325454,926022780,0.454647806649022,ge19,76,76,3146,1892,132432,1399722,6136,43544,1306
