d,n,k,theta,log_cost,pf_inv,eta,metric,gates,depth
64,255,85,1.5707914659769229,36.32930997556043,1598,0.369089236545,naive_classical,1,1
72,255,85,1.5707921779224943,39.03419528863045,2496,0.37877013505857,naive_classical,1,1
80,255,85,1.534883984646033,42.07502206406624,3388,0.38650979302127,naive_classical,1,1
88,255,85,1.4833040505809525,45.12154102632458,3984,0.392792701369874,naive_classical,1,1
96,255,85,1.448464969359502,48.13512662187199,4590,0.398217344739905,naive_classical,1,1
104,255,85,1.4224057795167642,51.12526202173045,5195,0.402940462537685,naive_classical,1,1
112,255,85,1.4018619402725865,54.097247609677794,5797,0.407087369564071,naive_classical,1,1
120,255,85,1.3851123273757946,57.05454296357912,6390,0.410756359567459,naive_classical,1,1
128,255,85,1.371119760756258,59.99960300990926,6972,0.414024905319711,naive_classical,1,1
136,255,85,1.3592190684624528,62.934263869633575,7541,0.416954919721084,naive_classical,1,1
144,255,85,1.3489528849154369,65.85994960148987,8095,0.419596283782669,naive_classical,1,1
152,255,85,1.3400031604051743,68.77484001109107,8635,0.42129343852459,naive_classical,1,1
160,255,85,1.3320958794960507,71.68606166596425,9156,0.42354357503396,naive_classical,1,1
168,255,85,1.3250662013286096,74.59189136366825,9660,0.425784776923419,naive_classical,1,1
176,255,85,1.3187691344479295,77.49104447694438,10146,0.427589473483297,naive_classical,1,1
184,255,85,1.3130938025884822,80.38531792723913,10616,0.429271744832184,naive_classical,1,1
192,255,85,1.3079496536361626,83.27516625713426,11068,0.43084571133398,naive_classical,1,1
200,255,85,1.303262325250893,86.1609778938013,11504,0.432322451403998,naive_classical,1,1
208,255,85,1.2989711502498067,89.04308782241681,11923,0.43371077833073,naive_classical,1,1
216,255,85,1.2950285065806693,91.92178745948137,12326,0.435017859755876,naive_classical,1,1
224,255,85,1.291393447199317,94.7973324124744,13531,0.436249597135267,naive_classical,1,1
232,255,85,1.288028894647159,97.66994863757903,13087,0.437410943676191,naive_classical,1,1
240,255,85,1.2849044432698251,100.53983727377745,13446,0.438506217461652,naive_classical,1,1
248,255,85,1.281998024424598,103.40717856389593,13791,0.439539322637809,naive_classical,1,1
256,255,85,1.2792817063629152,106.27213495719458,14123,0.440513675340099,naive_classical,1,1
264,511,170,1.276641281346897,109.17459588328279,477155,0.450415059567964,naive_classical,1,1
272,511,170,1.274258169338565,112.03685031708393,555624,0.451634532175465,naive_classical,1,1
280,511,170,1.2720206389488273,114.89703736941115,652917,0.452784731764825,naive_classical,1,1
288,511,170,1.269909731469291,117.75527359429485,773520,0.453869396823888,naive_classical,1,1
296,511,170,1.2679213693864675,120.61166662522288,1770,0.454892395989177,naive_classical,1,1
304,511,170,1.2660422788021892,123.4663161338164,1609,0.455857262393872,naive_classical,1,1
312,511,170,1.2642628786629444,126.31931462496728,1470,0.456767456329208,naive_classical,1,1
320,511,170,1.2625764745952233,129.17074811425653,1351,0.45762634695163,naive_classical,1,1
328,511,170,1.2609760002530166,132.02069675462658,1248,0.458437150894181,naive_classical,1,1
336,511,170,1.2594545492987348,134.86923534388785,1157,0.459202942398604,naive_classical,1,1
