d,n,k,theta,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,1023,341,1.5707902931729854,35.56771217010353,18171,0.305567164448566,naive_quantum,1,1,1,1,1,1,1,1,1
72,1023,341,1.5707907100015719,37.50885226434987,44390,0.319894258642537,naive_quantum,1,1,1,1,1,1,1,1,1
80,511,170,1.570790987257669,39.519406804895084,27273,0.375959319125318,naive_quantum,1,1,1,1,1,1,1,1,1
88,511,170,1.570790757113244,41.40724713172368,50320,0.38487059814569,naive_quantum,1,1,1,1,1,1,1,1,1
96,511,170,1.570792483360993,43.27805061140837,89655,0.392549875200605,naive_quantum,1,1,1,1,1,1,1,1,1
104,511,170,1.5707911307601912,45.13716041913787,154728,0.399230031919671,naive_quantum,1,1,1,1,1,1,1,1,1
112,511,170,1.5707896650074005,46.990442239004274,259356,0.405089882523038,naive_quantum,1,1,1,1,1,1,1,1,1
120,511,170,1.570791527930548,48.84538696012654,423245,0.410268725324752,naive_quantum,1,1,1,1,1,1,1,1,1
128,511,170,1.5707904732580775,50.712498430458666,673842,0.414876477183348,naive_quantum,1,1,1,1,1,1,1,1,1
136,511,170,1.570789750361139,52.606185606891096,1048612,0.419001019610788,naive_quantum,1,1,1,1,1,1,1,1,1
144,511,170,1.570792471366829,54.54546989336971,1597710,0.422713345724733,naive_quantum,1,1,1,1,1,1,1,1,1
152,511,170,1.570791933257863,56.55255301561234,2387011,0.426071337626931,naive_quantum,1,1,1,1,1,1,1,1,1
160,511,170,1.5707910198450596,58.64753044993873,3501729,0.429122701849519,naive_quantum,1,1,1,1,1,1,1,1,1
168,511,170,1.5707912739501684,60.84134997409384,5050366,0.431907027155289,naive_quantum,1,1,1,1,1,1,1,1,1
176,511,170,1.5707925155308167,63.131008320377774,7169094,0.434457511337391,naive_quantum,1,1,1,1,1,1,1,1,1
184,511,170,1.5707901303110172,65.50133869425274,10026432,0.43680203944729,naive_quantum,1,1,1,1,1,1,1,1,1
192,511,170,1.562330139646883,67.92964095326434,13418889,0.43893449353054,naive_quantum,1,1,1,1,1,1,1,1,1
200,511,170,1.539256105953615,70.36780403905453,16495006,0.44084471381421,naive_quantum,1,1,1,1,1,1,1,1,1
208,511,170,1.5213662253284825,72.80421636370266,20019471,0.44262316226831,naive_quantum,1,1,1,1,1,1,1,1,1
216,511,170,1.5066267774652542,75.23942857631728,24016288,0.444117299575482,naive_quantum,1,1,1,1,1,1,1,1,1
224,511,170,1.4940588623443773,77.67573260969563,28507884,0.445776052853981,naive_quantum,1,1,1,1,1,1,1,1,1
232,511,170,1.4830991838797447,80.11250821983518,33513663,0.447335962771206,naive_quantum,1,1,1,1,1,1,1,1,1
240,511,170,1.4733861057086552,82.54997830529044,39049000,0.448802753096811,naive_quantum,1,1,1,1,1,1,1,1,1
248,511,170,1.4646679243189047,84.98826136123569,45123465,0.450181741345855,naive_quantum,1,1,1,1,1,1,1,1,1
256,511,170,1.4567670057039717,87.42740380474179,51743849,0.451477983454294,naive_quantum,1,1,1,1,1,1,1,1,1
264,511,170,1.4495529712929462,89.86740115550884,58914853,0.45269631827193,naive_quantum,1,1,1,1,1,1,1,1,1
272,511,170,1.4429160405101806,92.3082129239813,66629947,0.453841312532845,naive_quantum,1,1,1,1,1,1,1,1,1
280,511,170,1.4367811985443093,94.74977360889407,74888175,0.454917451613856,naive_quantum,1,1,1,1,1,1,1,1,1
288,511,170,1.4310851023142122,97.19200107769764,83683620,0.455929022589135,naive_quantum,1,1,1,1,1,1,1,1,1
296,511,170,1.4257702050096095,99.63480307475106,92999728,0.456880101258579,naive_quantum,1,1,1,1,1,1,1,1,1
304,511,170,1.4207986072216345,102.07808228795456,102830814,0.457774675964707,naive_quantum,1,1,1,1,1,1,1,1,1
312,511,170,1.416130204371197,104.52174027355443,113156366,0.45861649551057,naive_quantum,1,1,1,1,1,1,1,1,1
320,511,170,1.411735791984804,106.96568045689342,123961934,0.459409175164361,naive_quantum,1,1,1,1,1,1,1,1,1
328,511,170,1.407591834506097,109.4098103533599,135236044,0.460156162332296,naive_quantum,1,1,1,1,1,1,1,1,1
336,511,170,1.4036744165582595,111.85404314291328,146958354,0.460860696616097,naive_quantum,1,1,1,1,1,1,1,1,1
344,511,170,1.3999654012365117,114.2982987234758,159114858,0.461525859580778,naive_quantum,1,1,1,1,1,1,1,1,1
352,511,170,1.396447224057499,116.74250432253132,171686716,0.462154541552518,naive_quantum,1,1,1,1,1,1,1,1,1
360,511,170,1.393107693553175,119.18659476569671,184928882,0.462749481104092,naive_quantum,1,1,1,1,1,1,1,1,1
368,511,170,1.389929216759502,121.6305124728639,198317575,0.463313195337634,naive_quantum,1,1,1,1,1,1,1,1,1
376,511,170,1.3869072618059757,124.07420724981826,212027315,0.463848114945865,naive_quantum,1,1,1,1,1,1,1,1,1
384,511,170,1.3840221614076116,126.51763593115209,225998905,0.46435639701318,naive_quantum,1,1,1,1,1,1,1,1,1
392,511,170,1.3812727314058246,128.96076192915507,240267002,0.464840162234209,naive_quantum,1,1,1,1,1,1,1,1,1
400,511,170,1.3786447041958905,131.4035547112413,194578775,0.465301288699223,naive_quantum,1,1,1,1,1,1,1,1,1
408,511,170,1.3761342487651522,133.84598924842157,100924141,0.465741577724228,naive_quantum,1,1,1,1,1,1,1,1,1
416,511,170,1.3737321060934877,136.2880454686416,52346256,0.466162656539386,naive_quantum,1,1,1,1,1,1,1,1,1
424,511,170,1.3714311579410423,138.72970770446616,54779168,0.466566036474528,naive_quantum,1,1,1,1,1,1,1,1,1
432,511,170,1.3692257656503108,141.1709641754236,57795332,0.466953116135047,naive_quantum,1,1,1,1,1,1,1,1,1
440,511,170,1.367111379287554,143.61180649592973,61444555,0.467325186403457,naive_quantum,1,1,1,1,1,1,1,1,1
448,511,170,1.3650817127556034,146.05222922729965,65789159,0.467683420292333,naive_quantum,1,1,1,1,1,1,1,1,1
456,511,170,1.363133186699943,148.49222946242656,70910567,0.468028908046639,naive_quantum,1,1,1,1,1,1,1,1,1
464,511,170,1.3612577493817692,150.93180644610587,76902630,0.468362619620547,naive_quantum,1,1,1,1,1,1,1,1,1
472,511,170,1.3594532101636296,153.37096126120537,83886070,0.46868547509256,naive_quantum,1,1,1,1,1,1,1,1,1
480,511,170,1.3577191944432692,155.80969650083733,92006409,0.468998325521584,naive_quantum,1,1,1,1,1,1,1,1,1
488,511,170,1.3560461316878187,158.24801604783772,101425706,0.469301892184184,naive_quantum,1,1,1,1,1,1,1,1,1
496,511,170,1.3544361048622182,160.68592480602945,112349824,0.469596898973383,naive_quantum,1,1,1,1,1,1,1,1,1
504,511,170,1.3528798961344255,163.12342853791023,125009572,0.469883938434059,naive_quantum,1,1,1,1,1,1,1,1,1
512,511,170,1.3513811595246348,165.56053365304751,139691511,0.470163622871343,naive_quantum,1,1,1,1,1,1,1,1,1
520,1023,341,1.350007306784755,167.93825685783582,3987154611802,0.455380272026836,naive_quantum,1,1,1,1,1,1,1,1,1
528,1023,341,1.3486058829308532,170.37496792497328,4704556486,0.455753086107948,naive_quantum,1,1,1,1,1,1,1,1,1
536,1023,341,1.3472516158782613,172.8112949415288,3946717358,0.456117744941992,naive_quantum,1,1,1,1,1,1,1,1,1
544,1023,341,1.3459395773254743,175.24724617379846,3331413650,0.456474752394218,naive_quantum,1,1,1,1,1,1,1,1,1
552,1023,341,1.344671019745969,177.68282997533387,2829684099,0.456824613031144,naive_quantum,1,1,1,1,1,1,1,1,1
560,1023,341,1.343443858114099,180.11805471394615,2417799485,0.457167756340037,naive_quantum,1,1,1,1,1,1,1,1,1
568,1023,341,1.342253540791776,182.5529287140184,2076814407,0.457504547929864,naive_quantum,1,1,1,1,1,1,1,1,1
576,1023,341,1.3410984951912266,184.98746023158387,1792920792,0.457835339360348,naive_quantum,1,1,1,1,1,1,1,1,1
584,1023,341,1.3399808189058733,187.421657364619,1555984001,0.45816047781342,naive_quantum,1,1,1,1,1,1,1,1,1
592,1023,341,1.338894898246078,189.85552828323281,1356440975,0.458480212281916,naive_quantum,1,1,1,1,1,1,1,1,1
600,1023,341,1.3378411189836394,192.28908075000666,1187823606,0.458794813316699,naive_quantum,1,1,1,1,1,1,1,1,1
608,1023,341,1.336815427162159,194.72232243913595,1044288125,0.459104486539873,naive_quantum,1,1,1,1,1,1,1,1,1
616,1023,341,1.3358209247222521,197.15526086551466,922061241,0.459409474796801,naive_quantum,1,1,1,1,1,1,1,1,1
624,1023,341,1.3348545960501088,199.58790333216513,817318405,0.459709946285664,naive_quantum,1,1,1,1,1,1,1,1,1
632,1023,341,1.3339155268479834,202.02025695435754,727196367,0.460006067333363,naive_quantum,1,1,1,1,1,1,1,1,1
640,1023,341,1.3329992368748718,204.45232863866545,649063202,0.460297955123212,naive_quantum,1,1,1,1,1,1,1,1,1
648,1023,341,1.332109924416018,206.88412509361638,581449159,0.460585786228976,naive_quantum,1,1,1,1,1,1,1,1,1
656,1023,341,1.3312450700517697,209.3156528376361,522611532,0.46086966412762,naive_quantum,1,1,1,1,1,1,1,1,1
664,1023,341,1.3303992885223863,211.74691816512478,470967151,0.461149653713009,naive_quantum,1,1,1,1,1,1,1,1,1
672,1023,341,1.3295777380570348,214.17792719683735,425807132,0.461425900804262,naive_quantum,1,1,1,1,1,1,1,1,1
680,1023,341,1.3287752752081199,216.60868586094253,385978210,0.461698449969603,naive_quantum,1,1,1,1,1,1,1,1,1
688,1023,341,1.327995181880393,219.0391998626164,350918423,0.461967410778461,naive_quantum,1,1,1,1,1,1,1,1,1
696,1023,341,1.327234609399359,221.46947477297408,319877532,0.462232830165945,naive_quantum,1,1,1,1,1,1,1,1,1
704,1023,341,1.3264893121255559,223.89951595427746,292189240,0.462494734963497,naive_quantum,1,1,1,1,1,1,1,1,1
712,1023,341,1.32576471377551,226.32932858792043,267625170,0.462753231559841,naive_quantum,1,1,1,1,1,1,1,1,1
720,1023,341,1.3250461429933773,228.75537799879427,245354939,0.463008241037215,naive_quantum,1,1,1,1,1,1,1,1,1
728,1023,341,1.324356794450418,231.18435977777125,225776817,0.463260018001007,naive_quantum,1,1,1,1,1,1,1,1,1
736,1023,341,1.3236799583837497,233.6131375963648,208112311,0.463508455614694,naive_quantum,1,1,1,1,1,1,1,1,1
744,1023,341,1.3230219765033742,236.041717288555,192298641,0.463753649468309,naive_quantum,1,1,1,1,1,1,1,1,1
752,1023,341,1.322376407671809,238.47010447093643,177980919,0.463995577091243,naive_quantum,1,1,1,1,1,1,1,1,1
760,1023,341,1.3217481007826473,240.8983044891771,165096170,0.464234314454813,naive_quantum,1,1,1,1,1,1,1,1,1
768,1023,341,1.3211320084575673,243.3263224799623,153391034,0.464469846121451,naive_quantum,1,1,1,1,1,1,1,1,1
776,1023,341,1.3205287337341056,245.75416334839602,142754471,0.464702205314831,naive_quantum,1,1,1,1,1,1,1,1,1
784,1023,341,1.3199402495331456,248.18183179149653,133107971,0.46493143580211,naive_quantum,1,1,1,1,1,1,1,1,1
792,1023,341,1.3193615594770747,250.60933229060765,124274305,0.465157517270966,naive_quantum,1,1,1,1,1,1,1,1,1
800,1023,341,1.3187970662214574,253.03666912537344,116237144,0.46538051265178,naive_quantum,1,1,1,1,1,1,1,1,1
808,1023,341,1.3182457622566028,255.46384639199573,108902805,0.465600435297927,naive_quantum,1,1,1,1,1,1,1,1,1
816,1023,341,1.3177051151963897,257.89086801425447,102171643,0.465817284208386,naive_quantum,1,1,1,1,1,1,1,1,1
824,1023,341,1.317173246945006,260.31773770020055,95966564,0.466031063813496,naive_quantum,1,1,1,1,1,1,1,1,1
832,1023,341,1.3166552759402719,262.7444590460622,90295596,0.466241840630356,naive_quantum,1,1,1,1,1,1,1,1,1
