d,n,k,theta,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
64,1023,341,1.4594467609916557,40.601428477134,11169,0.303468621561151,t_count,16,16,1550,632,65586,544854,3064,21560,700
72,1023,341,1.4436344693320413,43.16738312386658,23735,0.317532332955685,t_count,17,17,1551,652,65608,545866,3064,21568,708
80,1023,341,1.4305619622758408,45.7172137919415,48670,0.329685873616388,t_count,19,19,1553,692,65652,548010,3064,21584,724
88,1023,341,1.419575217089632,48.253460588690324,96633,0.340280319104166,t_count,20,20,1554,712,65674,549142,3064,21592,732
96,511,170,1.4304707532513985,50.03512863011154,41929,0.390715104684434,t_count,22,22,788,696,32960,240078,1528,10856,634
104,511,170,1.4203269271091348,52.5458380705925,64211,0.397329835100474,t_count,23,23,789,716,32982,241274,1528,10864,642
112,511,170,1.4114963333404382,55.05062625875012,95639,0.403146972845387,t_count,25,25,791,756,33026,243786,1528,10880,658
120,511,170,1.403744865574263,57.548853135351884,138936,0.408300517365318,t_count,26,26,792,776,33048,245102,1528,10888,666
128,511,170,1.3968534903359122,60.04242119781684,197251,0.412895687199218,t_count,27,27,793,796,33070,246458,1528,10896,674
136,511,170,1.3906670303166595,62.53207625876235,274196,0.417017138034259,t_count,28,28,794,816,33092,247854,1528,10904,682
144,511,170,1.3850548601810893,65.01935156161271,373768,0.420733187565701,t_count,30,30,796,856,33136,250766,1528,10920,698
152,511,170,1.3799589538481916,67.50279433683018,500595,0.424100597407694,t_count,31,31,797,876,33158,252282,1528,10928,706
160,511,170,1.3752924932275168,69.98370850418088,659540,0.427165384935761,t_count,32,32,798,896,33180,253838,1528,10936,714
168,511,170,1.370989530177944,72.46010634407084,855773,0.429350625677647,t_count,33,33,799,916,33202,255434,1528,10944,722
176,511,170,1.3664856185728302,74.93689543454818,1085909,0.431939380316549,t_count,34,34,800,936,33224,257070,1528,10952,730
184,511,170,1.363317156490376,77.41260660680292,1382780,0.434331684037393,t_count,36,36,802,976,33268,260462,1528,10968,746
192,511,170,1.3598767281872164,79.88580320349669,1725404,0.436561981354459,t_count,37,37,803,996,33290,262218,1528,10976,754
200,511,170,1.3566608223089924,82.35746526612675,2128897,0.438653738858777,t_count,38,38,804,1016,33312,264014,1528,10984,762
208,511,170,1.3536476398891888,84.82766127500476,2599535,0.440618655792834,t_count,39,39,805,1036,33334,265850,1528,10992,770
216,511,170,1.3508188324851016,87.2964447002354,3143671,0.442466300952505,t_count,40,40,806,1056,33356,267726,1528,11000,778
224,511,170,1.3481496217198723,89.76482121689396,3767047,0.444204557436117,t_count,42,42,808,1096,33400,271598,1528,11016,794
232,511,170,1.3456427935480357,92.23090283840635,4477104,0.445840619241971,t_count,43,43,809,1116,33422,273594,1528,11024,802
240,511,170,1.3432764268040323,94.69568439044086,5279524,0.447380464313307,t_count,44,44,810,1136,33444,275630,1528,11032,810
248,511,170,1.3410386277062638,97.15919636597428,6180334,0.448829649943698,t_count,45,45,811,1156,33466,277706,1528,11040,818
256,511,170,1.3389224218560316,99.62146830849753,7187039,0.450193383879747,t_count,46,46,812,1176,33488,279822,1528,11048,826
264,511,170,1.3367875692254247,102.0825386846701,8279651,0.451474573905899,t_count,47,47,813,1196,33510,281978,1528,11056,834
272,511,170,1.335009786687867,104.54337091196962,9534214,0.452683543991802,t_count,49,49,815,1236,33554,286410,1528,11072,850
280,511,170,1.333200521201558,107.00210020202138,10886413,0.453819063449776,t_count,50,50,816,1256,33576,288686,1528,11080,858
288,511,170,1.3314836584668601,109.45970962244577,12365610,0.454887327160101,t_count,51,51,817,1276,33598,291002,1528,11088,866
296,511,170,1.3298491334491758,111.91623059989952,11578756,0.455892379157623,t_count,52,52,818,1296,33620,293358,1528,11096,874
304,511,170,1.3282909760494772,114.37169500969208,6547561,0.456838161677116,t_count,53,53,819,1316,33642,295754,1528,11104,882
312,511,170,1.326805910106571,116.826135020885,3631463,0.457728491472971,t_count,54,54,820,1336,33664,298190,1528,11112,890
320,511,170,1.3253831768334101,119.28054010398341,4049814,0.458566927230234,t_count,56,56,822,1376,33708,303182,1528,11128,906
328,511,170,1.3240296167647445,121.73302748569422,4539995,0.459357084386082,t_count,57,57,823,1396,33730,305738,1528,11136,914
336,511,170,1.3227370833759673,124.18458695355858,5113819,0.460102219385932,t_count,58,58,824,1416,33752,308334,1528,11144,922
344,511,170,1.3214997924924115,126.63525014737465,5785587,0.460805452500184,t_count,59,59,825,1436,33774,310970,1528,11152,930
352,511,170,1.3203128677146116,129.0850481063339,6572419,0.461469747366531,t_count,60,60,826,1456,33796,313646,1528,11160,938
360,511,170,1.3191774908881457,131.53401136016853,7495411,0.462097966401496,t_count,61,61,827,1476,33818,316362,1528,11168,946
368,511,170,1.318086928018579,133.98216961991682,8578750,0.4626927161276,t_count,62,62,828,1496,33840,319118,1528,11176,954
376,511,170,1.3166126076840443,136.42977524274846,9798012,0.463252080128003,t_count,63,63,829,1516,33862,321914,1528,11184,962
384,511,170,1.3160316019360885,138.8771370702741,11349921,0.4637916231449,t_count,65,65,831,1556,33906,327626,1528,11200,978
392,511,170,1.3150659471804274,141.32304963448945,13115373,0.464300325343995,t_count,66,66,832,1576,33928,330542,1528,11208,986
400,1023,341,1.3101670573203368,144.59572909517834,42477354,0.447462746369063,t_count,66,66,1600,1632,66686,644454,3064,21960,1100
408,1023,341,1.309361225997536,147.04038735289444,38723891,0.448104304544,t_count,67,67,1601,1652,66708,647466,3064,21968,1108
416,1023,341,1.3081590420804559,149.4846573129521,33747616,0.448711798326743,t_count,68,68,1602,1672,66730,650518,3064,21976,1116
424,1023,341,1.307830864817716,151.92819722475735,32507131,0.449304068652182,t_count,70,70,1604,1712,66774,656742,3064,21992,1132
432,1023,341,1.3071094562424435,154.370914660949,29942626,0.449866617279094,t_count,71,71,1605,1732,66796,659914,3064,22000,1140
440,1023,341,1.3064099976445314,156.81303369047544,27654845,0.450406781710393,t_count,72,72,1606,1752,66818,663126,3064,22008,1148
448,1023,341,1.3057353173933648,159.25457665122659,25618514,0.450926356165007,t_count,73,73,1607,1772,66840,666378,3064,22016,1156
456,1023,341,1.3050826433377707,161.6955646982253,23795428,0.45142692438228,t_count,74,74,1608,1792,66862,669670,3064,22024,1164
464,1023,341,1.3044526578706803,164.13601827302324,22162363,0.451909980930071,t_count,75,75,1609,1812,66884,673002,3064,22032,1172
472,1023,341,1.3038403779888852,166.57595652483835,20685730,0.452376830721318,t_count,76,76,1610,1832,66906,676374,3064,22040,1180
480,1023,341,1.3032489399998326,169.01588050593676,19355539,0.452828760556387,t_count,78,78,1612,1872,66950,683238,3064,22056,1196
488,1023,341,1.3026755380450257,171.45484190123207,18149997,0.453266881224796,t_count,79,79,1613,1892,66972,686730,3064,22064,1204
496,1023,341,1.302118751003861,173.89334020268356,17053379,0.453692221815238,t_count,80,80,1614,1912,66994,690262,3064,22072,1212
504,1023,341,1.3015791768227434,176.331391140186,16055771,0.454105743261055,t_count,81,81,1615,1932,67016,693834,3064,22080,1220
512,1023,341,1.30105714471497,178.76900966353503,15147814,0.454508318866385,t_count,82,82,1616,1952,67038,697446,3064,22088,1228
520,1023,341,1.3005472230638113,181.20620997054064,14311984,0.454900680247112,t_count,83,83,1617,1972,67060,701098,3064,22096,1236
528,1023,341,1.3000540396137672,183.64300559378728,13548798,0.455283599524876,t_count,84,84,1618,1992,67082,704790,3064,22104,1244
536,1023,341,1.299573155222924,186.07989053911808,12845023,0.455657682365689,t_count,86,86,1620,2032,67126,712294,3064,22120,1260
