d,log2_size,metric
64,23.4542018048061,bits
66,23.9343448254322,bits
68,24.4125788301041,bits
70,24.8890129053279,bits
72,25.3637470263209,bits
74,25.8368730459614,bits
76,26.3084755529214,bits
78,26.7786326192357,bits
80,27.2474164539902,bits
82,27.7148939769461,bits
84,28.1811273235974,bits
86,28.6461742912784,bits
88,29.1100887343973,bits
90,29.5729209156088,bits
92,30.0347178186986,bits
94,30.4955234280855,bits
96,30.9553789791305,bits
98,31.4143231828407,bits
100,31.8723924280499,bits
102,32.3296209637346,bits
104,32.7860410637645,bits
106,33.2416831760817,bits
108,33.6965760580429,bits
110,34.150746899438,bits
112,34.6042214345095,bits
114,35.0570240441315,bits
116,35.5091778491699,bits
118,35.9607047959216,bits
120,36.4116257344262,bits
122,36.8619604903531,bits
124,37.3117279310862,bits
126,37.76094602656,bits
128,38.2096319053393,bits
130,38.6578019063832,bits
132,39.1054716268849,bits
134,39.5526559665403,bits
136,39.9993691685599,bits
138,40.4456248577085,bits
140,40.8914360756264,bits
142,41.3368153136635,bits
144,41.7817745434322,bits
146,42.2263252452681,bits
148,42.6704784347674,bits
150,43.1142446875549,bits
152,43.5576341624236,bits
154,44.0006566229705,bits
156,44.443321457847,bits
158,44.8856376997272,bits
160,45.3276140430913,bits
162,45.7692588609113,bits
164,46.2105802203198,bits
166,46.6515858973351,bits
168,47.0922833907105,bits
170,47.5326799349687,bits
172,47.9727825126794,bits
174,48.4125978660308,bits
176,48.8521325077451,bits
178,49.2913927313798,bits
180,49.7303846210581,bits
182,50.1691140606645,bits
184,50.607586742541,bits
186,51.0458081757158,bits
188,51.4837836936955,bits
190,51.921518461846,bits
192,52.359017484391,bits
194,52.7962856110482,bits
196,53.2333275433289,bits
198,53.6701478405181,bits
200,54.106750925357,bits
202,54.5431410894441,bits
204,54.9793224983711,bits
206,55.415299196611,bits
208,55.8510751121697,bits
210,56.2866540610181,bits
212,56.7220397513138,bits
214,57.1572357874266,bits
216,57.5922456737776,bits
218,58.0270728185021,bits
220,58.4617205369461,bits
222,58.8961920550065,bits
224,59.3304905123206,bits
226,59.764618965316,bits
228,60.1985803901263,bits
230,60.6323776853801,bits
232,61.0660136748703,bits
234,61.4994911101088,bits
236,61.9328126727737,bits
238,62.3659809770533,bits
240,62.798998571893,bits
242,63.231867943149,bits
244,63.664591515654,bits
246,64.097171655199,bits
248,64.5296106704354,bits
250,64.961910814701,bits
252,65.3940742877733,bits
254,65.8261032375547,bits
256,66.2579997616909,bits
258,66.6897659091273,bits
260,67.1214036816053,bits
262,67.5529150351021,bits
264,67.9843018812151,bits
266,68.415566088495,bits
268,68.846709483729,bits
270,69.2777338531769,bits
272,69.7086409437607,bits
274,70.1394324642123,bits
276,70.5701100861786,bits
278,71.0006754452872,bits
280,71.4311301421743,bits
282,71.861475743476,bits
284,72.2917137827846,bits
286,72.7218457615717,bits
288,73.1518731500792,bits
290,73.5817973881797,bits
292,74.0116198862075,bits
294,74.441342025761,bits
296,74.8709651604785,bits
298,75.3004906167878,bits
300,75.7299196946305,bits
302,76.1592536681632,bits
304,76.5884937864347,bits
306,77.0176412740418,bits
308,77.4466973317634,bits
310,77.8756631371743,bits
312,78.3045398452394,bits
314,78.7333285888893,bits
316,79.1620304795768,bits
318,79.590646607817,bits
320,80.0191780437096,bits
322,80.4476258374458,bits
324,80.8759910197992,bits
326,81.3042746026014,bits
328,81.7324775792035,bits
330,82.1606009249237,bits
332,82.5886455974809,bits
334,83.0166125374162,bits
336,83.4445026685006,bits
338,83.8723168981321,bits
340,84.3000561177202,bits
342,84.7277212030593,bits
344,85.1553130146914,bits
346,85.5828323982584,bits
348,86.0102801848441,bits
350,86.4376571913065,bits
352,86.8649642206008,bits
354,87.2922020620929,bits
356,87.719371491865,bits
358,88.1464732730112,bits
360,88.5735081559265,bits
362,89.0004768785865,bits
364,89.4273801668205,bits
366,89.8542187345764,bits
368,90.2809932841785,bits
370,90.7077045065788,bits
372,91.1343530816013,bits
374,91.5609396781791,bits
376,91.9874649545868,bits
378,92.4139295586649,bits
380,92.8403341280398,bits
382,93.266679290337,bits
384,93.6929656633894,bits
386,94.1191938554402,bits
388,94.5453644653399,bits
390,94.9714780827391,bits
392,95.3975352882758,bits
394,95.8235366537585,bits
396,96.2494827423439,bits
398,96.6753741087108,bits
400,97.1012112992296,bits
402,97.5269948521272,bits
404,97.9527252976481,bits
406,98.3784031582117,bits
408,98.8040289485651,bits
410,99.2296031759333,bits
412,99.6551263401643,bits
414,100.080598933872,bits
416,100.506021442575,bits
418,100.931394344833,bits
420,101.356718112376,bits
422,101.78199321024,bits
424,102.207220096885,bits
426,102.632399224325,bits
428,103.057531038245,bits
430,103.482615978121,bits
432,103.90765447733,bits
434,104.33264696327,bits
436,104.757593857461,bits
438,105.18249557566,bits
440,105.607352527959,bits
442,106.032165118892,bits
444,106.456933747534,bits
446,106.881658807598,bits
448,107.306340687529,bits
450,107.730979770603,bits
452,108.155576435011,bits
454,108.580131053956,bits
456,109.004643995734,bits
458,109.429115623825,bits
460,109.853546296971,bits
462,110.277936369263,bits
464,110.702286190219,bits
466,111.126596104862,bits
468,111.550866453797,bits
470,111.975097573287,bits
472,112.399289795325,bits
474,112.823443447709,bits
476,113.247558854108,bits
478,113.671636334134,bits
480,114.095676203408,bits
482,114.51967877363,bits
484,114.943644352637,bits
486,115.367573244472,bits
488,115.791465749445,bits
490,116.215322164193,bits
492,116.639142781739,bits
494,117.062927891551,bits
496,117.486677779602,bits
498,117.910392728422,bits
500,118.334073017155,bits
502,118.757718921613,bits
504,119.181330714327,bits
506,119.604908664603,bits
508,120.028453038568,bits
510,120.451964099222,bits
512,120.875442106489,bits
514,121.298887317259,bits
516,121.72229998544,bits
518,122.145680362003,bits
520,122.569028695027,bits
