d,log2_size,metric
64,17.4542018048061,vectors
66,17.8899507060738,vectors
68,18.3251159888538,vectors
70,18.759729888383,vectors
72,19.1938220248786,vectors
74,19.6274196803325,vectors
76,20.0605480394778,vectors
78,20.4932304003734,vectors
80,20.9254883591029,vectors
82,21.357341972328,vectors
84,21.7888099008186,vectors
86,22.2199095365763,vectors
88,22.65065711576,vectors
90,23.0810678192792,vectors
92,23.5111558626416,vectors
94,23.9409345764078,vectors
96,24.3704164784093,vectors
98,24.7996133387255,vectors
100,25.2285362382752,vectors
102,25.6571956217631,vectors
104,26.0856013456234,vectors
106,26.5137627215185,vectors
108,26.9416885558794,vectors
110,27.3693871859133,vectors
112,27.7968665124518,vectors
114,28.2241340299667,vectors
116,28.6511968540424,vectors
118,29.0780617465598,vectors
120,29.5047351388177,vectors
122,29.9312231527902,vectors
124,30.3575316206994,vectors
126,30.7836661030601,vectors
128,31.2096319053393,vectors
130,31.6354340933548,vectors
132,32.0610775075265,vectors
134,32.4865667760825,vectors
136,32.9119063273095,vectors
138,33.3371004009303,vectors
140,33.7621530586814,vectors
142,34.1870681941588,vectors
144,34.6118495419899,vectors
146,35.0365006863881,vectors
148,35.4610250691384,vectors
150,35.8854259970591,vectors
152,36.30970664898,vectors
154,36.7338700822756,vectors
156,37.1579192389847,vectors
158,37.5818569515501,vectors
160,38.005685948204,vectors
162,38.4294088580267,vectors
164,38.8530282157017,vectors
166,39.2765464659881,vectors
168,39.6999659679317,vectors
170,40.123288998831,vectors
172,40.5465177579773,vectors
174,40.9696543701821,vectors
176,41.3927008891078,vectors
178,41.8156593004134,vectors
180,42.2385315247285,vectors
182,42.6613194204659,vectors
184,43.084024786484,vectors
186,43.5066493646078,vectors
188,43.9291948420178,vectors
190,44.3516628535151,vectors
192,44.7740549836698,vectors
194,45.1963727688611,vectors
196,45.6186176992137,vectors
198,46.0407912204384,vectors
200,46.4628947355823,vectors
202,46.8849296066923,vectors
204,47.3068971563996,vectors
206,47.7287986694277,vectors
208,48.1506353940286,vectors
210,48.5724085433519,vectors
212,48.9941192967506,vectors
214,49.4157688010255,vectors
216,49.8373581716142,vectors
218,50.2588884937251,vectors
220,50.6803608234215,vectors
222,51.1017761886564,vectors
224,51.523135590263,vectors
226,51.9444400029008,vectors
228,52.3656903759616,vectors
230,52.7868876344358,vectors
232,53.2080326797427,vectors
234,53.6291263905254,vectors
236,54.0501696234118,vectors
238,54.4711632137453,vectors
240,54.8921079762845,vectors
242,55.3130047058744,vectors
244,55.7338541780911,vectors
246,56.1546571498598,vectors
248,56.5754143600485,vectors
250,56.9961265300389,vectors
252,57.4167943642734,vectors
254,57.8374185507826,vectors
256,58.2579997616909,vectors
258,58.678538653704,vectors
260,59.0990358685769,vectors
262,59.5194920335647,vectors
264,59.9399077618566,vectors
266,60.3602836529938,vectors
268,60.7806202932713,vectors
270,61.2009182561261,vectors
272,61.6211781025104,vectors
274,62.0414003812518,vectors
276,62.4615856294004,vectors
278,62.8817343725637,vectors
280,63.3018471252293,vectors
282,63.7219243910772,vectors
284,64.1419666632799,vectors
286,64.5619744247933,vectors
288,64.9819481486368,vectors
290,65.4018882981648,vectors
292,65.8217953273275,vectors
294,66.2416696809247,vectors
296,66.6615117948496,vectors
298,67.0813220963256,vectors
300,67.5011010041346,vectors
302,67.9208489288381,vectors
304,68.3405662729911,vectors
306,68.7602534313492,vectors
308,69.1799107910685,vectors
310,69.5995387319,vectors
312,70.0191376263772,vectors
314,70.4387078399977,vectors
316,70.8582497313997,vectors
318,71.2777636525326,vectors
320,71.6972499488222,vectors
322,72.1167089593312,vectors
324,72.5361410169146,vectors
326,72.9555464483703,vectors
328,73.3749255745854,vectors
330,73.7942787106779,vectors
332,74.213606166134,vectors
334,74.6329082449421,vectors
336,75.0521852457218,vectors
338,75.4714374618499,vectors
340,75.8906651815825,vectors
342,76.3098686881734,vectors
344,76.7290482599893,vectors
346,77.1482041706217,vectors
348,77.5673366889954,vectors
350,77.9864460794742,vectors
352,78.4055326019635,vectors
354,78.8245965120099,vectors
356,79.2436380608986,vectors
358,79.662657495747,vectors
360,80.0816550595968,vectors
362,80.5006309915033,vectors
364,80.9195855266218,vectors
366,81.3385188962923,vectors
368,81.7574313281215,vectors
370,82.1763230460625,vectors
372,82.5951942704932,vectors
374,83.0140452182915,vectors
376,83.4328761029092,vectors
378,83.8516871344439,vectors
380,84.2704785197089,vectors
382,84.6892504623012,vectors
384,85.1080031626683,vectors
386,85.5267368181721,vectors
388,85.9454516231528,vectors
390,86.3641477689895,vectors
392,86.7828254441606,vectors
394,87.2014848343021,vectors
396,87.6201261222643,vectors
398,88.0387494881671,vectors
400,88.4573551094549,vectors
402,88.8759431609482,vectors
404,89.2945138148963,vectors
406,89.7130672410265,vectors
408,90.1316036065936,vectors
410,90.5501230764279,vectors
412,90.9686258129811,vectors
414,91.3871119763728,vectors
416,91.8055817244342,vectors
418,92.224035212752,vectors
420,92.6424725947103,vectors
422,93.0608940215326,vectors
424,93.4792996423215,vectors
426,93.8976896040989,vectors
428,94.316064051844,vectors
430,94.7344231285311,vectors
432,95.1527669751669,vectors
434,95.5710957308255,vectors
436,95.9894095326846,vectors
438,96.4077085160589,vectors
440,96.8259928144344,vectors
442,97.244262559501,vectors
444,97.6625178811844,vectors
446,98.0807589076775,vectors
448,98.4989857654716,vectors
450,98.9171985793856,vectors
452,99.3353974725959,vectors
454,99.753582566665,vectors
456,100.17175398157,vectors
458,100.589911835728,vectors
460,101.008056246026,vectors
462,101.426187327847,vectors
464,101.844305195091,vectors
466,102.262409960207,vectors
468,102.680501734213,vectors
470,103.098580626722,vectors
472,103.516646745963,vectors
474,103.934700198811,vectors
476,104.3527410908,vectors
478,104.770769526153,vectors
480,105.1887856078,vectors
482,105.6067894374,vectors
484,106.024781115362,vectors
486,106.442760740866,vectors
488,106.860728411883,vectors
490,107.278684225191,vectors
492,107.6966282764,vectors
494,108.114560659967,vectors
496,108.532481469216,vectors
498,108.950390796354,vectors
500,109.368288732493,vectors
502,109.786175367662,vectors
504,110.204050790827,vectors
506,110.621915089908,vectors
508,111.039768351796,vectors
510,111.457610662364,vectors
512,111.875442106489,vectors
514,112.293262768065,vectors
516,112.711072730017,vectors
518,113.128872074317,vectors
520,113.546660881999,vectors
522,113.964439233171,vectors
524,114.382207207034,vectors
526,114.799964881888,vectors
528,115.217712335153,vectors
530,115.635449643379,vectors
532,116.053176882257,vectors
534,116.470894126636,vectors
536,116.888601450533,vectors
538,117.306298927143,vectors
540,117.723986628859,vectors
542,118.141664627273,vectors
544,118.559332993196,vectors
546,118.976991796666,vectors
548,119.394641106961,vectors
550,119.812280992606,vectors
552,120.229911521389,vectors
554,120.647532760368,vectors
556,121.065144775883,vectors
558,121.482747633565,vectors
560,121.900341398347,vectors
562,122.317926134475,vectors
564,122.735501905514,vectors
566,123.153068774363,vectors
568,123.570626803258,vectors
570,123.988176053787,vectors
572,124.405716586896,vectors
574,124.823248462897,vectors
576,125.240771741479,vectors
578,125.658286481716,vectors
580,126.075792742076,vectors
582,126.493290580425,vectors
584,126.910780054043,vectors
586,127.328261219624,vectors
588,127.745734133289,vectors
590,128.163198850592,vectors
592,128.580655426528,vectors
594,128.99810391554,vectors
596,129.415544371526,vectors
598,129.832976847848,vectors
600,130.250401397338,vectors
602,130.667818072304,vectors
604,131.085226924537,vectors
606,131.502628005321,vectors
608,131.920021365436,vectors
610,132.337407055167,vectors
612,132.754785124306,vectors
614,133.172155622165,vectors
616,133.589518597578,vectors
618,134.006874098907,vectors
620,134.42422217405,vectors
622,134.841562870446,vectors
624,135.258896235079,vectors
626,135.676222314489,vectors
628,136.093541154771,vectors
630,136.510852801586,vectors
632,136.928157300163,vectors
634,137.345454695305,vectors
636,137.762745031398,vectors
638,138.180028352409,vectors
640,138.5973047019,vectors
642,139.014574123025,vectors
644,139.43183665854,vectors
646,139.849092350805,vectors
648,140.266341241793,vectors
650,140.683583373089,vectors
652,141.1008187859,vectors
654,141.518047521055,vectors
656,141.935269619014,vectors
658,142.352485119869,vectors
660,142.769694063351,vectors
662,143.186896488831,vectors
664,143.604092435329,vectors
666,144.021281941514,vectors
668,144.43846504571,vectors
670,144.8556417859,vectors
672,145.27281219973,vectors
674,145.689976324514,vectors
676,146.107134197234,vectors
678,146.524285854549,vectors
680,146.941431332797,vectors
682,147.358570667995,vectors
684,147.77570389585,vectors
686,148.192831051755,vectors
688,148.609952170798,vectors
690,149.027067287765,vectors
692,149.444176437139,vectors
694,149.861279653109,vectors
696,150.278376969569,vectors
698,150.695468420127,vectors
700,151.1125540381,vectors
702,151.529633856525,vectors
704,151.946707908158,vectors
706,152.363776225478,vectors
708,152.780838840692,vectors
710,153.197895785734,vectors
712,153.614947092272,vectors
714,154.031992791709,vectors
716,154.449032915187,vectors
718,154.866067493587,vectors
720,155.283096557537,vectors
722,155.700120137411,vectors
724,156.117138263331,vectors
726,156.534150965174,vectors
728,156.95115827257,vectors
730,157.368160214908,vectors
732,157.785156821338,vectors
734,158.202148120772,vectors
736,158.619134141887,vectors
738,159.036114913131,vectors
740,159.453090462719,vectors
742,159.870060818641,vectors
744,160.287026008663,vectors
746,160.703986060328,vectors
748,161.120941000959,vectors
750,161.537890857664,vectors
752,161.954835657331,vectors
754,162.371775426641,vectors
756,162.78871019206,vectors
758,163.205639979848,vectors
760,163.622564816058,vectors
762,164.039484726539,vectors
764,164.456399736938,vectors
766,164.873309872703,vectors
768,165.290215159083,vectors
770,165.707115621132,vectors
772,166.12401128371,vectors
774,166.540902171486,vectors
776,166.957788308938,vectors
778,167.374669720358,vectors
780,167.791546429851,vectors
782,168.208418461339,vectors
784,168.625285838559,vectors
786,169.042148585071,vectors
788,169.459006724256,vectors
790,169.875860279316,vectors
792,170.292709273282,vectors
794,170.709553729008,vectors
796,171.12639366918,vectors
798,171.543229116311,vectors
800,171.960060092749,vectors
802,172.376886620674,vectors
804,172.793708722102,vectors
806,173.210526418885,vectors
808,173.627339732714,vectors
810,174.044148685122,vectors
812,174.46095329748,vectors
814,174.877753591006,vectors
816,175.294549586761,vectors
818,175.711341305651,vectors
820,176.128128768433,vectors
822,176.544911995711,vectors
824,176.961691007939,vectors
826,177.378465825426,vectors
828,177.795236468333,vectors
830,178.212002956674,vectors
832,178.628765310324,vectors
834,179.045523549011,vectors
836,179.462277692324,vectors
838,179.879027759715,vectors
840,180.295773770493,vectors
842,180.712515743833,vectors
844,181.129253698775,vectors
846,181.545987654222,vectors
848,181.962717628946,vectors
850,182.379443641587,vectors
852,182.796165710652,vectors
854,183.212883854523,vectors
856,183.629598091449,vectors
858,184.046308439555,vectors
860,184.46301491684,vectors
862,184.879717541178,vectors
864,185.296416330317,vectors
866,185.713111301887,vectors
868,186.129802473394,vectors
870,186.546489862224,vectors
